Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
97,97,Jul 14,,TOR,W6-2,40,37,6,11,2,0,2,6,3,2,9,0,0,0,1,1,1,0,.272,.338,.463,.801,6,9,R,S.Gaviglio (49)
98,98,Jul 15,,TOR,W5-2,34,27,5,6,2,0,1,5,6,0,5,1,0,0,1,2,1,0,.272,.339,.462,.801,5,9,R,M.Stroman (46)
99,99,Jul 20,@,DET,W1-0,37,33,1,6,1,0,0,1,4,0,10,0,0,0,1,0,0,1,.271,.338,.460,.798,9,10,L,M.Boyd (61)
100,100,Jul 21,@,DET,L0-5,37,34,0,8,0,0,0,0,3,0,8,0,0,0,0,1,1,0,.271,.337,.458,.795,10,9,R,M.Fiers (62)
101,101,Jul 22,@,DET,W9-1,37,35,9,9,2,1,1,9,1,0,8,0,0,1,0,0,0,0,.270,.337,.458,.795,1,10,L,B.Hardy (36)
102,102,Jul 23,@,BAL,W5-3,37,30,5,7,2,0,1,5,6,0,3,0,1,0,0,1,1,1,.270,.337,.457,.794,5,9,R,K.Gausman (37)
103,103,Jul 24,@,BAL,L6-7,37,35,6,9,0,0,4,6,2,0,10,0,0,0,0,1,0,0,.270,.337,.459,.795,4,10,R,Y.Ramirez (52)
104,104,Jul 26,,MIN,L1-2,36,31,1,5,1,0,0,1,4,0,8,1,0,0,0,0,0,0,.269,.336,.456,.793,8,9,R,K.Gibson (75)
105,105,Jul 27,,MIN,W4-3,37,35,4,8,1,0,3,4,1,0,9,1,0,0,0,0,1,0,.269,.336,.457,.793,6,9,R,L.Lynn (54)
106,106,Jul 28,,MIN,W10-4,44,38,10,14,5,2,1,10,6,2,12,0,0,0,0,0,2,0,.270,.337,.459,.796,10,10,R,J.Odorizzi (33)
107,107,Jul 29,,MIN,W3-0,39,35,3,10,3,0,0,3,3,0,10,1,0,0,1,0,0,0,.270,.337,.458,.796,12,10,R,J.Berrios (37)
108,108,Jul 30,,PHI,W2-1,45,43,2,7,3,1,0,2,2,0,8,0,0,0,1,1,2,0,.269,.336,.456,.792,6,11,R,A.Nola (75)
109,109,Jul 31,,PHI,L1-3,35,32,1,6,3,0,0,1,1,0,9,2,0,0,0,0,1,1,.268,.335,.455,.790,7,10,R,J.Arrieta (68)
110,110,Aug 2,,NYY,W15-7,50,44,15,19,7,0,3,15,6,0,4,0,0,0,1,0,4,0,.270,.337,.459,.796,11,10,L,C.Sabathia (43)
111,111,Aug 3,,NYY,W4-1,34,30,4,7,3,0,1,4,4,0,3,0,0,0,0,1,1,0,.270,.337,.459,.795,6,11,R,L.Severino (38)
112,112,Aug 4,,NYY,W4-1,31,29,4,6,1,0,2,4,2,0,8,0,0,0,0,1,0,0,.269,.336,.459,.795,3,9,R,C.Adams (50)
