Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
71,71,Jun 17,,SDP,W4-1,33,32,4,7,3,0,1,4,1,0,11,0,0,0,1,1,0,0,.258,.325,.424,.749,5,14,L,M.Strahm (61)
72,72,Jun 19,@,TOR,W11-4,48,42,11,14,7,1,2,11,6,1,7,0,0,0,1,0,0,0,.259,.326,.429,.755,10,9,L,J.Garcia (28)
73,73,Jun 20,@,TOR,L4-5,35,35,4,8,1,0,2,4,0,0,9,0,0,0,0,0,0,0,.258,.325,.429,.754,4,10,L,J.Happ (63)
74,74,Jun 22,,BAL,L7-10,65,56,7,14,5,1,0,7,6,2,11,2,1,0,0,0,0,1,.258,.326,.428,.753,13,21,R,A.Cobb (69)
75,75,Jun 23,,BAL,L5-7,44,37,5,12,2,0,0,4,6,0,11,0,1,0,0,1,1,0,.259,.327,.427,.754,12,15,R,D.Bundy (57)
76,76,Jun 24,,BAL,W7-3,37,34,7,11,4,0,1,7,2,0,8,1,0,0,0,1,1,0,.260,.328,.428,.756,6,15,R,D.Hess (30)
77,77,Jun 25,,CIN,W5-4,47,38,5,10,3,0,1,4,7,1,6,0,1,1,1,1,0,0,.260,.328,.428,.756,12,18,R,T.Mahle (46)
78,78,Jun 26,,CIN,L3-5,38,34,3,10,2,0,0,3,3,0,4,1,0,0,0,2,1,0,.260,.329,.427,.756,8,15,R,M.Harvey (59)
79,79,Jun 27,,CIN,L5-6,37,34,5,7,0,0,0,4,2,1,10,1,0,0,1,1,2,0,.260,.328,.425,.753,5,15,R,L.Castillo (35)
80,80,Jun 29,@,STL,W5-1,43,35,5,10,1,0,0,5,4,0,5,2,1,1,1,1,0,0,.260,.329,.423,.752,11,17,R,M.Mikolas (55)
81,81,Jun 30,@,STL,W11-4,44,40,11,15,5,0,2,11,2,1,7,0,0,2,0,0,0,0,.262,.330,.426,.756,6,13,R,L.Weaver (15)
82,82,Jul 1,@,STL,W6-5,37,33,6,6,2,0,1,6,3,1,4,0,0,1,0,0,0,0,.261,.329,.425,.754,4,16,R,J.Gant (43)
83,83,Jul 2,@,NYY,W5-3,44,42,5,9,3,0,2,5,1,0,10,0,1,0,1,0,0,0,.260,.327,.425,.753,6,11,R,J.Loaisiga (43)
84,84,Jul 3,@,NYY,L5-8,41,38,5,11,0,0,3,5,3,0,14,0,0,0,0,0,1,0,.261,.327,.427,.754,9,9,R,D.German (42)
85,85,Jul 4,@,NYY,L2-6,40,35,2,9,2,0,1,2,3,0,7,2,0,0,0,1,2,0,.260,.328,.426,.754,11,10,L,C.Sabathia (56)
86,86,Jul 5,@,MIL,L2-7,32,29,2,3,1,1,0,2,1,0,9,2,0,0,0,1,0,0,.259,.326,.424,.751,3,13,R,J.Chacin (69)
87,87,Jul 6,@,MIL,L4-5,36,31,4,9,2,0,0,3,5,0,9,0,0,0,0,2,0,2,.259,.327,.424,.751,5,13,R,F.Peralta (65)
88,88,Jul 7,@,MIL,W5-1,40,34,5,8,1,2,0,5,6,0,9,0,0,0,0,1,0,0,.259,.327,.423,.750,8,13,R,A.Wilkerson (53)
89,89,Jul 8,@,MIL,L3-10,40,35,3,10,3,0,0,2,5,0,9,0,0,0,1,2,0,0,.259,.328,.423,.750,10,17,R,J.Guerra (55)
90,90,Jul 10,,TOR,L2-6,36,34,2,8,1,0,0,2,2,0,9,0,0,0,0,1,1,0,.259,.327,.421,.748,7,14,R,M.Stroman (64)
91,91,Jul 11,,TOR,W9-5,43,36,9,12,4,0,2,9,4,1,10,1,1,1,1,0,0,0,.260,.328,.423,.751,10,14,R,S.Gaviglio (19)
92,92,Jul 13,,ARI,L1-2,35,32,1,6,1,0,0,1,2,0,12,0,1,0,0,0,0,0,.259,.327,.421,.748,7,15,R,Z.Godley (64)
93,93,Jul 14,,ARI,L0-3,33,31,0,5,1,0,0,0,1,0,11,0,1,0,0,0,0,0,.258,.326,.419,.745,6,15,R,Z.Greinke (78)
94,94,Jul 15,,ARI,W5-1,33,30,5,7,2,0,1,5,2,0,4,0,1,0,0,0,0,0,.258,.326,.419,.744,4,13,L,P.Corbin (46)
95,95,Jul 20,@,WSN,W8-5,43,38,8,12,5,0,2,8,4,1,6,0,0,1,0,0,4,0,.259,.326,.421,.747,8,12,R,S.Strasburg (28)
96,96,Jul 22,@,WSN,L2-6,39,38,2,14,2,0,0,2,1,0,9,0,0,0,0,1,2,1,.260,.327,.421,.748,10,16,R,M.Scherzer (54)
97,97,Jul 23,@,MIA,W12-1,48,40,12,16,6,0,2,12,4,1,6,3,1,0,0,1,0,0,.262,.329,.424,.753,9,15,R,J.Urena (32)
98,98,Jul 24,@,MIA,L3-9,35,30,3,6,1,0,1,3,4,0,5,0,1,0,0,1,0,0,.261,.329,.423,.752,5,13,L,W.Chen (51)
