Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
147,147,Sep 14,,TOR,W11-0,9.0,7,0,0,0,3,12,0,0,3.73,37,142,97,0,0,0,0,34,3,0,0,0,0,0,0,2,Brian Knight,M.Tanaka (6-70-W) L.Cessa (3-Sv)
148,148,Sep 15,,TOR,L7-8,9.0,16,8,8,0,1,9,3,0,3.76,43,166,113,3,1,0,0,42,2,0,0,0,0,1,2,7,Roberto Ortiz,C.Sabathia (5-25-L) C.Green (5) J.Holder (4) T.Kahnle (3) S.Tarpley (3) D.Betances (5) Z.Britton (2)
149,149,Sep 16,,TOR,L2-3,9.0,7,3,3,0,2,9,0,0,3.76,36,138,90,0,0,0,0,34,2,0,0,0,0,0,0,4,Gerry Davis,L.Lynn (7-63) D.Robertson (3-H) D.Betances (0-BL) Z.Britton (0)
150,150,Sep 18,,BOS,W3-2,9.0,5,2,0,2,4,7,0,0,3.73,37,145,91,0,0,0,0,32,1,1,0,0,1,2,1,4,Chad Fairchild,J.Happ (7-65) C.Green (2-W) D.Robertson (1-H) Z.Britton (1-Sv)
151,151,Sep 19,,BOS,W10-1,9.0,9,1,1,0,2,7,0,0,3.71,37,145,87,0,0,0,0,35,1,0,0,0,0,0,1,3,Chris Guccione,L.Severino (6-66-W) J.Holder (3) J.Sheffield (99)
152,152,Sep 20,,BOS,L6-11,9.0,13,11,10,1,4,12,3,0,3.75,43,181,121,3,2,1,0,38,3,0,1,0,1,0,1,8,Kerwin Danley,M.Tanaka (5-29) D.Robertson (1) C.Green (1-BL) D.Betances (3) A.Chapman (29) J.Holder (0) A.Cole (16) S.Tarpley (4)
153,153,Sep 21,,BAL,W10-8,9.0,13,8,8,0,4,8,3,0,3.78,43,158,96,2,2,2,0,39,0,0,0,0,0,0,1,7,Carlos Torres,C.Sabathia (5-54-W) J.Loaisiga (9) Z.Britton (2-H) S.Tarpley (0) A.Cole (0) D.Robertson (0-H) D.Betances (0-Sv)
154,154,Sep 22,,BAL,W3-2,11.0,12,2,1,1,4,13,0,0,3.76,47,201,128,0,0,2,1,43,3,0,1,0,0,1,0,7,Paul Nauert,L.Lynn (5-49) C.Green (1) A.Chapman (1) D.Betances (0) Z.Britton (0) J.Holder (1) T.Kahnle (6-W)
155,155,Sep 23,,BAL,L3-6,9.0,12,6,6,0,2,11,3,0,3.77,40,174,117,0,0,0,1,37,5,1,0,0,1,0,0,4,Scott Barry,J.Happ (4-58) A.Cole (1-BL) T.Kahnle (0) L.Cessa (8)
156,156,Sep 24,@,TBR,W4-1,9.0,2,1,1,0,6,13,0,0,3.76,35,151,95,0,0,0,0,29,1,0,0,0,0,0,1,8,Jerry Layne,J.Holder (1-52) S.Tarpley (2) S.Gray (12-BW) C.Green (1-H) D.Robertson (2-H) A.Chapman (1-H) D.Betances (1-H) Z.Britton (1-Sv)
157,157,Sep 25,@,TBR,W9-2,9.0,5,2,2,0,3,15,0,1,3.74,36,150,98,1,0,0,0,32,4,0,0,0,0,1,0,4,Jordan Baker,L.Severino (5-55-W) T.Kahnle (1) S.Tarpley (0) D.German (66)
158,158,Sep 26,@,TBR,L7-8,8.0,10,8,6,2,3,9,1,1,3.76,38,158,102,3,1,1,1,34,1,0,0,0,0,1,1,6,Greg Gibson,M.Tanaka (5-39-L) J.Holder (1) C.Green (1) A.Chapman (1) D.Robertson (1) J.Sheffield (6)
159,159,Sep 27,@,TBR,W12-1,9.0,2,1,1,0,1,12,1,2,3.74,32,118,78,1,0,0,0,29,0,0,0,0,0,0,0,3,Vic Carapazza,C.Sabathia (5-70-W) L.Cessa (3) J.Loaisiga (5)
160,160,Sep 28,@,BOS,W11-6,9.0,6,6,5,1,7,9,1,0,3.75,41,165,100,0,0,0,0,34,1,0,0,0,0,1,0,4,Laz Diaz,J.Happ (4-53-W) C.Green (1) D.Betances (3) Z.Britton (3)
161,161,Sep 29,@,BOS,W8-5,9.0,10,5,5,0,5,14,1,1,3.76,43,189,115,3,0,3,0,37,4,0,0,0,0,0,0,7,Manny Gonzalez,D.German (3-46) S.Tarpley (3) L.Lynn (6-W) S.Gray (4) T.Kahnle (3) J.Holder (2) A.Chapman (2-Sv)
162,162,Sep 30,@,BOS,L2-10,8.0,13,10,6,4,5,11,2,0,3.78,42,180,115,4,1,0,0,37,5,0,0,0,0,0,1,7,Nic Lentz,L.Cessa (2-27-L) D.Robertson (3) J.Loaisiga (2) J.Sheffield (3) S.Tarpley (0) A.Cole (6) C.Adams (38)
