Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
120,120,Aug 15,@,CIN,W4-3,9.0,10,3,3,0,4,13,1,0,3.79,41,175,108,5,0,0,0,37,5,0,0,0,0,0,0,6,Jim Reynolds,S.Bieber (4-40) O.Perez (1) D.Otero (1-W) T.Olson (0-H) C.Allen (2-H) B.Hand (3-Sv)
121,121,Aug 17,,BAL,W2-1,9.0,4,1,1,0,3,9,0,0,3.77,35,164,105,1,1,1,0,32,0,0,0,0,0,1,0,4,Greg Gibson,C.Carrasco (4-76-W) A.Miller (3-H) A.Cimber (4-H) C.Allen (1-Sv)
122,122,Aug 18,,BAL,L2-4,9.0,5,4,4,0,2,9,2,0,3.77,34,136,86,0,0,1,0,32,1,0,0,0,0,0,0,3,Nic Lentz,A.Plutko (19-64-L) N.Ramirez (3) D.Otero (2)
123,123,Aug 19,,BAL,W8-0,9.0,9,0,0,0,1,10,0,1,3.74,34,137,92,0,0,0,0,32,2,0,0,0,0,0,3,4,Jordan Baker,M.Clevinger (5-64-W) A.Miller (1) D.Otero (0) A.Cimber (1)
124,124,Aug 20,@,BOS,W5-4,9.0,13,4,4,0,3,8,0,0,3.74,42,166,100,1,0,0,1,39,4,0,0,0,0,0,0,5,Pat Hoberg,C.Kluber (5-48-W) O.Perez (4-H) A.Cimber (0-H) B.Hand (4-H) C.Allen (2-Sv)
125,125,Aug 21,@,BOS,W6-3,9.0,5,3,3,0,0,9,0,0,3.74,32,118,80,1,1,0,0,31,3,0,0,0,1,1,1,4,Brian Knight,S.Bieber (5-56-W) A.Cimber (0-H) A.Miller (1-H) B.Hand (0-Sv)
126,126,Aug 22,@,BOS,L4-10,8.0,14,10,9,1,3,10,3,0,3.78,41,175,117,4,1,0,1,38,2,0,0,0,0,1,0,5,Jeremie Rehak,C.Carrasco (4-28-L) O.Perez (1) N.Ramirez (3) D.Otero (2) C.Allen (1)
127,127,Aug 23,@,BOS,L0-7,8.0,12,7,7,0,6,7,0,0,3.81,41,156,102,5,3,0,1,35,4,0,2,0,0,0,0,4,Gerry Davis,A.Plutko (4-32-L) A.Cimber (1) O.Perez (0) J.Tomlin (44)
128,128,Aug 24,@,KCR,L4-5,8.0,6,5,5,0,3,9,3,1,3.82,34,132,81,0,0,0,0,30,1,0,0,0,0,0,0,4,Ramon De Jesus,M.Clevinger (4-58) A.Miller (2) B.Hand (2-H) C.Allen (1-BL)
129,129,Aug 25,@,KCR,L1-7,8.0,14,7,7,0,2,7,1,0,3.85,36,117,78,2,0,1,0,33,4,0,0,1,0,0,3,4,Stu Scheurwater,C.Kluber (4-34-L) O.Perez (1) D.Otero (2) J.Tomlin (1)
