Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
90,90,Jul 10,@,ATL,W6-2,40,36,6,8,2,0,1,6,4,1,6,0,0,0,2,1,1,0,.236,.309,.418,.726,7,15,R,J.Teheran (66)
91,91,Jul 11,@,ATL,L5-9,36,34,5,8,0,0,2,5,2,0,8,0,0,0,0,1,0,0,.236,.308,.418,.726,4,18,R,M.Foltynewicz (46)
92,92,Jul 12,@,BOS,L4-6,37,37,4,11,2,0,2,4,0,0,10,0,0,0,0,0,0,0,.237,.308,.419,.727,6,12,L,D.Price (58)
93,93,Jul 13,@,BOS,W13-7,50,40,13,14,3,0,3,13,7,0,10,2,0,1,0,0,0,0,.238,.310,.422,.732,10,11,R,R.Porcello (8)
94,94,Jul 14,@,BOS,L2-6,41,36,2,7,1,0,0,2,5,0,12,0,0,0,0,0,0,0,.238,.310,.419,.730,9,12,L,E.Rodriguez (65)
95,95,Jul 15,@,BOS,L2-5,38,34,2,8,1,0,1,2,4,0,11,0,0,0,0,1,0,0,.238,.310,.419,.729,9,10,L,B.Johnson (53)
96,96,Jul 20,,BAL,W8-7,44,39,8,10,3,1,3,8,3,1,8,1,0,1,2,0,1,1,.238,.310,.421,.732,7,9,R,D.Bundy (39)
97,97,Jul 21,,BAL,W4-1,32,28,4,6,2,0,0,2,4,0,7,0,0,0,1,2,0,0,.238,.310,.420,.730,4,9,R,A.Cobb (50)
98,98,Jul 22,,BAL,W5-4,33,32,5,10,2,0,2,5,1,0,4,0,0,0,0,2,0,0,.239,.311,.421,.732,4,11,R,A.Cashner (54)
99,99,Jul 23,,MIN,L3-8,43,37,3,11,1,0,1,3,5,0,9,0,0,1,0,0,0,0,.239,.311,.421,.732,13,9,L,A.Mejia (49)
100,100,Jul 24,,MIN,L0-5,31,30,0,5,1,0,0,0,1,0,11,0,0,0,0,2,0,0,.239,.310,.419,.730,4,9,R,J.Berrios (77)
101,101,Jul 25,,MIN,L6-12,49,44,6,16,4,0,0,6,2,0,10,1,0,2,0,1,1,0,.240,.311,.420,.731,10,10,R,E.Santana (45)
102,102,Jul 27,@,CHW,W10-5,42,35,10,9,3,0,5,9,4,0,8,2,0,1,1,1,0,0,.240,.312,.423,.735,5,11,R,R.Lopez (16)
103,103,Jul 28,@,CHW,L5-9,40,37,5,12,2,0,1,5,2,0,7,1,0,0,0,1,0,1,.241,.313,.424,.736,8,9,R,L.Giolito (27)
104,104,Jul 29,@,CHW,W7-4,38,35,7,10,3,0,2,7,1,0,6,2,0,0,0,0,0,1,.242,.313,.425,.738,4,12,L,C.Rodon (66)
105,105,Jul 30,@,OAK,L1-10,37,33,1,5,2,0,1,1,4,0,10,0,0,0,1,0,0,0,.241,.312,.424,.736,9,10,R,E.Jackson (65)
106,106,Jul 31,@,OAK,L2-6,35,31,2,6,1,0,1,2,3,0,9,0,1,0,2,1,0,0,.240,.312,.423,.734,6,9,R,T.Cahill (58)
107,107,Aug 1,@,OAK,L3-8,40,34,3,8,2,0,1,3,6,0,9,0,0,0,0,1,0,0,.240,.312,.422,.734,10,9,L,S.Manaea (61)
108,108,Aug 2,@,SEA,W7-3,42,39,7,11,5,0,2,6,3,0,7,0,0,0,2,1,0,0,.241,.312,.424,.736,8,10,R,F.Hernandez (49)
109,109,Aug 3,@,SEA,W7-2,38,37,7,11,1,1,2,7,0,0,7,0,0,1,1,1,1,0,.241,.312,.425,.737,4,9,L,M.Gonzales (54)
110,110,Aug 4,@,SEA,W5-1,36,34,5,12,4,0,1,5,2,0,8,0,0,0,0,4,1,1,.242,.313,.426,.739,4,9,L,J.Paxton (55)
111,111,Aug 5,@,SEA,L3-6,35,34,3,9,1,0,1,3,1,0,8,0,0,0,0,1,0,0,.243,.313,.426,.738,5,10,R,M.Leake (49)
112,112,Aug 7,,BOS,L7-10,47,40,7,13,2,0,3,7,6,0,7,0,0,1,0,2,0,0,.244,.314,.428,.741,10,9,L,D.Pomeranz (44)
113,113,Aug 8,,BOS,L5-10,38,36,5,9,1,0,2,5,2,0,9,0,0,0,1,1,0,0,.244,.313,.428,.741,6,9,L,B.Johnson (49)
114,114,Aug 9,,BOS,W8-5,37,34,8,12,2,0,2,8,3,0,9,0,0,0,1,1,2,1,.245,.314,.429,.743,5,9,R,R.Porcello (24)
115,115,Aug 10,,TBR,L0-7,30,29,0,3,0,0,0,0,1,0,9,0,0,0,0,0,0,0,.243,.313,.427,.740,3,9,L,B.Snell (73)
116,116,Aug 11,,TBR,L1-3,33,28,1,5,1,0,1,1,4,0,8,1,0,0,0,2,0,1,.243,.313,.426,.739,5,11,R,R.Stanek (53)
117,117,Aug 12,,TBR,W2-1,28,26,2,5,3,0,0,2,2,0,8,0,0,0,0,1,1,0,.243,.312,.425,.738,2,10,R,T.Glasnow (63)
118,118,Aug 13,@,KCR,L1-3,32,28,1,5,0,0,1,1,4,0,7,0,0,0,0,2,0,1,.242,.312,.424,.737,4,9,R,B.Keller (67)
119,119,Aug 14,@,KCR,W6-5,39,31,6,6,1,0,2,5,7,0,4,1,0,0,0,2,0,0,.242,.313,.424,.737,6,10,R,H.Fillmyer (39)
120,120,Aug 15,@,KCR,W6-5,41,36,6,10,2,0,1,6,4,0,6,1,0,0,0,0,0,0,.242,.313,.424,.737,8,10,R,J.Lopez (25)
121,121,Aug 16,@,KCR,L2-6,36,31,2,7,1,0,0,2,3,0,9,1,0,1,0,1,0,1,.242,.313,.423,.736,7,9,R,G.Sparkman (48)
122,122,Aug 17,@,NYY,L5-7,30,27,5,7,1,0,0,5,3,0,8,0,0,0,0,1,0,0,.242,.313,.422,.735,4,9,R,L.Lynn (32)
123,123,Aug 18,@,NYY,L6-11,42,38,6,13,3,0,0,5,4,0,13,0,0,0,0,0,0,0,.243,.314,.422,.736,9,10,R,L.Severino (53)
124,124,Aug 19,@,NYY,L2-10,38,35,2,9,3,0,2,2,2,0,10,1,0,0,0,0,0,1,.243,.314,.423,.737,9,9,L,J.Happ (53)
125,125,Aug 20,,BAL,W5-3,34,30,5,7,4,0,2,5,4,0,5,0,0,0,0,1,0,0,.243,.314,.424,.738,5,10,R,A.Cashner (37)
126,126,Aug 21,,BAL,W8-2,37,35,8,12,2,0,4,8,2,0,4,0,0,0,2,3,0,0,.244,.315,.427,.741,5,10,R,D.Bundy (17)
127,127,Aug 22,,BAL,W6-0,32,30,6,6,2,0,2,5,2,0,8,0,0,0,0,0,0,0,.244,.314,.427,.741,2,9,R,D.Hess (74)
128,128,Aug 24,,PHI,W4-2,33,29,4,6,1,0,2,4,3,0,8,1,0,0,1,0,0,0,.243,.314,.427,.741,5,9,R,J.Arrieta (46)
129,129,Aug 25,,PHI,W8-6,37,32,8,9,3,0,2,8,4,0,7,1,0,0,0,1,0,0,.244,.315,.428,.743,5,11,R,N.Pivetta (41)
130,130,Aug 26,,PHI,L3-8,36,32,3,7,2,0,2,3,4,0,11,0,0,0,0,1,0,0,.244,.315,.428,.743,6,9,R,V.Velasquez (56)
131,131,Aug 27,@,BAL,L0-7,36,34,0,7,3,0,0,0,2,0,9,0,0,0,0,0,0,0,.243,.314,.427,.741,9,10,R,D.Hess (67)
132,132,Aug 28,@,BAL,L5-12,42,38,5,12,0,0,2,5,4,0,7,0,0,0,0,0,0,0,.244,.315,.428,.742,10,9,L,J.Rogers (42)
133,133,Aug 29,@,BAL,L5-10,44,38,5,13,5,0,3,5,5,0,5,0,0,1,0,1,0,0,.245,.315,.430,.745,12,12,R,A.Cobb (35)
134,134,Aug 31,@,MIA,W6-5,38,34,6,8,1,0,1,6,3,0,6,0,0,1,0,0,0,0,.245,.315,.429,.745,5,17,R,D.Straily (73)
135,135,Sep 1,@,MIA,L3-6,32,31,3,5,1,0,1,3,0,0,7,0,0,1,0,0,0,0,.244,.314,.428,.743,2,14,L,W.Chen (79)
136,136,Sep 2,@,MIA,W6-1,41,32,6,8,4,0,1,6,4,0,7,2,0,3,1,0,0,0,.244,.314,.429,.743,8,12,R,J.Brigham (37)
137,137,Sep 3,,TBR,L1-7,32,28,1,4,0,0,0,1,4,0,6,0,0,0,0,3,0,0,.243,.314,.427,.741,4,9,R,R.Stanek (54)
138,138,Sep 4,,TBR,L0-4,32,28,0,3,1,0,0,0,2,0,10,1,1,0,0,0,0,1,.243,.313,.425,.739,5,9,R,R.Stanek (52)
139,139,Sep 5,,TBR,W10-3,45,40,10,16,4,0,2,10,4,1,10,1,0,0,0,0,0,0,.244,.315,.427,.742,11,12,R,T.Glasnow (14)
140,140,Sep 6,,CLE,L4-9,38,36,4,11,5,0,0,3,2,0,9,0,0,0,1,3,0,0,.244,.315,.427,.742,7,13,R,S.Bieber (50)
141,141,Sep 7,,CLE,W3-2,42,39,3,9,3,0,1,3,1,0,20,1,0,1,1,0,1,1,.244,.314,.427,.741,8,14,R,C.Carrasco (77)
142,142,Sep 8,,CLE,L8-9,47,45,8,18,8,0,3,8,2,1,7,0,0,0,0,0,0,0,.246,.315,.430,.746,12,14,R,A.Plutko (30)
143,143,Sep 9,,CLE,W6-2,33,31,6,6,2,0,2,6,2,0,11,0,0,0,1,0,1,0,.245,.315,.430,.745,3,12,R,M.Clevinger (59)
144,144,Sep 11,@,BOS,L2-7,35,31,2,5,2,0,0,1,3,0,11,1,0,0,0,0,2,0,.245,.315,.429,.744,6,13,L,C.Sale (53)
145,145,Sep 12,@,BOS,L0-1,33,31,0,4,1,0,0,0,2,0,10,0,0,0,0,0,0,0,.244,.314,.427,.741,6,14,L,D.Price (78)
146,146,Sep 13,@,BOS,L3-4,37,34,3,7,1,0,1,3,1,0,9,2,0,0,0,0,0,0,.244,.313,.427,.740,7,14,L,E.Rodriguez (65)
147,147,Sep 14,@,NYY,L0-11,37,34,0,7,3,0,0,0,3,0,12,0,0,0,0,0,0,0,.244,.313,.426,.739,10,12,R,M.Tanaka (70)
148,148,Sep 15,@,NYY,W8-7,43,42,8,16,2,0,3,8,1,0,9,0,0,0,1,2,0,0,.245,.314,.428,.741,8,10,L,C.Sabathia (25)
149,149,Sep 16,@,NYY,W3-2,36,34,3,7,2,0,0,3,2,0,9,0,0,0,0,0,0,0,.245,.313,.427,.740,6,14,R,L.Lynn (63)
150,150,Sep 17,@,BAL,W5-0,33,33,5,6,1,0,3,5,0,0,9,0,0,0,0,0,0,0,.244,.313,.427,.740,1,10,R,E.Phillips (40)
151,151,Sep 18,@,BAL,W6-4,37,34,6,9,2,0,0,4,2,0,6,0,1,0,1,0,1,1,.244,.313,.426,.739,4,12,R,D.Bundy (51)
152,152,Sep 19,@,BAL,L1-2,33,30,1,4,0,0,1,1,2,0,7,1,0,0,0,0,0,0,.244,.312,.425,.737,5,12,R,J.Yacabonis (61)
153,153,Sep 20,,TBR,W9-8,39,37,9,11,3,0,4,9,1,0,9,1,0,0,0,0,0,0,.244,.312,.427,.739,4,15,R,R.Stanek (40)
154,154,Sep 21,,TBR,L3-11,34,33,3,7,0,0,3,3,1,0,5,0,0,0,0,0,0,0,.244,.312,.427,.739,4,13,R,D.Castillo (48)
155,155,Sep 22,,TBR,W5-2,34,32,5,10,4,0,1,5,2,0,9,0,0,0,0,0,0,0,.244,.312,.428,.740,5,13,R,T.Glasnow (52)
156,156,Sep 23,,TBR,L2-5,36,34,2,8,0,0,0,2,2,0,11,0,0,0,1,0,1,1,.244,.312,.427,.739,7,12,L,B.Snell (77)
157,157,Sep 24,,HOU,L3-5,38,35,3,11,2,0,1,3,3,0,9,0,0,0,0,3,0,0,.245,.312,.427,.739,8,13,L,D.Keuchel (43)
158,158,Sep 25,,HOU,L1-4,34,31,1,6,3,0,1,1,2,0,7,1,0,0,0,2,0,0,.244,.312,.427,.739,6,12,R,J.James (57)
159,159,Sep 26,,HOU,W3-1,28,25,3,3,0,0,2,3,3,0,8,0,0,0,0,1,1,0,.244,.311,.426,.738,1,9,R,C.Devenski (47)
160,160,Sep 28,@,TBR,W7-6,43,37,7,12,3,1,2,7,5,0,11,1,0,0,1,0,3,1,.244,.312,.428,.740,9,12,R,T.Glasnow (48)
161,161,Sep 29,@,TBR,L3-4,36,31,3,5,0,0,2,3,4,0,18,0,0,1,0,0,1,0,.244,.312,.427,.739,6,12,L,B.Snell (63)
162,162,Sep 30,@,TBR,L4-9,38,35,4,9,2,1,0,3,3,0,7,0,0,0,0,1,1,0,.244,.312,.427,.739,7,12,R,R.Stanek (57)
