Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
27,27,Apr 28,,ARI,L3-4,41,36,3,8,3,0,2,3,3,1,10,2,0,0,0,1,1,0,.239,.331,.388,.719,8,20,L,P.Corbin (54)
28,28,Apr 29,,ARI,W3-1,36,31,3,7,1,0,2,2,5,1,4,0,0,0,2,2,1,0,.239,.331,.390,.721,9,13,L,R.Ray (54)
29,29,Apr 30,,PIT,W3-2,35,32,3,9,2,0,0,3,3,2,7,0,0,0,0,1,0,0,.240,.331,.389,.720,8,13,R,J.Taillon (49)
30,30,May 1,,PIT,W12-4,39,35,12,10,1,0,4,12,4,0,6,0,0,0,2,0,1,1,.242,.332,.398,.730,3,16,R,C.Kuhl (37)
31,31,May 2,,PIT,W9-3,42,38,9,14,3,0,2,7,3,1,10,0,1,0,1,0,2,0,.246,.335,.405,.740,9,12,R,I.Nova (19)
32,32,May 3,,PIT,W3-1,30,27,3,4,0,0,2,3,2,0,4,0,1,0,0,0,0,0,.244,.332,.404,.736,3,15,R,T.Williams (51)
33,33,May 4,,PHI,W7-3,39,32,7,9,1,0,3,7,7,1,8,0,0,0,0,0,0,0,.245,.334,.410,.744,8,15,R,N.Pivetta (17)
34,34,May 5,,PHI,L1-3,36,27,1,2,0,0,1,1,8,0,7,1,0,0,0,1,0,0,.241,.333,.405,.738,8,14,R,V.Velasquez (61)
35,35,May 6,,PHI,W5-4,36,29,5,7,0,0,1,5,6,0,6,1,0,0,1,1,0,2,.241,.335,.403,.738,7,17,R,J.Arrieta (64)
36,36,May 7,@,SDP,W8-5,42,34,8,8,3,0,3,8,7,0,8,1,0,0,0,1,0,0,.241,.336,.408,.744,7,12,R,T.Ross (43)
37,37,May 8,@,SDP,W4-0,36,33,4,9,3,0,0,4,1,0,10,0,1,1,0,1,0,0,.242,.335,.407,.742,5,13,L,C.Richard (64)
38,38,May 9,@,SDP,L1-2,34,32,1,8,1,0,1,1,2,0,12,0,0,0,0,1,0,2,.242,.334,.406,.740,6,14,L,J.Lucchesi (56)
39,39,May 10,@,ARI,W2-1,42,40,2,9,3,0,0,1,1,0,6,0,1,0,0,1,0,0,.241,.332,.403,.735,7,16,R,Z.Greinke (71)
40,40,May 11,@,ARI,W3-1,35,33,3,7,3,0,2,3,1,0,4,1,0,0,0,1,0,0,.241,.330,.405,.735,5,12,R,M.Koch (58)
41,41,May 12,@,ARI,W2-1,40,32,2,7,1,0,0,2,7,0,7,0,1,0,0,0,0,1,.240,.331,.401,.732,11,13,R,T.Scribner (43)
42,42,May 13,@,ARI,W6-4,38,36,6,9,2,0,4,6,2,0,8,0,0,0,0,0,1,0,.240,.330,.408,.737,5,16,R,Z.Godley (48)
43,43,May 15 susp,,NYY,W5-3,32,31,5,8,3,0,2,5,1,0,7,0,0,0,0,0,0,0,.241,.329,.411,.739,3,18,R,M.Tanaka (49)
44,44,May 19 (1),,LAD,L1-4,32,32,1,6,0,0,0,1,0,0,10,0,0,0,0,0,1,0,.239,.326,.406,.732,4,13,R,R.Stripling (69)
45,45,May 19 (2),,LAD,L4-5,37,31,4,4,2,0,0,4,4,1,8,2,0,0,1,1,0,0,.237,.325,.401,.726,6,15,L,S.Alexander (59)
46,46,May 20,,LAD,L2-7,34,31,2,4,0,0,1,2,3,0,10,0,0,0,0,0,0,0,.235,.322,.398,.720,5,14,L,A.Wood (61)
47,47,May 21,,SDP,W10-2,40,37,10,15,4,1,4,10,2,0,4,0,1,0,0,1,0,0,.239,.325,.409,.734,6,12,L,R.Erlin (26)
48,48,May 22,,SDP,W2-1,35,32,2,8,1,0,1,2,3,0,9,0,0,0,1,1,0,0,.239,.325,.409,.733,8,13,L,E.Lauer (61)
49,49,May 23,,SDP,L1-3,34,33,1,7,1,0,1,1,1,0,12,0,0,0,0,1,0,0,.239,.323,.407,.730,6,15,R,T.Ross (68)
50,50,May 25,@,MIA,W9-5,42,36,9,10,3,0,2,7,5,1,10,1,0,0,1,2,0,0,.240,.324,.410,.734,6,16,R,J.Urena (52)
51,51,May 26,@,MIA,W4-1,38,34,4,7,2,0,2,4,4,1,8,0,0,0,0,0,1,0,.239,.324,.410,.734,7,14,L,W.Chen (72)
52,52,May 27,@,MIA,W5-2,38,35,5,11,4,2,2,5,2,1,4,0,0,1,0,1,0,0,.240,.324,.417,.741,6,16,R,E.Hernandez (50)
53,53,May 28,@,BAL,W6-0,40,36,6,10,2,0,1,6,4,0,6,0,0,0,0,1,0,0,.241,.325,.417,.741,7,9,R,A.Cobb (55)
54,54,May 29,@,BAL,W3-2,39,37,3,12,1,0,2,3,2,1,9,0,0,0,0,2,3,0,.243,.325,.419,.744,9,9,R,D.Bundy (44)
55,55,May 30,@,BAL,W2-0,35,33,2,7,1,0,1,2,2,0,2,0,0,0,0,1,0,0,.242,.324,.417,.741,6,9,R,D.Hess (61)
56,56,May 31,@,ATL,L2-4,34,30,2,5,2,0,0,2,2,0,7,0,1,1,0,0,3,0,.241,.322,.414,.736,5,12,L,S.Newcomb (61)
57,57,Jun 1,@,ATL,L0-4,29,28,0,2,0,0,0,0,1,0,11,0,0,0,0,0,0,0,.239,.319,.409,.728,2,13,R,M.Foltynewicz (93)
58,58,Jun 2,@,ATL,W5-3,55,51,5,9,0,1,2,5,3,1,18,1,0,0,0,0,1,0,.237,.317,.407,.724,8,20,R,B.McCarthy (63)
59,59,Jun 3,@,ATL,L2-4,33,30,2,3,1,0,1,2,2,0,8,0,1,0,1,0,2,0,.235,.315,.404,.719,4,15,R,A.Sanchez (73)
60,60,Jun 5,,TBR,W4-2,30,29,4,4,0,1,1,3,1,0,8,0,0,0,0,0,0,0,.234,.313,.403,.716,2,10,R,N.Eovaldi (46)
61,61,Jun 6,,TBR,W11-2,42,38,11,15,4,0,0,9,4,1,7,0,0,0,0,0,2,0,.236,.316,.405,.720,7,14,L,J.Venters (24)
62,62,Jun 8,,SFG,L5-9,38,36,5,9,1,0,1,5,1,0,8,1,0,0,0,0,1,0,.237,.315,.404,.719,6,19,L,A.Suarez (39)
63,63,Jun 9,,SFG,W7-5,40,33,7,10,2,0,1,7,5,0,5,1,1,0,0,0,0,0,.238,.317,.405,.722,9,17,R,D.Rodriguez (25)
