Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
24,24,Apr 27,,CHW,L4-7,11.0,12,7,7,0,1,6,2,0,5.24,44,174,125,0,0,0,0,42,2,2,0,1,0,0,1,5,Sean Barber,D.Duffy (5-46) K.McCarthy (1) B.Keller (1) K.Herrera (0) T.Hill (2-L)
25,25,Apr 28(1),,CHW,L0-8,9.0,15,8,8,0,3,8,1,0,5.35,43,148,100,2,2,0,0,40,3,0,0,0,0,0,1,3,Greg Gibson,T.Oaks (99-26-L) E.Stout (2) B.Smith (3)
26,26,Apr 28(2),,CHW,W5-2,9.0,6,2,2,0,1,11,1,0,5.22,32,123,80,0,0,1,0,31,1,0,0,0,0,0,2,3,Vic Carapazza,E.Skoglund (5-77-W) B.Keller (0-H) K.Herrera (0-Sv)
27,27,Apr 29,,CHW,W5-4,9.0,10,4,4,0,5,6,0,1,5.17,42,184,120,1,0,1,0,36,3,2,0,0,0,0,1,4,Jordan Baker,I.Kennedy (4-53) B.Flynn (2-BSv) K.McCarthy (1-W) B.Boyer (4-Sv)
28,28,Apr 30,@,BOS,L6-10,8.0,13,10,9,1,3,3,2,0,5.33,41,155,98,2,0,0,0,37,3,0,0,0,1,1,0,3,CB Bucknor,J.Hammel (4-15-L) T.Hill (2) S.Barlow (99)
29,29,May 1,@,BOS,W7-6,13.0,12,6,6,0,2,10,2,1,5.28,54,206,140,3,3,0,0,51,3,0,0,0,0,0,0,8,Chris Conroy,J.Junis (4-54) T.Hill (0) B.Keller (2) B.Boyer (1) K.McCarthy (1) K.Herrera (2-BW) B.Smith (2-H) B.Flynn (1-Sv)
30,30,May 2,@,BOS,L4-5,8.0,10,5,5,0,1,6,4,0,5.29,33,127,82,0,0,0,0,32,1,0,0,0,0,0,1,2,Brian O'Nora,D.Duffy (4-39-L) B.Keller (0)
31,31,May 3,,DET,W10-6,9.0,15,6,6,0,3,11,1,0,5.31,44,161,103,6,1,0,0,41,3,0,0,0,0,0,0,6,Manny Gonzalez,E.Skoglund (4-31) S.Barlow (2) K.McCarthy (1-W) T.Hill (1) B.Boyer (1-H) K.Herrera (1)
32,32,May 4,,DET,W4-2,9.0,9,2,2,0,2,8,0,0,5.21,36,145,95,0,0,0,1,34,2,0,1,0,0,0,1,4,Jeff Nelson,I.Kennedy (4-66) K.McCarthy (0) B.Boyer (0-W) K.Herrera (0-Sv)
33,33,May 5,,DET,L2-3,9.0,12,3,3,0,3,6,0,0,5.14,40,142,94,2,0,0,1,37,5,1,0,0,0,0,1,4,Laz Diaz,J.Hammel (4-46-L) B.Flynn (3) B.Keller (2) J.Adam (99)
34,34,May 6,,DET,W4-2,9.0,10,2,2,0,2,8,1,0,5.05,38,128,84,2,1,0,0,36,1,0,0,0,0,0,1,4,Jansen Visconti,J.Junis (4-60-W) T.Hill (2-H) B.Keller (0-H) K.Herrera (1-Sv)
35,35,May 8,@,BAL,W15-7,9.0,14,7,7,0,4,8,3,0,5.10,45,183,115,1,0,0,0,40,1,0,0,0,1,0,0,3,Carlos Torres,D.Duffy (5-55-W) B.Smith (6) B.Boyer (3)
36,36,May 9,@,BAL,L3-5,8.0,9,5,5,0,2,3,1,0,5.11,34,123,81,1,0,0,0,32,1,0,0,0,0,0,1,3,Paul Nauert,E.Skoglund (5-53) K.McCarthy (4-L) T.Hill (2)
37,37,May 10,@,BAL,L6-11,8.0,14,11,11,0,3,6,3,0,5.29,40,141,95,0,0,0,0,37,4,0,0,0,0,0,1,3,Kerwin Danley,I.Kennedy (5-12-L) B.Flynn (4) J.Adam (4)
38,38,May 11,@,CLE,W10-9,9.0,8,9,9,0,7,6,3,0,5.39,41,191,113,0,0,0,0,34,1,0,0,0,0,0,1,5,Eric Cooper,J.Hammel (5-11) T.Hill (1) B.Smith (2) B.Keller (4-W) K.Herrera (4-Sv)
39,39,May 12,@,CLE,L2-6,8.0,9,6,5,1,3,9,2,0,5.39,36,141,87,5,0,0,0,33,3,0,1,0,0,0,0,3,Gary Cederstrom,J.Junis (5-46-L) K.McCarthy (2) B.Boyer (3)
40,40,May 13,@,CLE,L2-11,8.0,15,11,11,0,6,6,3,1,5.55,45,175,106,1,0,1,0,38,3,0,0,0,0,0,1,3,Cory Blaser,D.Duffy (4-5-L) B.Flynn (2) B.Smith (1)
41,41,May 14,,TBR,L1-2,9.0,8,2,2,0,0,7,0,0,5.46,32,112,79,1,0,0,2,32,2,0,0,0,0,0,1,2,Rob Drake,E.Skoglund (4-61-L) J.Adam (3)
42,42,May 15,,TBR,L5-6,9.0,10,6,6,0,3,9,1,0,5.48,40,153,104,0,0,0,0,34,3,0,0,2,1,0,0,4,Sean Barber,I.Kennedy (4-41) K.McCarthy (2) T.Hill (3) K.Herrera (3-L)
43,43,May 16,,TBR,L3-5,9.0,10,5,5,0,1,5,1,1,5.47,38,118,73,1,0,0,0,36,2,0,0,0,0,0,1,4,Mike Muchlinski,J.Hammel (4-34-L) B.Keller (4) B.Boyer (3) J.Adam (1)
44,44,May 18,,NYY,W5-2,9.0,8,2,2,0,2,7,0,0,5.39,37,146,94,2,2,0,0,34,0,0,0,0,1,0,0,5,Sam Holbrook,J.Junis (5-48-W) T.Hill (2-H) K.McCarthy (2-H) B.Keller (1-H) K.Herrera (2-Sv)
45,45,May 19,,NYY,L3-8,9.0,14,8,8,0,3,7,5,0,5.45,42,171,110,0,0,0,0,39,3,0,0,0,0,0,1,3,Jim Wolf,D.Duffy (5-29-L) B.Smith (5) B.Boyer (2)
46,46,May 20,,NYY,L1-10,9.0,14,10,10,0,4,6,4,1,5.55,45,156,100,0,0,0,0,40,2,2,0,0,0,0,1,3,Carlos Torres,E.Skoglund (5-28-L) B.Flynn (6) J.Adam (3)
47,47,May 21,@,STL,L0-6,8.0,10,6,6,0,1,10,2,0,5.57,35,141,92,1,0,0,0,33,2,0,0,1,0,0,0,3,Doug Eddings,I.Kennedy (5-35-L) J.Adam (0) B.Boyer (1)
48,48,May 22,@,STL,W5-1,9.0,11,1,0,1,0,8,0,1,5.45,36,112,76,0,0,0,3,34,0,0,0,1,0,0,1,3,Marty Foster,J.Hammel (5-63-W) B.Keller (3-H) K.Herrera (3)
49,49,May 23,@,STL,W5-2,10.0,6,2,2,0,2,12,0,0,5.37,38,141,92,0,0,0,0,35,2,0,0,1,0,0,0,5,Mark Ripperger,J.Junis (4-55) K.McCarthy (4) B.Keller (0) B.Boyer (1-W) K.Herrera (0-Sv)
50,50,May 24,@,TEX,W8-2,9.0,5,2,1,1,3,8,0,0,5.28,32,146,94,1,0,0,1,29,2,0,0,0,0,0,1,2,Quinn Wolcott,D.Duffy (4-70-W) T.Hill (5)
51,51,May 25,@,TEX,L4-8,8.0,10,8,8,0,5,7,3,0,5.34,40,169,96,1,0,1,0,35,2,2,0,0,0,1,0,3,Jeff Kellogg,E.Skoglund (4-27-L) B.Flynn (4) B.Boyer (1)
52,52,May 26,@,TEX,L3-4,9.0,8,4,4,0,4,6,1,0,5.32,38,157,95,0,0,1,0,33,3,1,1,1,0,0,0,4,Marvin Hudson,I.Kennedy (4-50) B.Keller (2-BSv) T.Hill (1) K.McCarthy (2-L)
53,53,May 27,@,TEX,W5-3,9.0,9,3,3,0,3,11,2,0,5.27,37,160,101,2,0,1,0,34,3,0,0,0,0,0,2,6,Chad Whitson,J.Hammel (4-68-W) T.Hill (0) E.Stout (28) K.McCarthy (0-H) J.Adam (5-H) K.Herrera (3-Sv)
