Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
100,100,Jul 21,@,DET,L0-5,8.0,7,5,3,2,1,9,1,0,3.55,33,123,82,0,0,0,0,31,1,0,0,0,1,1,0,4,Stu Scheurwater,B.Johnson (5-58-L) T.Thornburg (5) R.Brasier (5) H.Velazquez (7)
101,101,Jul 22,@,DET,W9-1,9.0,5,1,1,0,2,10,1,1,3.53,35,154,107,0,0,0,0,32,1,0,0,0,0,1,0,4,Eric Cooper,C.Sale (10-77-W) B.Workman (6) J.Kelly (7) T.Thornburg (0)
102,102,Jul 23,@,BAL,W5-3,9.0,11,3,3,0,1,9,1,0,3.52,36,141,90,0,0,0,0,35,3,0,0,0,0,0,1,4,Chris Conroy,R.Porcello (9-65-W) R.Brasier (1) B.Workman (0) C.Kimbrel (2-Sv)
103,103,Jul 24,@,BAL,L6-7,8.0,9,7,7,0,5,5,2,0,3.56,37,153,95,3,1,1,1,31,0,0,0,0,1,0,0,4,Brian O'Nora,D.Pomeranz (53-38-L) T.Thornburg (1) J.Kelly (1) H.Velazquez (2)
104,104,Jul 26,,MIN,L1-2,9.0,8,2,2,0,4,9,0,0,3.55,36,140,90,3,0,1,0,32,1,0,0,0,0,0,1,4,Marty Foster,B.Johnson (4-63) H.Hembree (5-BSv) M.Barnes (5-L) R.Brasier (2)
105,105,Jul 27,,MIN,W4-3,10.0,6,3,3,0,5,12,0,1,3.54,42,169,112,0,0,0,0,36,2,0,0,0,0,1,1,5,Joe West,C.Sale (4-74) R.Brasier (0-H) M.Barnes (0-H) C.Kimbrel (3-BSv) T.Thornburg (2-W)
106,106,Jul 28,,MIN,W10-4,9.0,7,4,4,0,1,9,1,0,3.54,36,146,97,1,0,1,0,35,0,1,0,0,0,1,1,4,Mark Ripperger,R.Porcello (4-47-W) H.Hembree (1-H) T.Thornburg (0-H) J.Kelly (3)
107,107,Jul 29,,MIN,W3-0,9.0,4,0,0,0,1,8,0,1,3.51,31,110,79,0,0,0,0,29,1,0,0,0,0,0,1,3,Doug Eddings,N.Eovaldi (8-74-W) M.Barnes (1-H) C.Kimbrel (1-Sv)
108,108,Jul 30,,PHI,W2-1,13.0,10,1,1,0,5,10,0,0,3.47,52,185,118,0,0,0,1,47,4,0,0,0,0,0,0,6,Andy Fletcher,D.Price (9-66) T.Thornburg (1) R.Brasier (2) H.Hembree (1) J.Kelly (1) H.Velazquez (5-W)
109,109,Jul 31,,PHI,L1-3,9.0,10,3,3,0,6,8,0,2,3.47,43,168,94,0,0,0,1,34,3,0,0,0,1,0,0,5,Jeff Nelson,D.Pomeranz (6-50-L) J.Kelly (0) H.Hembree (0) M.Barnes (1) H.Velazquez (0)
110,110,Aug 2,,NYY,W15-7,9.0,8,7,6,1,3,13,4,0,3.49,39,160,106,0,0,0,0,35,1,1,0,0,1,1,0,4,Dan Bellino,B.Johnson (6-46-W) B.Workman (9) J.Kelly (1) R.Brasier (2)
111,111,Aug 3,,NYY,W4-1,9.0,1,1,1,0,0,9,1,1,3.47,28,86,69,,,0,0,27,0,0,0,0,0,0,1,1,Adam Hamari,R.Porcello (5-90-W)
112,112,Aug 4,,NYY,W4-1,9.0,5,1,1,0,3,6,0,0,3.45,33,125,83,0,0,0,0,30,3,0,0,0,0,0,2,2,Phil Cuzzi,N.Eovaldi (5-79-W) C.Kimbrel (5)
113,113,Aug 5,,NYY,W5-4,10.0,6,4,2,2,6,8,0,1,3.43,44,183,109,4,3,0,0,35,0,0,0,1,1,1,0,5,Chris Conroy,D.Price (5-58) H.Hembree (4-BSv) R.Brasier (2) T.Thornburg (5) M.Barnes (4-W)
114,114,Aug 7,@,TOR,W10-7,10.0,13,7,6,1,6,7,3,0,3.45,47,177,107,2,0,0,0,40,2,0,0,0,1,0,2,7,Ed Hickox,D.Pomeranz (6-44) H.Hembree (1) B.Workman (4) J.Kelly (4) M.Barnes (1-H) C.Kimbrel (2-BW) T.Thornburg (1)
115,115,Aug 8,@,TOR,W10-5,9.0,9,5,5,0,2,9,2,0,3.46,38,131,92,0,0,0,0,36,1,0,0,0,0,1,1,3,Ramon De Jesus,B.Johnson (5-49-W) R.Brasier (2) J.Kelly (0)
116,116,Aug 9,@,TOR,L5-8,8.0,12,8,8,0,3,9,2,0,3.50,37,138,92,0,0,2,1,34,2,0,0,0,0,1,1,4,Gabe Morales,R.Porcello (5-24-L) B.Workman (1) H.Velazquez (8) T.Thornburg (1)
117,117,Aug 10,@,BAL,W19-12,9.0,17,12,8,4,4,10,3,0,3.54,47,180,118,1,0,1,1,41,3,0,0,1,1,1,1,7,Marvin Hudson,N.Eovaldi (5-12) B.Workman (0) D.Pomeranz (2-W) H.Hembree (2-H) R.Brasier (1) M.Barnes (2) J.Kelly (1)
