Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
77,77,Jun 21,@,SFG,L0-3,8.0,6,3,2,1,4,4,0,0,4.14,33,132,81,2,1,0,1,28,2,1,1,0,1,1,1,3,Gerry Davis,T.Ross (6-65-L) P.Maton (39) J.Castillo (1)
78,78,Jun 22,@,SFG,W6-2,9.0,5,2,2,0,1,8,0,0,4.11,33,129,80,3,1,1,0,32,2,0,0,0,0,0,0,6,Brian Knight,C.Richard (6-62-W) A.Cimber (2-H) J.Castillo (0-H) C.Stammen (2-H) K.Yates (2-H) B.Hand (2)
79,79,Jun 23,@,SFG,L3-5,8.0,8,5,5,0,2,8,0,1,4.13,35,133,91,2,0,1,0,31,3,1,0,0,1,0,0,6,Pat Hoberg,J.Lyles (6) M.Strahm (5-55) J.Castillo (0) A.Cimber (0-L) P.Maton (1) R.Erlin (2)
80,80,Jun 24,@,SFG,L2-3,10.1,9,3,3,0,2,10,1,1,4.11,42,167,114,0,0,0,0,39,5,0,1,0,0,0,1,5,Nic Lentz,E.Lauer (4-61) C.Stammen (1) K.Yates (1) R.Stock (99) B.Hand (1-BL)
81,81,Jun 25,@,TEX,L4-7,8.0,12,7,5,2,3,8,0,1,4.13,40,163,106,5,2,1,0,34,1,0,0,0,2,1,0,5,Tony Randazzo,J.Lucchesi (4-62) R.Stock (0) C.Stammen (0-L) A.Cimber (1-BSv) R.Erlin (1)
82,82,Jun 26,@,TEX,W3-2,9.0,8,2,2,0,3,11,2,1,4.10,39,150,97,0,0,1,0,35,0,0,0,0,0,0,0,4,John Libka,T.Ross (4-56) M.Strahm (2-W) K.Yates (1-H) B.Hand (1-Sv)
83,83,Jun 27,@,TEX,L2-5,8.0,12,5,5,0,2,4,1,3,4.12,40,125,79,1,0,1,0,34,6,0,0,1,0,0,0,3,Bill Welke,C.Richard (4-43-L) J.Castillo (3) K.Makita (28)
84,84,Jun 29,,PIT,L3-6,9.0,11,6,3,3,0,8,1,1,4.10,38,143,96,0,0,1,0,36,3,0,0,1,0,1,0,4,Angel Hernandez,E.Lauer (4-34-L) K.Makita (1) R.Stock (3) J.Castillo (1)
85,85,Jun 30,,PIT,W4-3,9.0,7,3,3,0,4,10,0,0,4.09,37,158,104,0,0,0,0,33,4,1,0,0,0,0,1,5,Bill Miller,J.Lucchesi (4-66-W) M.Strahm (3) C.Stammen (4-H) K.Yates (3-H) B.Hand (3-Sv)
86,86,Jul 1,,PIT,L5-7,9.0,9,7,7,0,3,5,3,0,4.12,39,138,86,2,0,1,0,36,2,0,0,0,0,1,1,6,Todd Tichenor,T.Ross (4-22-L) J.Castillo (1) R.Stock (1) R.Erlin (5) A.Cimber (5) C.Stammen (0)
