Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
11,11,Apr 11,,ARI,L3-7,9.0,9,7,7,0,1,9,2,0,3.32,37,158,109,2,2,1,0,36,4,0,0,0,0,0,0,4,Scott Barry,A.Suarez (99-51-L) S.Dyson (1) J.Osich (0) P.Johnson (2)
12,12,Apr 12,@,SDP,W7-0,9.0,1,0,0,0,3,6,0,0,3.05,30,126,82,0,0,0,0,27,0,0,0,0,0,0,0,2,Mike Winters,C.Stratton (4-76-W) D.Law (99)
13,13,Apr 13,@,SDP,L1-5,8.0,8,5,4,1,1,6,1,1,3.15,36,118,76,1,0,0,0,34,2,0,0,0,0,2,0,3,Tim Timmons,T.Blach (4-41-L) P.Johnson (1) S.Dyson (1)
14,14,Apr 14,@,SDP,L4-5,8.0,11,5,5,0,4,9,2,0,3.30,39,149,97,7,0,0,0,34,2,0,0,0,1,1,1,6,Rob Drake,D.Holland (4-42) R.Moronta (3) J.Osich (2) C.Gearrin (3-BL) T.Watson (3) P.Johnson (0)
15,15,Apr 15,@,SDP,L1-10,8.0,11,10,9,1,7,12,1,1,3.71,43,182,113,2,0,3,0,35,3,1,0,0,0,1,1,5,Mike Muchlinski,T.Beede (4-32-L) R.Moronta (0) J.Osich (0) D.Law (2) H.Strickland (4)
16,16,Apr 17,@,ARI,L0-1,8.0,3,1,1,0,1,12,0,1,3.56,29,111,72,0,0,0,0,26,0,0,0,1,0,0,0,2,Dan Bellino,J.Cueto (12-84) T.Watson (2-L)
17,17,Apr 18,@,ARI,W4-3,10.0,10,3,3,0,3,10,0,0,3.51,42,155,101,1,0,0,0,39,6,1,1,0,0,1,2,4,Phil Cuzzi,C.Stratton (5-71) T.Watson (0-H) H.Strickland (2-BW) C.Gearrin (3-Sv)
18,18,Apr 19,@,ARI,L1-3,8.0,7,3,3,0,3,4,2,0,3.50,34,118,75,0,0,0,0,30,1,0,0,1,0,0,0,3,Tom Hallion,T.Blach (5-53-L) R.Moronta (3) S.Dyson (5)
19,19,Apr 20,@,LAA,W8-1,9.0,5,1,1,0,4,6,1,0,3.37,35,133,82,0,0,1,0,31,1,0,0,0,0,0,1,4,Mark Ripperger,J.Samardzija (99-63-W) R.Moronta (0) P.Johnson (5) J.Osich (4)
20,20,Apr 21,@,LAA,L3-4,8.0,6,4,4,0,2,7,3,0,3.42,31,126,80,0,0,1,0,29,3,0,0,0,0,0,1,3,Joe West,D.Holland (6-51-L) C.Gearrin (2) S.Dyson (1)
21,21,Apr 22,@,LAA,W4-2,9.0,6,2,2,0,3,11,1,2,3.35,37,166,105,0,0,0,0,32,0,0,0,0,0,1,2,5,Doug Eddings,J.Cueto (4-73-W) R.Moronta (1) C.Gearrin (0) T.Watson (3-H) H.Strickland (3-Sv)
22,22,Apr 23,,WSN,W4-2,9.0,5,2,2,0,4,8,0,0,3.29,37,151,99,1,0,2,0,31,0,1,0,0,2,1,0,4,Bill Miller,C.Stratton (4-60-W) S.Dyson (1-H) T.Watson (0-H) H.Strickland (0-Sv)
23,23,Apr 24,,WSN,W4-3,9.0,6,3,3,0,3,6,1,0,3.28,34,120,78,0,0,0,0,30,1,0,1,1,0,0,2,4,Angel Hernandez,T.Blach (4-48) R.Moronta (1-W) S.Dyson (0-H) H.Strickland (0-Sv)
24,24,Apr 25,,WSN,L2-15,9.0,18,15,12,3,6,6,1,1,3.64,53,190,118,3,2,2,0,46,4,0,1,0,0,1,0,5,Todd Tichenor,J.Samardzija (4-21-L) P.Johnson (4) J.Osich (4) C.Gearrin (2) R.Gomez (15)
