Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
23,23,Apr 27,,MIL,W3-2,9.0,4,2,1,1,4,10,0,0,3.75,36,155,101,5,1,1,0,30,1,0,0,0,2,1,0,6,Stu Scheurwater,Y.Darvish (5-70) S.Cishek (2-H) B.Duensing (5-BSv) P.Strop (1-W) C.Edwards (0-H) B.Morrow (0-Sv)
24,24,Apr 28,,MIL,W3-0,9.0,2,0,0,0,1,10,0,0,3.60,30,122,80,0,0,0,0,29,1,0,0,0,0,1,0,4,Eric Cooper,J.Quintana (5-79-W) P.Strop (0-H) B.Duensing (0) S.Cishek (0)
25,25,Apr 29,,MIL,W2-0,9.0,2,0,0,0,4,6,0,0,3.46,31,123,71,0,0,2,0,27,0,0,0,0,0,0,2,3,Gary Cederstrom,T.Chatwood (4-74-W) C.Edwards (1-H) B.Morrow (1-Sv)
26,26,Apr 30,,COL,W3-2,9.0,7,2,0,2,4,9,0,1,3.33,39,155,89,3,0,0,0,33,1,0,0,1,0,2,1,5,Jeff Nelson,J.Lester (4-57) L.Farrell (5-W) P.Strop (1-H) B.Duensing (1-H) S.Cishek (1-Sv)
27,27,May 1,,COL,L1-3,9.0,4,3,3,0,2,7,3,0,3.32,32,119,74,1,0,1,0,30,0,0,0,0,0,0,1,2,Laz Diaz,K.Hendricks (4-62-L) J.Wilson (6)
28,28,May 2,,COL,L2-11,9.0,15,11,8,3,5,11,4,0,3.48,48,183,117,2,2,1,0,43,3,0,0,0,0,1,0,4,Andy Fletcher,Y.Darvish (4-32-L) B.Duensing (1) M.Montgomery (6) L.Farrell (1)
29,29,May 4,@,STL,L2-3,8.0,9,3,0,3,5,7,1,0,3.38,36,151,92,0,0,0,0,31,0,0,0,0,0,1,2,4,Bill Miller,J.Quintana (5-46-L) S.Cishek (3) J.Wilson (2) B.Duensing (1)
30,30,May 5,@,STL,L6-8,9.0,7,8,7,1,7,9,1,2,3.49,44,163,93,1,0,2,0,34,2,0,0,0,1,1,0,6,Angel Hernandez,T.Chatwood (5-42) M.Montgomery (2) P.Strop (4-H) C.Edwards (5-H) B.Morrow (5-BSv) L.Farrell (2-L)
31,31,May 6,@,STL,L3-4,13.2,10,4,4,0,8,13,2,1,3.45,56,230,137,5,1,0,1,47,1,1,1,0,0,0,3,8,Todd Tichenor,J.Lester (5-48) S.Cishek (1-BSv) J.Wilson (1) C.Edwards (0) B.Duensing (1) B.Morrow (0) M.Montgomery (0) L.Farrell (0-BL)
32,32,May 7,,MIA,W14-2,9.0,6,2,2,0,0,4,0,0,3.41,31,109,75,0,0,0,0,30,2,0,0,1,0,0,1,2,Lance Barksdale,K.Hendricks (5-65-W) C.Mazzoni (99)
33,33,May 8,,MIA,W4-3,9.0,6,3,3,0,2,10,1,1,3.40,35,134,90,0,0,0,0,32,2,0,0,0,0,0,0,7,Will Little,J.Tseng (99-39) R.Zastryzny (99) S.Cishek (1) J.Wilson (1) P.Strop (2) C.Edwards (1-W) B.Morrow (1-Sv)
34,34,May 9,,MIA,W13-4,9.0,8,4,4,0,4,7,2,0,3.41,38,160,96,1,0,0,1,34,0,1,0,0,0,0,0,3,Ted Barrett,J.Quintana (4-61-W) J.Hancock (99) M.Montgomery (2)
35,35,May 11,,CHW,W11-2,9.0,5,2,2,0,7,8,0,0,3.38,36,160,96,2,0,0,0,29,1,0,0,0,0,0,1,5,Brian Gorman,T.Chatwood (5-54-W) B.Duensing (4) P.Strop (2) J.Wilson (2) J.Hancock (1)
36,36,May 12,,CHW,W8-4,9.0,8,4,4,0,4,9,1,0,3.39,39,173,110,4,0,0,0,35,2,0,0,0,0,1,1,5,Adrian Johnson,J.Lester (5-59-W) J.Wilson (0-H) C.Edwards (3) M.Montgomery (2) B.Morrow (3-Sv)
37,37,May 13,,CHW,L3-5,9.0,7,5,4,1,1,10,1,0,3.41,35,145,103,1,0,0,0,32,0,1,0,1,1,0,0,4,Tripp Gibson,K.Hendricks (5-52-L) B.Duensing (1) S.Cishek (4) M.Montgomery (0)
38,38,May 14,,ATL,L5-6,9.0,9,6,6,0,8,9,3,0,3.47,45,171,97,2,0,1,1,36,1,0,0,1,0,1,0,6,Shane Livensparger,J.Quintana (4-25-L) S.Cishek (0) B.Duensing (0) P.Strop (2) J.Wilson (1) J.Hancock (2)
39,39,May 15,@,ATL,W3-2,9.0,5,2,2,0,3,7,2,0,3.44,33,115,70,0,0,3,0,30,0,0,0,0,0,1,0,5,Jim Wolf,Y.Darvish (12-55) M.Montgomery (1) P.Strop (0) C.Edwards (2-W) B.Morrow (2-Sv)
40,40,May 16,@,ATL,L1-4,8.0,7,4,4,0,7,5,0,0,3.46,35,138,78,4,1,0,0,28,2,1,1,0,0,0,3,5,Carlos Torres,T.Chatwood (4-56) B.Duensing (1) S.Cishek (1) C.Edwards (0-L) J.Hancock (1)
41,41,May 18,@,CIN,W8-1,9.0,2,1,1,0,3,15,1,0,3.40,31,156,100,0,0,0,0,28,0,0,0,0,0,0,1,4,Jim Reynolds,J.Lester (5-71-W) J.Wilson (3) J.Hancock (1) M.Montgomery (2)
42,42,May 19(1),@,CIN,L4-5,10.0,8,5,4,1,7,12,0,0,3.41,45,155,97,2,0,2,0,36,3,0,1,1,1,1,1,7,Pat Hoberg,K.Hendricks (5-45) R.Rosario (99) C.Edwards (2) P.Strop (3) B.Duensing (2) S.Cishek (2) J.Wilson (0-L)
43,43,May 19(2),@,CIN,W10-0,9.0,3,0,0,0,4,10,0,0,3.33,32,126,83,0,0,0,0,28,0,0,0,0,0,0,2,3,Ben May,J.Quintana (4-78-W) M.Montgomery (0) S.Cishek (-1)
44,44,May 20,@,CIN,W6-1,9.0,3,1,1,0,3,13,0,2,3.28,34,134,87,0,0,0,0,29,0,0,0,0,0,0,1,4,John Tumpane,Y.Darvish (4-68-W) P.Strop (0) C.Edwards (0) B.Morrow (4)
45,45,May 22,,CLE,L1-10,9.0,11,10,10,0,10,5,1,0,3.42,47,188,101,2,0,0,0,36,4,0,1,0,1,0,1,4,Will Little,T.Chatwood (5-29-L) M.Montgomery (2) J.Hancock (3) J.Wilson (2)
46,46,May 23,,CLE,L0-1,9.0,9,1,1,0,1,8,0,0,3.37,35,135,90,0,0,1,1,32,0,0,0,2,0,0,0,3,Ted Barrett,J.Lester (4-64-L) C.Edwards (2) B.Morrow (2)
47,47,May 25,,SFG,W6-2,9.0,4,2,2,0,3,11,1,0,3.34,34,127,83,3,0,0,0,31,0,0,0,0,0,0,0,5,Cory Blaser,K.Hendricks (5-74-W) C.Edwards (1) P.Strop (4) B.Duensing (5) B.Morrow (1-Sv)
48,48,May 26,,SFG,L4-5,9.0,11,5,5,0,5,13,1,0,3.38,41,160,104,3,2,0,1,35,5,0,1,0,1,0,1,4,Stu Scheurwater,J.Quintana (6-41-L) S.Cishek (6) J.Wilson (3) P.Strop (0)
49,49,May 27,,SFG,W8-3,9.0,9,3,3,0,8,8,0,0,3.37,43,181,101,3,0,0,0,35,0,0,0,0,0,1,2,5,Eric Cooper,T.Chatwood (4-32) R.Rosario (7-W) B.Duensing (1) C.Edwards (1) J.Hancock (4)
50,50,May 28,@,PIT,W7-0,9.0,2,0,0,0,0,7,0,0,3.30,28,114,83,1,0,0,0,28,0,0,0,0,0,0,1,5,Bill Welke,M.Montgomery (5-70-W) S.Cishek (1-H) J.Wilson (1-H) P.Strop (1) L.Farrell (21)
51,51,May 29,@,PIT,W8-6,9.0,13,6,6,0,0,8,2,1,3.36,41,147,92,2,2,0,0,40,4,0,0,0,0,0,0,5,Mark Carlson,J.Lester (5-46-W) C.Edwards (1-H) S.Cishek (0) B.Duensing (1) B.Morrow (3-Sv)
52,52,May 30,@,PIT,L1-2,8.0,9,2,2,0,3,3,1,0,3.34,34,107,68,1,0,0,0,29,0,1,1,1,1,0,1,4,Pat Hoberg,K.Hendricks (4-45-L) R.Rosario (2) C.Mazzoni (22) J.Wilson (1)
53,53,May 31,@,NYM,W5-1,9.0,4,1,1,0,4,8,1,0,3.29,34,143,86,2,0,0,0,30,1,0,0,0,0,0,0,5,Brian Gorman,J.Quintana (4-70-W) S.Cishek (1) B.Duensing (1) P.Strop (2-H) B.Morrow (1-Sv)
54,54,Jun 1,@,NYM,W7-4,9.0,6,4,4,0,6,7,1,0,3.31,38,159,96,5,2,0,1,32,1,0,0,0,0,0,0,6,Adrian Johnson,T.Chatwood (4-51) R.Rosario (1-W) P.Strop (0) B.Duensing (0) S.Cishek (0-H) B.Morrow (0-Sv)
55,55,Jun 2,@,NYM,W7-1,14.0,7,1,1,0,4,15,1,0,3.23,54,210,141,1,0,0,0,50,1,0,1,0,0,2,0,5,Tripp Gibson,M.Montgomery (4-67) C.Mazzoni (2) J.Wilson (2) L.Farrell (4-W) B.Morrow (0)
56,56,Jun 3,@,NYM,W2-0,9.0,3,0,0,0,4,8,0,1,3.18,34,143,84,1,0,2,0,29,0,0,0,0,0,1,2,4,Chad Whitson,J.Lester (4-77-W) R.Rosario (1-H) S.Cishek (1-H) B.Duensing (1-Sv)
57,57,Jun 5,,PHI,L1-6,9.0,9,6,6,0,6,7,1,0,3.22,42,155,97,0,0,0,0,35,1,0,1,0,1,0,0,3,Jordan Baker,K.Hendricks (5-39-L) C.Mazzoni (2) R.Rosario (1)
58,58,Jun 6,,PHI,W7-5,9.0,6,5,5,0,4,16,2,1,3.25,38,152,94,4,2,0,0,33,0,0,0,0,0,0,0,5,Vic Carapazza,J.Quintana (5-63) S.Cishek (2-BSv) J.Wilson (3) B.Morrow (3) C.Mazzoni (0-W)
59,59,Jun 7,,PHI,W4-3,9.0,6,3,2,1,9,12,0,1,3.23,43,190,111,4,0,0,0,33,1,0,0,0,0,1,1,6,Nick Mahrley,T.Chatwood (5-51) B.Duensing (3-W) S.Cishek (0-H) J.Wilson (0-H) P.Strop (5-H) B.Morrow (0-Sv)
60,60,Jun 8,,PIT,W3-1,9.0,9,1,1,0,2,4,0,1,3.20,37,140,88,2,0,0,1,33,2,0,0,0,1,0,1,4,Chad Fairchild,M.Montgomery (5-54-W) C.Mazzoni (1-H) R.Rosario (2-H) P.Strop (0-Sv)
61,61,Jun 9,,PIT,W2-0,9.0,1,0,0,0,2,8,0,0,3.15,30,136,89,0,0,0,0,28,0,1,0,0,0,0,0,3,Doug Eddings,J.Lester (5-78-W) J.Wilson (1-H) S.Cishek (1-Sv)
62,62,Jun 10,,PIT,L1-7,9.0,9,7,7,0,6,8,1,0,3.21,41,185,109,3,3,1,0,35,1,1,0,0,0,0,1,4,Jansen Visconti,K.Hendricks (4-59-L) B.Duensing (2) L.Farrell (7) C.Mazzoni (1)
63,63,Jun 11,@,MIL,W7-2,11.0,8,2,2,0,2,9,2,0,3.18,40,171,112,0,0,0,0,38,2,0,0,0,0,0,3,5,Ben May,J.Quintana (4-57) J.Wilson (1) P.Strop (2) R.Rosario (2-W) A.Bass (99)
64,64,Jun 12,@,MIL,L0-4,8.0,7,4,4,0,3,10,0,0,3.20,34,150,95,0,0,1,1,31,2,0,0,0,0,0,0,3,Mike Estabrook,T.Chatwood (4-44-L) L.Farrell (1) A.Bass (0)
65,65,Jun 13,@,MIL,L0-1,8.0,4,1,1,0,2,6,1,0,3.17,29,118,77,1,0,2,0,27,0,0,0,0,0,0,2,4,Jim Reynolds,M.Montgomery (4-67-L) J.Wilson (1) S.Cishek (3) B.Duensing (2)
66,66,Jun 15,@,STL,W13-5,9.0,9,5,4,1,3,5,3,0,3.18,38,161,100,1,0,0,0,35,0,0,0,0,0,1,1,4,Paul Nauert,J.Lester (5-56-W) A.Bass (2) L.Farrell (2) R.Rosario (3)
67,67,Jun 16,@,STL,W6-3,9.0,9,3,3,0,4,7,1,0,3.18,38,154,99,0,0,0,1,34,0,0,0,0,0,0,0,5,Tom Woodring,K.Hendricks (5-45-W) R.Rosario (0-H) S.Cishek (2-H) P.Strop (4-H) B.Morrow (8-Sv)
68,68,Jun 17,@,STL,L0-5,8.0,10,5,4,1,4,6,1,0,3.19,36,161,98,3,3,0,0,32,1,0,0,0,0,0,1,4,Scott Barry,J.Quintana (5-52-L) A.Bass (1) B.Duensing (3) L.Farrell (1)
69,69,Jun 19(1),,LAD,L3-4,9.0,6,4,4,0,8,10,1,1,3.21,42,181,103,2,0,0,0,30,3,1,0,3,0,0,0,5,Tripp Gibson,T.Chatwood (6-60) S.Cishek (2-H) R.Rosario (2-H) P.Strop (2-H) J.Wilson (5-BL)
70,70,Jun 19(2),,LAD,W2-1,10.0,9,1,1,0,7,9,0,0,3.17,44,172,102,3,0,1,0,37,2,0,1,0,0,0,1,6,Brian Gorman,M.Montgomery (5-59) A.Bass (1) R.Rosario (-1) S.Cishek (-1) J.Hancock (22) R.Zastryzny (41-W)
71,71,Jun 20,,LAD,W4-0,9.0,6,0,0,0,3,2,0,0,3.13,34,137,83,0,0,0,0,31,3,0,0,0,0,0,0,2,Chad Whitson,J.Lester (4-65-W) A.Bass (0)
