Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
67,67,Jun 13,,BOS,L1-5,37,30,1,4,1,0,0,1,5,0,9,1,0,1,0,0,1,0,.226,.293,.372,.665,9,10,L,C.Sale (69)
68,68,Jun 15,,MIA,L0-2,30,28,0,3,0,0,0,0,1,0,6,1,0,0,0,2,0,0,.224,.291,.369,.660,3,9,R,J.Urena (79)
69,69,Jun 16,,MIA,L4-5,39,36,4,11,2,0,1,4,3,0,5,0,0,0,0,2,0,0,.225,.292,.370,.662,8,11,L,W.Chen (45)
70,70,Jun 17,,MIA,W10-4,40,38,10,14,4,0,2,10,2,0,7,0,0,0,0,0,0,0,.228,.294,.375,.668,6,10,R,T.Richards (19)
71,71,Jun 19,@,WSN,L7-9,38,32,7,7,1,1,3,6,5,0,6,1,0,0,0,1,0,1,.228,.294,.377,.672,4,16,R,J.Rodriguez (42)
72,72,Jun 20,@,WSN,W3-0,34,33,3,8,2,1,1,3,0,0,8,0,0,1,0,1,1,0,.228,.294,.379,.672,4,16,L,G.Gonzalez (46)
73,73,Jun 21,@,WSN,L2-4,33,32,2,5,2,0,2,2,1,0,9,0,0,0,0,0,0,0,.227,.292,.379,.671,4,12,R,M.Scherzer (67)
74,74,Jun 22,@,ATL,W10-7,62,54,10,15,2,0,2,10,5,1,11,1,1,1,0,2,1,1,.228,.293,.380,.673,7,21,L,S.Newcomb (64)
75,75,Jun 23,@,ATL,W7-5,37,34,7,7,2,1,1,7,3,0,12,0,0,0,0,0,0,0,.228,.293,.380,.673,3,13,R,J.Teheran (27)
76,76,Jun 24,@,ATL,L3-7,33,31,3,6,1,0,2,3,1,0,5,1,0,0,0,2,0,0,.227,.293,.381,.673,3,13,R,B.McCarthy (50)
77,77,Jun 25,,SEA,L3-5,35,31,3,4,0,0,1,3,3,0,8,1,0,0,0,0,0,0,.226,.292,.379,.671,5,10,R,F.Hernandez (53)
78,78,Jun 26,,SEA,L2-3,33,32,2,8,1,0,1,1,1,0,11,0,0,0,0,1,0,1,.226,.292,.379,.670,4,12,L,J.Paxton (66)
79,79,Jun 27,,SEA,L7-8,45,45,7,13,1,0,2,6,0,0,5,0,0,0,0,0,0,0,.227,.292,.380,.672,5,12,L,W.LeBlanc (43)
80,80,Jun 28,,SEA,L2-4,38,35,2,6,0,0,2,2,3,1,8,0,0,0,0,1,1,0,.227,.291,.380,.670,6,9,R,M.Leake (64)
81,81,Jun 29,,LAA,L1-7,32,31,1,7,1,0,0,1,1,0,9,0,0,0,0,3,0,0,.227,.290,.378,.669,4,9,R,F.Pena (62)
82,82,Jun 30,,LAA,L2-6,36,33,2,6,0,0,0,2,2,0,7,0,0,1,2,0,0,0,.226,.290,.376,.665,7,11,L,T.Skaggs (58)
83,83,Jul 1,,LAA,W8-2,34,32,8,10,2,0,4,8,2,0,8,0,0,0,0,2,0,0,.227,.290,.380,.670,2,11,R,D.McGuire (32)
84,84,Jul 3,@,PHI,L2-3,36,34,2,7,2,0,1,1,2,0,9,0,0,0,0,0,1,0,.227,.290,.380,.670,7,13,R,Z.Eflin (65)
85,85,Jul 4,@,PHI,L1-4,37,33,1,7,2,0,0,1,3,0,12,1,0,0,0,0,1,1,.227,.290,.379,.668,9,13,R,A.Nola (66)
86,86,Jul 5,@,MIN,L2-5,34,31,2,5,2,0,2,2,2,1,6,1,0,0,0,1,0,0,.226,.289,.379,.668,5,10,R,A.Slegers (63)
87,87,Jul 6,@,MIN,L2-6,39,37,2,11,0,0,0,1,2,0,4,0,0,0,1,1,0,0,.227,.290,.378,.668,10,9,R,L.Lynn (57)
88,88,Jul 7,@,MIN,L4-5,37,33,4,7,4,0,1,4,4,0,11,0,0,0,0,1,1,0,.227,.290,.378,.668,6,9,R,K.Gibson (62)
89,89,Jul 8,@,MIN,L1-10,34,33,1,7,2,0,1,1,1,0,6,0,0,0,0,1,0,0,.227,.289,.378,.668,6,12,R,J.Odorizzi (66)
90,90,Jul 9 (1),,NYY,W5-4,36,32,5,10,4,0,2,5,4,0,8,0,0,0,0,2,1,0,.228,.290,.381,.671,7,10,L,C.Sabathia (34)
91,91,Jul 9 (2),,NYY,L2-10,33,28,2,5,1,0,1,2,5,0,4,0,0,0,0,3,0,1,.227,.291,.380,.671,4,10,R,L.Cessa (67)
92,92,Jul 10,,NYY,W6-5,41,37,6,10,3,0,2,6,3,1,9,1,0,0,1,0,0,0,.228,.291,.382,.673,9,9,R,M.Tanaka (42)
93,93,Jul 11,,NYY,L0-9,33,32,0,5,2,0,0,0,1,0,12,0,0,0,0,0,0,0,.227,.290,.380,.670,6,11,R,S.Gray (73)
94,94,Jul 12,,PHI,L4-5,35,34,4,7,1,0,2,4,1,0,9,0,0,0,2,2,0,0,.227,.290,.381,.670,4,9,R,N.Pivetta (58)
95,95,Jul 13,,TEX,L4-5,38,34,4,9,2,0,0,4,2,0,7,1,0,1,0,1,2,0,.227,.290,.380,.670,7,10,L,C.Hamels (49)
96,96,Jul 14,,TEX,W1-0,30,27,1,6,1,0,0,1,2,0,5,0,0,1,1,3,1,0,.227,.290,.379,.669,5,11,L,M.Perez (65)
97,97,Jul 15,,TEX,W6-5,35,32,6,7,3,0,1,5,3,0,3,0,0,0,1,0,1,0,.227,.290,.379,.669,5,10,L,M.Minor (27)
98,98,Jul 20,@,TOR,L7-8,42,40,7,10,2,0,4,6,1,0,13,1,0,0,0,0,0,0,.227,.290,.382,.671,5,9,R,S.Gaviglio (56)
99,99,Jul 21,@,TOR,L1-4,33,30,1,5,1,0,0,1,2,0,9,1,0,0,0,1,0,0,.227,.289,.380,.669,5,9,R,M.Stroman (68)
100,100,Jul 22,@,TOR,L4-5,39,37,4,10,4,0,1,4,1,0,15,1,0,0,0,0,0,0,.227,.289,.381,.670,8,9,L,J.Happ (64)
101,101,Jul 23,,BOS,L3-5,36,35,3,11,3,0,1,3,1,0,9,0,0,0,0,1,0,0,.228,.290,.382,.672,6,9,R,R.Porcello (65)
102,102,Jul 24,,BOS,W7-6,37,31,7,9,0,0,2,7,5,0,5,0,0,1,0,0,1,1,.229,.291,.383,.674,6,11,L,D.Pomeranz (38)
103,103,Jul 26,,TBR,L3-4,38,35,3,9,2,0,2,3,3,0,7,0,0,0,0,1,0,0,.229,.291,.384,.675,8,9,R,H.Wood (55)
104,104,Jul 27,,TBR,W15-5,47,39,15,15,2,0,2,13,8,0,4,0,0,0,1,1,0,0,.231,.293,.386,.680,8,12,R,C.Archer (45)
105,105,Jul 28,,TBR,W11-2,41,35,11,15,3,0,2,11,5,0,3,0,0,1,0,3,0,0,.233,.295,.389,.685,6,10,R,R.Stanek (39)
106,106,Jul 29,,TBR,W11-5,44,39,11,15,1,0,4,11,4,0,9,1,0,0,1,1,1,0,.234,.297,.393,.690,9,9,R,Y.Chirinos (34)
107,107,Jul 31,@,NYY,L3-6,36,32,3,6,2,0,0,2,3,0,15,1,0,0,0,1,0,0,.234,.297,.392,.688,6,9,R,M.Tanaka (72)
108,108,Aug 1,@,NYY,W7-5,42,40,7,15,2,0,1,7,2,0,9,0,0,0,0,0,0,0,.235,.298,.393,.691,8,10,R,S.Gray (15)
109,109,Aug 2,@,TEX,L8-17,43,40,8,14,1,0,3,8,2,0,6,0,1,0,0,0,0,0,.237,.299,.395,.694,8,11,R,Y.Gallardo (32)
110,110,Aug 3,@,TEX,L3-11,37,35,3,10,3,0,0,3,2,0,8,0,0,0,1,2,0,0,.237,.299,.395,.694,7,9,R,A.Jurado (48)
111,111,Aug 4,@,TEX,L1-3,31,31,1,5,1,0,0,1,0,0,7,0,0,0,0,1,0,0,.236,.298,.393,.691,3,9,L,M.Minor (71)
112,112,Aug 5,@,TEX,W9-6,38,34,9,11,1,0,4,9,3,0,5,0,1,0,0,1,1,0,.237,.299,.396,.695,2,10,R,D.Hutchison (20)
113,113,Aug 7,@,TBR,L3-4,34,32,3,7,2,0,2,3,1,0,13,1,0,0,0,2,1,0,.237,.298,.397,.695,4,9,R,T.Glasnow (63)
114,114,Aug 8,@,TBR,W5-4,36,34,5,7,1,0,3,5,2,0,9,0,0,0,0,0,1,0,.237,.298,.397,.696,4,11,R,R.Stanek (48)
115,115,Aug 9,@,TBR,L4-5,33,32,4,8,1,1,1,4,1,0,8,0,0,0,0,3,0,0,.237,.298,.398,.696,2,9,R,H.Wood (34)
116,116,Aug 10,,BOS,L12-19,47,41,12,17,3,0,3,11,4,0,10,0,1,1,1,1,1,1,.239,.300,.401,.701,8,10,R,N.Eovaldi (12)
117,117,Aug 11 (1),,BOS,L0-5,32,32,0,5,1,0,0,0,0,0,14,0,0,0,0,0,0,0,.238,.299,.399,.698,5,9,L,D.Price (72)
