Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
57,57,Jun 5 (1),@,MIN,L2-4,37,36,2,8,2,0,1,2,0,0,7,1,0,0,1,0,1,0,.245,.308,.414,.722,8,9,R,F.Romero (54)
58,58,Jun 5 (2),@,MIN,W6-3,40,35,6,9,4,0,1,6,5,0,7,0,0,0,1,1,0,0,.245,.309,.415,.724,7,9,R,Z.Littell (20)
59,59,Jun 6,@,MIN,W5-2,38,35,5,9,2,0,0,4,2,0,13,0,1,0,1,0,2,0,.245,.309,.413,.722,6,10,R,J.Odorizzi (49)
60,60,Jun 7,@,MIN,L2-7,31,31,2,6,3,0,0,2,0,0,10,0,0,0,0,0,0,0,.244,.307,.411,.718,2,9,R,J.Berrios (77)
61,61,Jun 8,@,BOS,W1-0,33,32,1,6,1,0,0,1,1,0,12,0,0,0,0,0,0,0,.244,.306,.408,.714,5,9,L,C.Sale (75)
62,62,Jun 9,@,BOS,L2-4,35,31,2,6,1,1,0,2,4,0,11,0,0,0,0,2,0,0,.243,.305,.407,.712,6,10,L,D.Price (57)
63,63,Jun 10,@,BOS,W5-2,41,35,5,8,3,0,0,5,4,1,12,1,1,0,1,0,0,0,.243,.306,.405,.711,9,9,R,R.Porcello (54)
64,64,Jun 11,,CLE,L0-4,32,29,0,2,0,0,0,0,1,0,13,2,0,0,0,0,1,0,.240,.304,.401,.704,5,9,R,C.Carrasco (83)
65,65,Jun 12,,CLE,W5-1,36,31,5,8,3,0,2,5,5,0,9,0,0,0,0,0,0,1,.241,.304,.403,.707,7,11,R,A.Plutko (30)
66,66,Jun 13,,CLE,W3-2,30,27,3,4,1,1,0,3,2,0,12,0,1,0,0,0,1,0,.239,.303,.401,.704,3,9,R,T.Bauer (69)
67,67,Jun 14,,CLE,L2-5,35,33,2,7,0,0,1,2,1,0,15,0,0,0,1,0,0,1,.239,.302,.400,.702,6,11,R,M.Clevinger (71)
