Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
23,23,Apr 29,,CIN,L2-8,9.0,14,8,8,0,4,6,1,0,5.26,45,163,100,2,2,1,0,41,3,0,0,0,0,0,0,4,Ted Barrett,J.Berrios (4-30-L) T.Rogers (1) M.Magill (99) T.Duffey (1)
24,24,Apr 30,,TOR,L5-7,9.0,10,7,6,1,6,7,2,0,5.29,44,155,87,2,0,0,1,38,2,0,1,0,0,2,0,4,Adam Hamari,L.Lynn (4-28-L) T.Hildenberger (2) R.Pressly (2) J.Curtiss (99)
25,25,May 1,,TOR,L4-7,10.0,10,7,7,0,7,12,2,1,5.34,47,182,104,1,0,3,0,38,3,0,2,0,1,0,1,7,Adrian Johnson,K.Gibson (4-53) R.Pressly (0) Z.Duke (2-H) A.Reed (2-BSv) F.Rodney (2) J.Curtiss (0-L) M.Magill (1)
26,26,May 2,,TOR,W4-0,9.0,6,0,0,0,3,9,0,1,5.13,34,140,86,1,0,0,2,30,1,0,0,0,0,0,1,5,Dan Bellino,F.Romero (99-63-W) T.Hildenberger (1-H) Z.Duke (0-H) A.Reed (0-H) F.Rodney (0)
27,27,May 3,@,CHW,L5-6,8.2,7,6,4,2,2,14,2,1,5.10,34,149,94,1,0,1,2,30,2,0,0,1,0,0,0,4,Gary Cederstrom,J.Odorizzi (4-46) T.Rogers (3) R.Pressly (1) A.Reed (0-L)
28,28,May 4,@,CHW,W6-4,9.0,9,4,4,0,3,5,2,0,5.06,39,144,102,1,0,1,0,36,0,1,0,0,0,0,0,5,Cory Blaser,J.Berrios (4-44-W) Z.Duke (1-H) R.Pressly (0-H) T.Hildenberger (1-H) F.Rodney (1-Sv)
29,29,May 5,@,CHW,W8-4,9.0,11,4,4,0,0,11,2,0,5.02,36,152,110,0,0,1,0,36,4,0,0,0,0,0,2,3,Stu Scheurwater,L.Lynn (4-55-W) M.Magill (3) P.Hughes (7)
30,30,May 6,@,CHW,W5-3,9.0,5,3,3,0,2,12,0,0,4.96,35,136,88,1,1,0,0,30,2,0,0,2,1,1,0,4,Chad Whitson,K.Gibson (4-60) Z.Duke (1-BW) A.Reed (2-H) F.Rodney (1-Sv)
31,31,May 7,@,STL,W6-0,9.0,4,0,0,0,3,12,0,1,4.80,34,137,88,0,0,0,0,29,1,0,0,1,0,0,1,3,Mike Winters,F.Romero (4-72-W) T.Hildenberger (2) M.Magill (1)
32,32,May 8,@,STL,W7-1,9.0,2,1,1,0,2,7,1,0,4.68,30,137,94,0,0,0,1,27,0,0,0,1,0,0,0,4,Tim Timmons,J.Odorizzi (4-60-W) R.Pressly (3) T.Rogers (4) P.Hughes (2)
33,33,May 10,@,LAA,L4-7,8.0,12,7,7,0,2,2,3,2,4.77,37,125,82,1,1,0,0,32,4,0,0,0,1,0,3,4,Larry Vanover,J.Berrios (5-35-L) R.Pressly (1) T.Hildenberger (2) M.Magill (2)
34,34,May 11,@,LAA,W5-4,9.0,10,4,4,0,2,8,1,0,4.74,38,159,102,4,0,1,0,36,1,0,0,0,0,0,1,6,Hunter Wendelstedt,L.Lynn (5-33) T.Rogers (2) T.Hildenberger (0) Z.Duke (4) M.Magill (0-W) F.Rodney (4-Sv)
35,35,May 12,@,LAA,W5-3,12.0,7,3,3,0,12,10,0,1,4.65,55,209,116,0,0,1,0,41,1,1,2,0,1,0,1,6,Chris Guccione,K.Gibson (5-60) R.Pressly (1-BSv) A.Reed (5) Z.Duke (0) T.Hildenberger (0-W) F.Rodney (0-Sv)
36,36,May 13,@,LAA,L1-2,8.1,7,2,2,0,5,8,0,1,4.59,37,139,85,2,0,1,0,30,1,0,0,1,0,0,1,5,David Rackley,F.Romero (5-58) T.Rogers (1) R.Pressly (0) A.Reed (0) Z.Duke (0-L)
37,37,May 14,,SEA,L0-1,9.0,6,1,1,0,1,8,0,1,4.49,36,136,85,0,0,0,0,33,4,0,0,1,0,1,0,4,D.J. Reyburn,J.Odorizzi (5-70) M.Magill (2) T.Hildenberger (1-L) P.Hughes (5)
38,38,May 15,,STL,W4-1,9.0,2,1,1,0,1,12,0,1,4.40,31,124,82,1,0,0,0,29,0,0,0,0,0,0,0,3,Scott Barry,J.Berrios (4-79-W) A.Reed (1-H) F.Rodney (2-Sv)
39,39,May 16,,STL,L5-7,9.0,13,7,7,0,6,10,1,0,4.47,44,182,114,5,1,0,1,38,4,0,0,0,0,0,1,7,Angel Hernandez,L.Lynn (4-40-L) T.Rogers (2) M.Magill (1) R.Pressly (2) Z.Duke (2) P.Hughes (1) A.Reed (0)
40,40,May 18,,MIL,L3-8,9.0,15,8,8,0,5,9,3,0,4.55,44,163,104,1,0,0,0,38,4,0,1,0,1,0,2,4,Marty Foster,K.Gibson (5-33-L) T.Hildenberger (3) M.Magill (1) P.Hughes (1)
41,41,May 19,,MIL,L4-5,9.0,6,5,4,1,3,6,2,1,4.54,35,148,90,0,0,0,0,30,1,0,0,0,1,0,2,5,Mark Ripperger,F.Romero (5-47) T.Rogers (2) R.Pressly (2) A.Reed (2-L) Z.Duke (2)
42,42,May 20,,MIL,W3-1,9.0,7,1,1,0,2,17,1,0,4.46,35,155,108,2,0,0,0,33,0,0,0,0,0,0,0,5,Joe West,J.Odorizzi (5-63) T.Rogers (0) R.Pressly (0) A.Reed (0-W) F.Rodney (4-Sv)
