Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
42,42,May 16,,CHW,W3-2,34,27,3,4,2,0,0,3,6,0,7,1,0,0,1,1,0,0,.260,.332,.431,.763,7,14,L,H.Santiago (54)
43,43,May 17,,SDP,W5-4,37,32,5,9,4,0,0,4,3,0,6,0,1,1,1,0,0,0,.260,.332,.430,.762,8,14,L,E.Lauer (36)
44,44,May 18,,SDP,L2-3,42,34,2,8,3,0,0,2,6,1,6,2,0,0,0,1,2,0,.260,.333,.428,.761,13,14,R,T.Ross (52)
45,45,May 19,,SDP,L2-6,33,33,2,8,2,1,0,2,0,0,3,0,0,0,0,2,0,0,.259,.332,.426,.758,4,13,L,C.Richard (58)
46,46,May 20,,SDP,L5-8,44,36,5,10,1,0,2,5,5,0,5,1,0,2,0,0,0,0,.260,.332,.427,.760,12,17,R,J.Lyles (41)
47,47,May 22,@,CIN,L2-7,37,32,2,6,0,0,2,2,5,0,6,0,0,0,0,1,0,0,.258,.332,.426,.758,8,13,R,M.Harvey (65)
48,48,May 23,@,CIN,W5-4,56,50,5,15,2,1,1,5,6,0,7,0,0,0,0,1,0,0,.259,.333,.427,.760,15,18,R,H.Bailey (31)
49,49,May 24,@,CIN,L4-5,35,33,4,7,1,0,2,4,2,0,10,0,0,0,0,1,0,0,.258,.332,.427,.758,4,14,R,L.Castillo (59)
50,50,May 25,,STL,W8-1,38,35,8,12,2,3,0,8,1,0,9,1,0,1,0,0,1,0,.260,.332,.430,.762,6,13,R,J.Gant (55)
51,51,May 26,,STL,L1-4,34,32,1,6,1,0,1,1,2,0,6,0,0,0,0,1,0,0,.259,.331,.427,.758,6,15,R,J.Flaherty (62)
52,52,May 27,,STL,L4-6,33,31,4,5,0,1,0,4,1,0,7,0,0,1,0,0,1,0,.257,.328,.424,.752,2,15,R,M.Mikolas (50)
53,53,May 28,,CHC,L0-7,28,28,0,2,0,0,0,0,0,0,7,0,0,0,0,1,0,0,.254,.325,.418,.743,1,14,L,M.Montgomery (70)
54,54,May 29,,CHC,L6-8,41,40,6,13,4,0,2,6,0,0,8,1,0,0,0,0,0,0,.256,.325,.422,.747,8,17,L,J.Lester (46)
55,55,May 30,,CHC,W2-1,34,29,2,9,0,1,1,2,3,1,3,0,1,1,0,1,0,0,.257,.326,.423,.748,8,12,R,K.Hendricks (45)
