,Date,home,away,Rhome,Raway,BAa,PAa,ABa,Ha,B2Ba,B3Ba,BHRa,RBIa,BBBa,BSOa,SHa,SFa,SBa,BAh,PAh,ABh,Hh,B2Bh,B3Bh,BHRh,RBIh,BBBh,BSOh,SHh,SFh,SBh,P3Bh,P2Bh,PHRh,PSOh,PBBh,BFh,HHAh,RSAh,ERh,UERh,Pith,Strh,P3Ba,P2Ba,PHRa,PSOa,PBBa,BFa,HHAa,RSAa,ERa,UERa,Pita,Stra,PO_h,A_h,E_h,DP_h,PO_a,A_a,E_a,DP_a,rdiff
1685,8-Aug,OAK,LAD,3,2,0.242,36,34,7,1,0,1,2,2,11,0,0,2,0.248,33,33,8,0,0,0,2,0,2,0,0,0,0,1,1,11,2,36,7,2,2,0,143,96,0,0,0,2,0,33,8,3,2,1,136,90,1.214016339,1.142367051,-0.245970769,-0.612827469,2.001856474,-0.581621533,0.418816103,-1.366294755,1
1689,17-Aug,SEA,LAD,1,11,0.244,42,36,11,0,0,5,10,5,6,0,1,0,0.256,34,32,4,0,0,1,1,2,11,0,0,0,0,0,5,6,5,42,11,11,9,2,153,98,0,0,1,11,2,34,4,1,1,0,130,87,-0.075467145,-0.02846954,-0.306419105,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,-10
1690,18-Aug,SEA,LAD,5,4,0.243,41,35,6,0,0,3,4,5,8,0,0,1,0.255,40,34,8,0,0,1,4,6,9,0,0,0,0,0,3,8,5,41,6,4,4,0,176,112,0,0,1,9,6,40,8,5,5,0,168,107,-0.075467145,-0.02846954,-0.306419105,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,1
1691,19-Aug,SEA,LAD,1,12,0.244,51,45,17,3,0,2,12,5,3,0,0,5,0.255,33,32,5,1,0,0,1,1,12,0,0,0,0,3,2,3,5,51,17,12,11,1,210,129,0,1,0,12,1,33,5,1,1,0,115,92,-0.075467145,-0.02846954,-0.306419105,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,-11
1698,28-Aug,TEX,LAD,4,8,0.246,46,40,15,2,1,1,7,2,6,0,2,0,0.244,37,34,8,0,0,0,4,3,9,0,0,0,1,2,1,6,2,46,15,8,7,1,163,104,0,0,0,9,3,37,8,4,4,0,163,105,-1.415518609,0.752088187,1.627927646,1.752334985,2.001856474,-0.581621533,0.418816103,-1.366294755,-4
1699,29-Aug,TEX,LAD,1,3,0.245,33,29,4,0,1,3,3,4,10,0,0,0,0.243,35,31,5,1,0,0,1,4,7,0,0,1,1,0,3,10,4,33,4,3,3,0,131,82,0,1,0,7,4,35,5,1,1,0,137,88,-1.415518609,0.752088187,1.627927646,1.752334985,2.001856474,-0.581621533,0.418816103,-1.366294755,-2
1703,13-Sep,STL,LAD,7,9,0.246,42,38,16,3,1,1,9,1,7,1,2,0,0.251,43,38,12,3,0,1,6,4,11,0,1,0,1,3,1,7,1,42,16,9,9,0,160,112,0,3,1,11,4,43,12,7,5,2,149,100,0.430212652,0.556948755,2.413756014,0.784768526,2.001856474,-0.581621533,0.418816103,-1.366294755,-2
1704,14-Sep,STL,LAD,0,3,0.246,37,32,7,0,0,2,2,4,12,0,0,0,0.25,32,29,2,0,0,0,0,2,10,0,0,0,0,0,2,12,4,37,7,3,2,1,168,105,0,0,0,10,2,32,2,0,0,0,116,82,0.430212652,0.556948755,2.413756014,0.784768526,2.001856474,-0.581621533,0.418816103,-1.366294755,-3
1705,15-Sep,STL,LAD,4,17,0.247,52,41,16,1,0,5,16,10,9,0,0,0,0.249,36,32,5,0,0,1,4,4,11,0,0,0,0,1,5,9,10,52,16,17,13,4,189,118,0,0,1,11,4,36,5,4,4,0,142,91,0.430212652,0.556948755,2.413756014,0.784768526,2.001856474,-0.581621533,0.418816103,-1.366294755,-13
1706,16-Sep,STL,LAD,5,0,0.246,34,29,4,1,0,0,0,5,12,0,0,0,0.249,33,32,8,0,0,1,4,1,11,0,0,0,0,1,0,12,5,34,4,0,0,0,150,88,0,0,1,11,1,33,8,5,4,1,143,98,0.430212652,0.556948755,2.413756014,0.784768526,2.001856474,-0.581621533,0.418816103,-1.366294755,5
1710,28-Sep,SFG,LAD,1,3,0.248,36,35,9,1,0,1,3,1,10,0,0,1,0.24,33,29,6,0,0,1,1,3,6,0,0,0,0,1,1,10,1,36,9,3,3,0,159,113,0,0,1,6,3,33,6,1,1,0,141,86,0.88532447,1.261618926,0.237615919,1.268551755,2.001856474,-0.581621533,0.418816103,-1.366294755,-2
1711,29-Sep,SFG,LAD,6,10,0.249,51,44,18,3,2,2,10,7,6,0,0,2,0.24,36,34,9,3,0,0,6,1,9,0,1,0,2,3,2,6,7,51,18,10,10,0,173,108,0,3,0,9,1,36,9,6,6,0,139,90,0.88532447,1.261618926,0.237615919,1.268551755,2.001856474,-0.581621533,0.418816103,-1.366294755,-4
1712,30-Sep,SFG,LAD,0,15,0.25,47,40,16,5,1,3,14,5,6,0,1,0,0.239,29,29,2,0,0,0,0,0,11,0,0,0,1,5,3,6,5,47,16,15,15,0,190,122,0,0,0,11,0,29,2,0,0,0,105,78,0.88532447,1.261618926,0.237615919,1.268551755,2.001856474,-0.581621533,0.418816103,-1.366294755,-15
