,Date,home,away,Rhome,Raway,BAa,PAa,ABa,Ha,B2Ba,B3Ba,BHRa,RBIa,BBBa,BSOa,SHa,SFa,SBa,BAh,PAh,ABh,Hh,B2Bh,B3Bh,BHRh,RBIh,BBBh,BSOh,SHh,SFh,SBh,P3Bh,P2Bh,PHRh,PSOh,PBBh,BFh,HHAh,RSAh,ERh,UERh,Pith,Strh,P3Ba,P2Ba,PHRa,PSOa,PBBa,BFa,HHAa,RSAa,ERa,UERa,Pita,Stra,PO_h,A_h,E_h,DP_h,PO_a,A_a,E_a,DP_a,rdiff
1627,7-Apr,SFG,LAD,7,5,0.206,62,53,12,1,0,1,4,9,10,0,0,0,0.25,57,55,17,3,0,2,7,2,18,0,0,2,0,1,1,10,9,62,12,5,4,1,248,150,0,3,2,18,2,57,17,7,7,0,243,158,0.88532447,1.261618926,0.237615919,1.268551755,2.001856474,-0.581621533,0.418816103,-1.366294755,2
1628,8-Apr,SFG,LAD,1,2,0.213,41,37,10,2,0,0,2,4,5,0,0,1,0.247,36,36,8,2,0,0,1,0,9,0,0,1,0,2,0,5,4,41,10,2,2,0,156,95,0,2,0,9,0,36,8,1,1,0,135,88,0.88532447,1.261618926,0.237615919,1.268551755,2.001856474,-0.581621533,0.418816103,-1.366294755,-1
1631,16-Apr,SDP,LAD,3,10,0.239,43,36,9,2,1,2,10,7,11,0,0,0,0.232,34,32,6,2,0,1,3,1,12,0,0,0,1,2,2,11,7,43,9,10,9,1,170,106,0,2,1,12,1,34,6,3,3,0,140,88,0.556632602,0.546107676,0.418960927,-0.505320085,2.001856474,-0.581621533,0.418816103,-1.366294755,-7
1632,17-Apr,SDP,LAD,3,7,0.239,54,46,11,3,1,1,7,6,8,0,1,1,0.225,48,41,5,2,0,1,2,7,20,0,0,1,1,3,1,8,6,54,11,7,7,0,198,121,0,2,1,20,7,48,5,3,2,1,191,120,0.556632602,0.546107676,0.418960927,-0.505320085,2.001856474,-0.581621533,0.418816103,-1.366294755,-4
1633,18-Apr,SDP,LAD,4,13,0.251,48,44,18,5,0,1,11,3,11,1,0,0,0.225,39,34,8,1,0,0,4,3,13,0,1,0,0,5,1,11,3,48,18,13,11,2,186,121,0,1,0,13,3,39,8,4,4,0,150,107,0.556632602,0.546107676,0.418960927,-0.505320085,2.001856474,-0.581621533,0.418816103,-1.366294755,-9
1640,27-Apr,SFG,LAD,6,4,0.241,41,33,8,3,0,0,4,7,7,1,0,2,0.235,36,32,9,1,0,2,5,3,9,0,1,0,0,3,0,7,7,41,8,4,4,0,183,111,0,1,2,9,3,36,9,6,6,0,152,89,0.88532447,1.261618926,0.237615919,1.268551755,2.001856474,-0.581621533,0.418816103,-1.366294755,2
1641,29-Apr,SFG,LAD,4,2,0.248,34,33,8,2,0,0,2,1,6,0,0,1,0.238,33,28,6,2,1,1,4,5,5,0,0,0,0,2,0,6,1,34,8,2,2,0,132,84,1,2,1,5,5,33,6,4,4,0,119,74,0.88532447,1.261618926,0.237615919,1.268551755,2.001856474,-0.581621533,0.418816103,-1.366294755,2
1642,4-May,SDP,LAD,0,4,0.243,37,34,9,1,1,2,4,3,9,0,0,0,0.223,31,26,0,0,0,0,0,5,13,0,0,0,1,1,2,9,3,37,9,4,4,0,164,103,0,0,0,13,5,31,0,0,0,0,146,93,0.556632602,0.546107676,0.418960927,-0.505320085,2.001856474,-0.581621533,0.418816103,-1.366294755,-4
1643,5-May,SDP,LAD,7,4,0.244,40,33,10,2,0,1,4,5,10,1,0,1,0.225,36,30,9,1,1,2,7,5,10,0,1,0,0,2,1,10,5,40,10,4,4,0,154,90,1,1,2,10,5,36,9,7,7,0,148,87,0.556632602,0.546107676,0.418960927,-0.505320085,2.001856474,-0.581621533,0.418816103,-1.366294755,3
1644,6-May,SDP,LAD,3,0,0.244,40,37,9,1,0,0,0,3,12,0,0,0,0.228,36,33,11,1,1,1,3,3,8,0,0,0,0,1,0,12,3,40,9,0,0,0,161,102,1,1,1,8,3,36,11,3,3,0,149,97,0.556632602,0.546107676,0.418960927,-0.505320085,2.001856474,-0.581621533,0.418816103,-1.366294755,3
1645,15-May,MIA,LAD,4,2,0.237,35,31,5,0,0,2,2,3,5,1,0,0,0.23,34,31,12,2,0,0,3,1,6,1,1,0,0,0,2,5,3,35,5,2,2,0,150,93,0,2,0,6,1,34,12,4,3,1,130,82,-0.581146943,-0.440430563,-0.608660785,-0.182797932,2.001856474,-0.581621533,0.418816103,-1.366294755,2
1646,16-May,MIA,LAD,6,5,0.238,39,37,10,3,0,1,5,1,7,0,0,0,0.232,40,34,11,2,0,2,6,4,9,0,1,0,0,3,1,7,1,39,10,5,5,0,143,98,0,2,2,9,4,40,11,6,5,1,149,106,-0.581146943,-0.440430563,-0.608660785,-0.182797932,2.001856474,-0.581621533,0.418816103,-1.366294755,1
1647,17-May,MIA,LAD,0,7,0.239,44,36,10,4,0,1,7,7,7,1,0,0,0.23,31,31,4,1,0,0,0,0,11,0,0,0,0,4,1,7,7,44,10,7,7,0,192,117,0,1,0,11,0,31,4,0,0,0,120,92,-0.581146943,-0.440430563,-0.608660785,-0.182797932,2.001856474,-0.581621533,0.418816103,-1.366294755,-7
1648,20-May,WSN,LAD,2,7,0.239,39,33,7,3,0,3,7,6,9,0,0,1,0.235,34,31,4,0,0,1,2,3,10,0,0,0,0,3,3,9,6,39,7,7,7,0,158,101,0,0,1,10,3,34,4,2,2,0,143,89,-0.277739065,-1.361922324,-1.757179168,-1.15036439,2.001856474,-0.581621533,0.418816103,-1.366294755,-5
1656,5-Jun,PIT,LAD,0,5,0.241,36,33,7,0,0,3,5,2,11,0,1,1,0.253,34,33,7,0,0,0,0,1,8,0,0,0,0,0,3,11,2,36,7,5,4,1,145,92,0,0,0,8,1,34,7,0,0,0,150,97,-1.1879627,-0.126039256,0.721202607,-0.451566393,2.001856474,-0.581621533,0.418816103,-1.366294755,-5
