,Date,home,away,Rhome,Raway,BAa,PAa,ABa,Ha,B2Ba,B3Ba,BHRa,RBIa,BBBa,BSOa,SHa,SFa,SBa,BAh,PAh,ABh,Hh,B2Bh,B3Bh,BHRh,RBIh,BBBh,BSOh,SHh,SFh,SBh,P3Bh,P2Bh,PHRh,PSOh,PBBh,BFh,HHAh,RSAh,ERh,UERh,Pith,Strh,P3Ba,P2Ba,PHRa,PSOa,PBBa,BFa,HHAa,RSAa,ERa,UERa,Pita,Stra,PO_h,A_h,E_h,DP_h,PO_a,A_a,E_a,DP_a,rdiff
224,9-Jun,LAD,ATL,3,5,0.261,40,40,14,4,1,0,5,0,10,0,0,2,0.242,34,31,6,2,0,1,2,3,10,0,0,0,1,4,0,10,0,40,14,5,3,2,144,101,0,2,1,10,3,34,6,3,3,0,140,83,1.997820025,-0.581364597,0.418960927,-1.365379159,0.533500004,-0.538236719,-0.789732709,-0.129771574,-2
225,10-Jun,LAD,ATL,7,2,0.261,34,34,7,0,0,2,2,0,7,0,0,0,0.243,37,32,10,2,0,3,7,4,8,1,0,1,0,0,2,7,0,34,7,2,2,0,127,85,0,2,3,8,4,37,10,7,7,0,132,84,1.997820025,-0.581364597,0.418960927,-1.365379159,0.533500004,-0.538236719,-0.789732709,-0.129771574,5
662,25-Jun,LAD,CHC,2,1,0.257,33,31,7,0,0,0,1,1,9,0,1,0,0.241,30,27,5,1,0,2,2,3,4,0,0,0,0,0,0,9,1,33,7,1,1,0,110,78,0,1,2,4,3,30,5,2,2,0,118,74,1.997820025,-0.581364597,0.418960927,-1.365379159,2.027172965,2.02146733,0.660525866,0.999227852,1
663,26-Jun,LAD,CHC,4,9,0.258,47,42,15,1,0,2,9,5,9,0,0,2,0.241,35,32,6,0,0,0,3,3,11,0,0,3,0,1,2,9,5,47,15,9,2,7,178,113,0,0,0,11,3,35,6,4,4,0,159,96,1.997820025,-0.581364597,0.418960927,-1.365379159,2.027172965,2.02146733,0.660525866,0.999227852,-5
664,27-Jun,LAD,CHC,7,5,0.258,37,36,10,3,0,1,4,1,8,0,0,0,0.242,44,36,12,1,0,3,7,7,6,0,0,0,0,3,1,8,1,37,10,5,4,1,120,81,0,1,3,6,7,44,12,7,7,0,181,101,1.997820025,-0.581364597,0.418960927,-1.365379159,2.027172965,2.02146733,0.660525866,0.999227852,2
665,28-Jun,LAD,CHC,5,11,0.26,43,40,15,5,0,2,11,1,11,0,1,0,0.242,42,35,9,2,0,2,5,5,5,1,0,1,0,5,2,11,1,43,15,11,11,0,155,106,0,2,2,5,5,42,9,5,5,0,141,90,1.997820025,-0.581364597,0.418960927,-1.365379159,2.027172965,2.02146733,0.660525866,0.999227852,-6
904,10-May,LAD,CIN,1,4,0.24,37,36,9,2,1,1,4,0,9,1,0,0,0.241,36,31,4,0,0,0,1,4,7,1,0,0,1,2,1,9,0,37,9,4,4,0,139,100,0,0,0,7,4,36,4,1,0,1,161,99,1.997820025,-0.581364597,0.418960927,-1.365379159,-0.656375066,1.294771689,0.1166789,0.4078472,-3
905,11-May,LAD,CIN,2,6,0.241,43,36,10,3,0,1,6,5,7,0,1,1,0.239,34,32,5,1,2,1,2,1,9,0,0,0,0,3,1,7,5,43,10,6,6,0,174,104,2,1,1,9,1,34,5,2,2,0,143,97,1.997820025,-0.581364597,0.418960927,-1.365379159,-0.656375066,1.294771689,0.1166789,0.4078472,-4
906,12-May,LAD,CIN,3,5,0.244,41,40,13,2,0,1,5,0,10,1,0,0,0.241,41,37,12,2,0,1,3,3,7,1,0,0,0,2,1,10,0,41,13,5,5,0,162,118,0,2,1,7,3,41,12,3,3,0,136,86,1.997820025,-0.581364597,0.418960927,-1.365379159,-0.656375066,1.294771689,0.1166789,0.4078472,-2
907,13-May,LAD,CIN,3,5,0.244,43,36,9,1,0,2,5,6,7,1,0,4,0.239,32,32,5,0,0,2,3,0,12,0,0,0,0,1,2,7,6,43,9,5,4,1,144,92,0,0,2,12,0,32,5,3,2,1,150,92,1.997820025,-0.581364597,0.418960927,-1.365379159,-0.656375066,1.294771689,0.1166789,0.4078472,-2
1149,21-May,LAD,COL,1,2,0.23,32,30,3,0,0,1,2,2,7,0,0,1,0.237,33,29,3,1,0,1,1,3,7,0,0,0,0,0,1,7,2,32,3,2,1,1,128,81,0,1,1,7,3,33,3,1,1,0,117,75,1.997820025,-0.581364597,0.418960927,-1.365379159,0.204385623,1.468310947,-1.152297353,1.375560994,-1
1150,22-May,LAD,COL,5,3,0.23,36,34,7,1,0,1,3,2,7,0,0,1,0.236,33,30,6,2,0,2,5,3,6,0,0,0,0,1,1,7,2,36,7,3,3,0,140,91,0,2,2,6,3,33,6,5,5,0,130,81,1.997820025,-0.581364597,0.418960927,-1.365379159,0.204385623,1.468310947,-1.152297353,1.375560994,2
1151,23-May,LAD,COL,3,0,0.228,33,29,4,0,0,0,0,4,15,0,0,0,0.236,32,26,6,2,0,0,3,3,3,1,1,0,0,0,0,15,4,33,4,0,0,0,136,98,0,2,0,3,3,32,6,3,3,0,108,69,1.997820025,-0.581364597,0.418960927,-1.365379159,0.204385623,1.468310947,-1.152297353,1.375560994,3
1174,29-Jun,LAD,COL,1,3,0.251,36,34,9,1,0,3,3,0,12,0,0,0,0.241,31,30,5,0,0,1,1,1,10,0,0,0,0,1,3,12,0,36,9,3,3,0,150,111,0,0,1,10,1,31,5,1,1,0,111,74,1.997820025,-0.581364597,0.418960927,-1.365379159,0.204385623,1.468310947,-1.152297353,1.375560994,-2
1175,30-Jun,LAD,COL,1,3,0.251,35,33,6,2,0,1,2,2,12,0,0,0,0.24,30,30,3,0,0,1,1,0,10,0,0,0,0,2,1,12,2,35,6,3,2,1,125,85,0,0,1,10,0,30,3,1,1,0,107,74,1.997820025,-0.581364597,0.418960927,-1.365379159,0.204385623,1.468310947,-1.152297353,1.375560994,-2
1176,1-Jul,LAD,COL,6,4,0.251,37,35,9,3,0,1,4,2,10,0,0,0,0.241,36,32,11,3,0,1,5,3,7,0,0,0,0,3,1,10,2,37,9,4,4,0,127,83,0,3,1,7,3,36,11,6,5,1,148,88,1.997820025,-0.581364597,0.418960927,-1.365379159,0.204385623,1.468310947,-1.152297353,1.375560994,2
1228,17-Sep,LAD,COL,8,2,0.256,34,31,6,1,0,0,2,2,6,0,0,0,0.247,40,33,11,1,0,3,7,6,8,0,0,0,0,1,0,6,2,34,6,2,2,0,134,85,0,1,3,8,6,40,11,8,8,0,163,101,1.997820025,-0.581364597,0.418960927,-1.365379159,0.204385623,1.468310947,-1.152297353,1.375560994,6
1229,18-Sep,LAD,COL,3,2,0.255,39,33,4,0,0,1,1,5,9,1,0,3,0.246,37,32,6,1,0,1,2,4,7,1,0,1,0,0,1,9,5,39,4,2,1,1,131,85,0,1,1,7,4,37,6,3,3,0,143,91,1.997820025,-0.581364597,0.418960927,-1.365379159,0.204385623,1.468310947,-1.152297353,1.375560994,1
1230,19-Sep,LAD,COL,5,2,0.254,35,33,4,0,0,0,2,1,16,0,0,0,0.246,31,28,5,2,0,2,5,3,5,0,0,1,0,0,0,16,1,35,4,2,0,2,132,94,0,2,2,5,3,31,5,5,5,0,127,82,1.997820025,-0.581364597,0.418960927,-1.365379159,0.204385623,1.468310947,-1.152297353,1.375560994,3
