,Date,home,away,Rhome,Raway,BAa,PAa,ABa,Ha,B2Ba,B3Ba,BHRa,RBIa,BBBa,BSOa,SHa,SFa,SBa,BAh,PAh,ABh,Hh,B2Bh,B3Bh,BHRh,RBIh,BBBh,BSOh,SHh,SFh,SBh,P3Bh,P2Bh,PHRh,PSOh,PBBh,BFh,HHAh,RSAh,ERh,UERh,Pith,Strh,P3Ba,P2Ba,PHRa,PSOa,PBBa,BFa,HHAa,RSAa,ERa,UERa,Pita,Stra,PO_h,A_h,E_h,DP_h,PO_a,A_a,E_a,DP_a,rdiff
1637,23-Apr,LAD,MIA,2,1,0.221,38,32,6,0,0,0,1,5,8,0,0,1,0.244,32,29,6,2,0,1,2,2,11,0,1,0,0,0,0,8,5,38,6,1,1,0,149,93,0,2,1,11,2,32,6,2,2,0,134,88,1.997820025,-0.581364597,0.418960927,-1.365379159,-0.580425594,-0.440620886,-0.608450387,-0.183533452,1
1638,24-Apr,LAD,MIA,2,3,0.222,36,35,8,3,0,1,3,1,12,0,0,0,0.241,37,32,5,3,0,0,2,5,7,0,0,0,0,3,1,12,1,36,8,3,3,0,138,91,0,3,0,7,5,37,5,2,2,0,162,97,1.997820025,-0.581364597,0.418960927,-1.365379159,-0.580425594,-0.440620886,-0.608450387,-0.183533452,-1
1639,25-Apr,LAD,MIA,6,8,0.224,47,40,11,2,0,3,6,7,15,0,0,1,0.241,40,36,9,1,1,2,6,4,12,0,0,0,0,2,3,15,7,47,11,8,6,2,199,121,1,1,2,12,4,40,9,6,6,0,191,123,1.997820025,-0.581364597,0.418960927,-1.365379159,-0.580425594,-0.440620886,-0.608450387,-0.183533452,-2
1649,25-May,LAD,SDP,4,1,0.227,32,32,6,2,0,0,1,0,15,0,0,0,0.235,31,28,5,0,0,2,4,3,5,0,0,0,0,2,0,15,0,32,6,1,0,1,133,95,0,0,2,5,3,31,5,4,4,0,121,73,1.997820025,-0.581364597,0.418960927,-1.365379159,0.558816495,0.546383641,0.418816103,-0.506104716,3
1650,26-May,LAD,SDP,5,7,0.228,40,34,10,1,0,4,7,4,9,1,0,1,0.235,40,35,8,1,0,2,5,5,8,0,0,0,0,1,4,9,4,40,10,7,7,0,142,90,0,1,2,8,5,40,8,5,5,0,162,100,1.997820025,-0.581364597,0.418960927,-1.365379159,0.558816495,0.546383641,0.418816103,-0.506104716,-2
1651,27-May,LAD,SDP,6,1,0.227,33,32,6,3,0,0,1,0,10,0,1,0,0.236,34,32,10,1,0,2,5,2,5,0,0,0,0,3,0,10,0,33,6,1,1,0,127,89,0,1,2,5,2,34,10,6,6,0,111,77,1.997820025,-0.581364597,0.418960927,-1.365379159,0.558816495,0.546383641,0.418816103,-0.506104716,5
1652,28-May,LAD,PHI,5,4,0.236,38,33,7,2,0,1,3,2,10,1,0,0,0.236,33,31,7,2,0,0,5,2,11,0,0,1,0,2,1,10,2,38,7,4,3,1,153,101,0,2,0,11,2,33,7,5,4,1,148,93,1.997820025,-0.581364597,0.418960927,-1.365379159,-0.301944194,-0.115234779,1.808647238,0.085275936,1
1653,29-May,LAD,PHI,1,6,0.237,43,38,12,6,0,1,6,5,10,0,0,1,0.237,36,34,9,1,0,0,1,2,7,0,0,0,0,6,1,10,5,43,12,6,6,0,169,114,0,1,0,7,2,36,9,1,1,0,136,83,1.997820025,-0.581364597,0.418960927,-1.365379159,-0.301944194,-0.115234779,1.808647238,0.085275936,-5
1654,30-May,LAD,PHI,8,2,0.237,38,35,8,1,0,1,2,2,13,0,0,0,0.239,42,35,13,2,0,2,8,4,10,1,2,1,0,1,1,13,2,38,8,2,2,0,149,99,0,2,2,10,4,42,13,8,8,0,151,98,1.997820025,-0.581364597,0.418960927,-1.365379159,-0.301944194,-0.115234779,1.808647238,0.085275936,6
1655,31-May,LAD,PHI,1,2,0.236,32,31,6,1,0,0,2,1,12,0,0,0,0.236,31,30,2,1,0,0,1,1,9,0,0,0,0,1,0,12,1,32,6,2,2,0,118,80,0,1,0,9,1,31,2,1,1,0,134,88,1.997820025,-0.581364597,0.418960927,-1.365379159,-0.301944194,-0.115234779,1.808647238,0.085275936,-1
1659,12-Jun,LAD,TEX,12,5,0.23,40,34,8,0,0,1,4,5,5,0,0,0,0.246,42,39,16,6,0,3,11,3,9,0,0,0,0,0,1,5,5,40,8,5,4,1,148,89,0,6,3,9,3,42,16,12,12,0,169,107,1.997820025,-0.581364597,0.418960927,-1.365379159,-1.415869792,0.752461509,1.627364916,1.751894136,7
1660,13-Jun,LAD,TEX,3,2,0.229,46,39,8,2,0,0,2,6,8,0,0,0,0.245,44,35,6,2,0,1,1,9,13,0,0,2,0,2,0,8,6,46,8,2,2,0,176,119,0,2,1,13,9,44,6,3,1,2,176,102,1.997820025,-0.581364597,0.418960927,-1.365379159,-1.415869792,0.752461509,1.627364916,1.751894136,1
1661,15-Jun,LAD,SFG,3,2,0.26,31,31,4,1,0,1,2,0,8,0,0,0,0.244,34,30,6,2,0,2,3,3,9,1,0,0,0,1,1,8,0,31,4,2,2,0,118,78,0,2,2,9,3,34,6,3,2,1,153,88,1.997820025,-0.581364597,0.418960927,-1.365379159,0.887930876,1.262233079,0.237533781,1.268037239,1
1662,16-Jun,LAD,SFG,3,1,0.258,35,30,4,0,0,0,1,4,6,0,1,0,0.244,33,28,6,1,0,2,3,4,6,1,0,0,0,0,0,6,4,35,4,1,1,0,134,84,0,1,2,6,4,33,6,3,3,0,134,80,1.997820025,-0.581364597,0.418960927,-1.365379159,0.887930876,1.262233079,0.237533781,1.268037239,2
1663,17-Jun,LAD,SFG,1,4,0.256,37,31,3,0,0,2,4,5,11,0,0,2,0.243,31,30,4,0,0,0,0,1,8,0,0,0,0,0,2,11,5,37,3,4,3,1,155,99,0,0,0,8,1,31,4,1,0,1,137,80,1.997820025,-0.581364597,0.418960927,-1.365379159,0.887930876,1.262233079,0.237533781,1.268037239,-3
1667,2-Jul,LAD,PIT,17,1,0.249,33,33,9,1,0,1,1,0,4,0,0,0,0.244,52,46,21,5,0,4,15,6,7,0,0,0,0,1,1,4,0,33,9,1,1,0,144,103,0,5,4,7,6,52,21,17,14,3,186,110,1.997820025,-0.581364597,0.418960927,-1.365379159,-1.188021374,-0.126080982,0.720953307,-0.452342839,16
1668,3-Jul,LAD,PIT,8,3,0.248,31,31,5,2,0,1,3,0,9,0,0,0,0.245,38,33,11,1,2,6,8,4,10,0,0,0,0,2,1,9,0,31,5,3,3,0,119,85,2,1,6,10,4,38,11,8,8,0,153,88,1.997820025,-0.581364597,0.418960927,-1.365379159,-1.188021374,-0.126080982,0.720953307,-0.452342839,5
1669,4-Jul,LAD,PIT,6,4,0.248,37,35,9,2,0,1,4,2,11,0,0,0,0.246,38,31,9,2,0,0,6,6,4,0,0,0,0,2,1,11,2,37,9,4,4,0,141,95,0,2,0,4,6,38,9,6,6,0,144,83,1.997820025,-0.581364597,0.418960927,-1.365379159,-1.188021374,-0.126080982,0.720953307,-0.452342839,2
1680,30-Jul,LAD,MIL,2,5,0.247,40,37,10,1,1,1,5,3,9,0,0,0,0.243,40,31,5,1,1,1,2,7,13,1,0,0,1,1,1,9,3,40,10,5,5,0,156,102,1,1,1,13,7,40,5,2,2,0,200,115,1.997820025,-0.581364597,0.418960927,-1.365379159,0.862614386,-0.386389868,0.902235628,0.246561568,-3
1681,31-Jul,LAD,MIL,0,1,0.247,32,32,6,1,0,0,1,0,10,0,0,0,0.242,30,28,2,0,0,0,0,2,7,0,0,0,0,1,0,10,0,32,6,1,1,0,133,98,0,0,0,7,2,30,2,0,0,0,117,77,1.997820025,-0.581364597,0.418960927,-1.365379159,0.862614386,-0.386389868,0.902235628,0.246561568,-1
1682,1-Aug,LAD,MIL,6,4,0.247,43,38,10,3,1,0,2,5,7,0,0,1,0.242,40,35,10,2,0,3,6,4,8,1,0,1,1,3,0,7,5,43,10,4,3,1,159,105,0,2,3,8,4,40,10,6,6,0,150,99,1.997820025,-0.581364597,0.418960927,-1.365379159,0.862614386,-0.386389868,0.902235628,0.246561568,2
1683,2-Aug,LAD,MIL,21,5,0.247,39,36,9,3,0,2,4,3,10,0,0,0,0.244,49,42,18,5,0,7,20,6,7,0,0,1,0,3,2,10,3,39,9,5,5,0,161,109,0,5,7,7,6,49,18,21,20,1,213,125,1.997820025,-0.581364597,0.418960927,-1.365379159,0.862614386,-0.386389868,0.902235628,0.246561568,16
1686,13-Aug,LAD,SFG,2,5,0.25,36,35,8,0,0,0,4,0,10,0,0,3,0.243,37,34,8,1,0,1,2,3,7,0,0,2,0,0,0,10,0,36,8,5,4,1,141,100,0,1,1,7,3,37,8,2,2,0,150,96,1.997820025,-0.581364597,0.418960927,-1.365379159,0.887930876,1.262233079,0.237533781,1.268037239,-3
1687,14-Aug,LAD,SFG,1,2,0.25,35,32,7,1,0,0,2,2,9,0,0,0,0.242,35,32,5,3,0,0,1,3,8,0,0,2,0,1,0,9,2,35,7,2,2,0,147,96,0,3,0,8,3,35,5,1,1,0,147,89,1.997820025,-0.581364597,0.418960927,-1.365379159,0.887930876,1.262233079,0.237533781,1.268037239,-1
1688,15-Aug,LAD,SFG,4,3,0.249,44,41,6,1,0,1,3,2,11,1,0,0,0.243,55,43,14,5,0,0,4,10,13,0,2,1,0,1,1,11,2,44,6,3,3,0,164,113,0,5,0,13,10,55,14,4,4,0,202,122,1.997820025,-0.581364597,0.418960927,-1.365379159,0.887930876,1.262233079,0.237533781,1.268037239,1
1692,20-Aug,LAD,STL,3,5,0.25,41,37,10,1,0,3,5,4,13,0,0,0,0.244,44,32,7,1,0,0,3,10,12,0,1,2,0,1,3,13,4,41,10,5,5,0,163,106,0,1,0,12,10,44,7,3,3,0,186,109,1.997820025,-0.581364597,0.418960927,-1.365379159,0.432234041,0.557229845,2.412921644,0.784180342,-2
1693,21-Aug,LAD,STL,2,5,0.25,38,33,7,1,0,2,5,2,11,1,0,0,0.244,40,35,9,1,0,1,2,4,10,0,0,0,0,1,2,11,2,38,7,5,5,0,139,96,0,1,1,10,4,40,9,2,2,0,166,105,1.997820025,-0.581364597,0.418960927,-1.365379159,0.432234041,0.557229845,2.412921644,0.784180342,-3
1694,22-Aug,LAD,STL,1,3,0.25,35,33,7,1,0,2,3,2,10,0,0,1,0.243,33,30,2,0,0,1,1,3,13,0,0,0,0,1,2,10,2,35,7,3,3,0,143,96,0,0,1,13,3,33,2,1,1,0,154,97,1.997820025,-0.581364597,0.418960927,-1.365379159,0.432234041,0.557229845,2.412921644,0.784180342,-2
1695,24-Aug,LAD,SDP,11,1,0.234,33,31,4,2,1,0,1,2,13,0,0,0,0.244,42,36,13,4,0,3,10,6,12,0,0,0,1,2,0,13,2,33,4,1,1,0,143,97,0,4,3,12,6,42,13,11,10,1,161,98,1.997820025,-0.581364597,0.418960927,-1.365379159,0.558816495,0.546383641,0.418816103,-0.506104716,10
1696,25-Aug,LAD,SDP,5,4,0.234,46,45,11,1,0,2,4,0,15,1,0,0,0.244,47,42,11,2,0,2,5,3,11,1,0,2,0,1,2,15,0,46,11,4,3,1,163,115,0,2,2,11,3,47,11,5,5,0,165,108,1.997820025,-0.581364597,0.418960927,-1.365379159,0.558816495,0.546383641,0.418816103,-0.506104716,1
1697,26-Aug,LAD,SDP,7,3,0.235,42,41,15,2,0,2,3,1,12,0,0,1,0.245,39,34,11,4,0,1,7,5,8,0,0,0,0,2,2,12,1,42,15,3,2,1,129,91,0,4,1,8,5,39,11,7,7,0,175,106,1.997820025,-0.581364597,0.418960927,-1.365379159,0.558816495,0.546383641,0.418816103,-0.506104716,4
1700,3-Sep,LAD,NYM,2,4,0.235,39,34,11,1,0,1,4,3,5,1,0,1,0.244,35,32,7,2,0,1,2,2,8,0,1,1,0,1,1,5,3,39,11,4,4,0,165,108,0,2,1,8,2,35,7,2,2,0,154,103,1.997820025,-0.581364597,0.418960927,-1.365379159,0.837297895,-0.896161438,-0.306313184,-0.828675981,-2
1701,4-Sep,LAD,NYM,11,4,0.236,40,38,11,4,0,2,4,2,12,0,0,0,0.245,41,37,13,4,0,2,10,3,7,0,0,2,0,4,2,12,2,40,11,4,4,0,153,106,0,4,2,7,3,41,13,11,10,1,170,101,1.997820025,-0.581364597,0.418960927,-1.365379159,0.837297895,-0.896161438,-0.306313184,-0.828675981,7
1702,5-Sep,LAD,NYM,3,7,0.237,39,38,13,2,0,0,4,0,11,0,0,0,0.244,32,30,3,0,0,2,3,2,10,0,0,0,0,2,0,11,0,39,13,7,3,4,133,96,0,0,2,10,2,32,3,3,3,0,126,85,1.997820025,-0.581364597,0.418960927,-1.365379159,0.837297895,-0.896161438,-0.306313184,-0.828675981,-4
1707,21-Sep,LAD,SDP,3,5,0.235,41,36,8,1,0,2,5,5,9,0,0,2,0.246,40,36,9,2,0,1,3,4,10,0,0,0,0,1,2,9,5,41,8,5,4,1,158,107,0,2,1,10,4,40,9,3,3,0,178,110,1.997820025,-0.581364597,0.418960927,-1.365379159,0.558816495,0.546383641,0.418816103,-0.506104716,-2
1708,22-Sep,LAD,SDP,7,2,0.235,36,34,8,1,0,1,2,0,11,1,0,1,0.246,36,33,9,3,0,3,7,2,10,0,0,0,0,1,1,11,0,36,8,2,2,0,139,100,0,3,3,10,2,36,9,7,7,0,134,92,1.997820025,-0.581364597,0.418960927,-1.365379159,0.558816495,0.546383641,0.418816103,-0.506104716,5
1709,23-Sep,LAD,SDP,14,0,0.235,32,32,5,1,0,0,0,0,13,0,0,0,0.247,45,41,16,3,0,3,14,4,11,0,0,0,0,1,0,13,0,32,5,0,0,0,129,96,0,3,3,11,4,45,16,14,14,0,178,110,1.997820025,-0.581364597,0.418960927,-1.365379159,0.558816495,0.546383641,0.418816103,-0.506104716,14
