Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
45,Wednesday May 25,boxscore,CHC,@,STL,W,9,8,,31-14,1,up 5.0,Arrieta,Martinez,Rondon,3:38,D,45565,++,
46,Friday May 27,boxscore,CHC,,PHI,W,6,2,,32-14,1,up 4.5,Lester,Morgan,,3:04,D,38941,+++,
47,Saturday May 28,boxscore,CHC,,PHI,W,4,1,,33-14,1,up 5.5,Hendricks,Eickhoff,,2:18,D,41555,++++,
48,Sunday May 29,boxscore,CHC,,PHI,W,7,2,,34-14,1,up 6.5,Lackey,Velasquez,,2:50,D,41575,+++++,
49,Monday May 30,boxscore,CHC,,LAD,W,2,0,,35-14,1,up 6.5,Wood,Wood,Rondon,2:40,D,41470,++++++,
50,Tuesday May 31,boxscore,CHC,,LAD,L,0,5,,35-15,1,up 6.5,Blanton,Richard,,2:57,N,34681,-,
51,Wednesday Jun 1,boxscore,CHC,,LAD,W,2,1,,36-15,1,up 7.5,Lester,Bolsinger,,2:29,N,36426,+,
52,Thursday Jun 2,boxscore,CHC,,LAD,W,7,2,,37-15,1,up 8.5,Hendricks,Urias,,2:25,D,37422,++,
53,Friday Jun 3,boxscore,CHC,,ARI,W,6,0,,38-15,1,up 9.5,Lackey,Bradley,,3:00,D,38813,+++,
54,Saturday Jun 4,boxscore,CHC,,ARI,W,5,3,,39-15,1,up 9.5,Hammel,Escobar,Rondon,2:46,D,40415,++++,
55,Sunday Jun 5,boxscore,CHC,,ARI,L,2,3,,39-16,1,up 9.5,Corbin,Arrieta,Ziegler,3:00,D,41596,-,
56,Monday Jun 6,boxscore,CHC,@,PHI,W,6,4,,40-16,1,up10.0,Lester,Morgan,Rondon,3:05,N,22162,+,
57,Tuesday Jun 7,boxscore,CHC,@,PHI,L,2,3,,40-17,1,up 8.5,Eickhoff,Hendricks,Gomez,2:45,N,27381,-,
58,Wednesday Jun 8,boxscore,CHC,@,PHI,W,8,1,,41-17,1,up 9.5,Lackey,Oberholtzer,,2:44,D,28650,+,
