Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn?,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
66,Sunday Jun 10,boxscore,KCR,@,OAK,L,2,3,,22-44,5,13.5,Treinen,Adam,,2:25,D,15548,-,
64,Friday Jun 8,boxscore,KCR,@,OAK,L,2,7,,21-43,5,13.5,Montas,Junis,Trivino,2:32,N,10132,------,
63,Thursday Jun 7,boxscore,KCR,@,OAK,L,1,4,,21-42,5,12.5,Blackburn,Hammel,Treinen,2:18,N,7963,-----,
62,Wednesday Jun 6,boxscore,KCR,@,LAA,L,3,4,,21-41,5,12.0,Bedrosian,Barlow,Parker,3:11,N,36512,----,
61,Tuesday Jun 5,boxscore,KCR,@,LAA,L,0,1,,21-40,4,11.0,Heaney,Keller,,2:16,N,31514,---,
60,Monday Jun 4,boxscore,KCR,@,LAA,L,6,9,,21-39,4,10.0,Bedrosian,Hill,Parker,3:35,N,32553,--,
58,Saturday Jun 2,boxscore,KCR,,OAK,W,5,4,,21-37,4,9.5,Hill,Petit,Herrera,3:00,D,24553,+,
56,Wednesday May 30,boxscore,KCR,,MIN,W,11,8,,20-36,4,10.0,McCarthy,Romero,Herrera,3:01,N,21343,++,
51,Friday May 25,boxscore,KCR,@,TEX,L,4,8,,17-34,4,8.0,Minor,Skoglund,Kela,3:07,N,35105,-,
47,Monday May 21,boxscore,KCR,@,STL,L,0,6,,14-33,5,9.0,Mikolas,Kennedy,,2:28,N,42140,---,
44,Friday May 18,boxscore,KCR,,NYY,W,5,2,,14-30,4,7.5,Junis,Sabathia,Herrera,2:46,N,26433,+,
40,Sunday May 13,boxscore,KCR,@,CLE,L,2,11,,13-27,4,7.5,Kluber,Duffy,,2:54,D,22105,--,
39,Saturday May 12,boxscore,KCR,@,CLE,L,2,6,,13-26,4,6.5,Clevinger,Junis,,2:31,D,24587,-,
37,Thursday May 10,boxscore,KCR,@,BAL,L,6,11,,12-25,4,6.5,Castro,Kennedy,,2:57,N,17842,--,
36,Wednesday May 9,boxscore,KCR,@,BAL,L,3,5,,12-24,4,6.0,Bleier,McCarthy,Brach,2:45,N,14375,-,
34,Sunday May 6,boxscore,KCR,,DET,W,4,2,,11-23,4,6.0,Junis,Boyd,Herrera,2:16,D,18424,+,
32,Friday May 4,boxscore,KCR,,DET,W,4,2,,10-22,4,7.0,Boyer,Stumpf,Herrera,2:49,N,24648,++,
31,Thursday May 3,boxscore,KCR,,DET,W,10,6,,9-22,5,8.0,McCarthy,Bell,,3:07,D,28866,+,
30,Wednesday May 2,boxscore,KCR,@,BOS,L,4,5,,8-22,5,8.5,Pomeranz,Duffy,Kimbrel,2:45,D,32267,-,
28,Monday Apr 30,boxscore,KCR,@,BOS,L,6,10,,7-21,5,8.5,Velazquez,Hammel,,3:13,N,31314,-,
27,Sunday Apr 29,boxscore,KCR,,CHW,W,5,4,,7-20,5,7.5,McCarthy,Rondon,Boyer,3:19,D,23892,++,
26,Saturday Apr 28 (2),boxscore,KCR,,CHW,W,5,2,,6-20,5,8.5,Skoglund,Covey,Herrera,2:39,N,16070,+,
19,Saturday Apr 21,boxscore,KCR,@,DET,L,4,12,,4-15,5,6.5,Fiers,Duffy,Saupold,3:04,D,19302,-,
16,Wednesday Apr 18,boxscore,KCR,@,TOR,L,5,15,,3-13,5,6.5,Happ,Kennedy,,3:05,D,28803,--------,
14,Tuesday Apr 17 (1),boxscore,KCR,@,TOR,L,3,11,,3-11,5,6.0,Garcia,Skoglund,,2:56,D,,------,
8,Monday Apr 9,boxscore,KCR,,SEA,W,10,0,,3-5,4,1.0,Junis,Gonzales,,2:45,N,12324,+,
5,Friday Apr 6,boxscore,KCR,@,CLE,L,2,3,,1-4,5,2.5,Carrasco,Duffy,Allen,2:41,D,34720,-,
3,Monday Apr 2,boxscore,KCR,@,DET,L,1,6,,0-3,5,2.0,Liriano,Hammel,,2:46,D,15476,---,
147,Friday Sep 14,boxscore,KCR,,MIN,W-wo,8,4,,51-96,5,31.0,Hammel,Hildenberger,,3:15,N,18389,++,
135,Saturday Sep 1,boxscore,KCR,,BAL,W-wo,5,4,,44-91,5,33.0,Newberry,Givens,,2:56,N,15358,++++,
128,Thursday Aug 23,boxscore,KCR,@,TBR,L-wo,3,4,,38-90,5,35.5,Romo,Flynn,,2:51,N,9088,-----,
