Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
46,Saturday May 19,boxscore,TOR,,OAK,L,4,5,,22-24,4,9.0,Pagan,Clippard,Treinen,3:16,D,35786,---,
47,Sunday May 20,boxscore,TOR,,OAK,L,2,9,,22-25,4,10.0,Mengden,Biagini,,3:11,D,30676,----,
48,Tuesday May 22,boxscore,TOR,,LAA,W,5,3,,23-25,3,10.0,Happ,Richards,Clippard,2:31,N,21480,+,
49,Wednesday May 23,boxscore,TOR,,LAA,L,4,5,,23-26,3,11.0,Anderson,Clippard,Parker,3:45,N,25504,-,
50,Thursday May 24,boxscore,TOR,,LAA,L,1,8,,23-27,4,11.0,Tropeano,Estrada,,2:53,D,43344,--,
51,Friday May 25,boxscore,TOR,@,PHI,W,6,5,,24-27,3,11.0,Gaviglio,Eflin,Tepera,2:59,N,21374,+,
52,Saturday May 26,boxscore,TOR,@,PHI,L,1,2,,24-28,4,12.0,Dominguez,Biagini,Garcia,2:25,D,26788,-,
53,Sunday May 27,boxscore,TOR,@,PHI,W,5,3,,25-28,4,11.0,Happ,Pivetta,Tepera,2:50,D,24182,+,
54,Monday May 28,boxscore,TOR,@,BOS,L,3,8,,25-29,4,12.0,Price,Sanchez,,2:54,D,34700,-,
55,Tuesday May 29,boxscore,TOR,@,BOS,L,3,8,,25-30,4,13.0,Porcello,Estrada,Kimbrel,2:59,N,33380,--,
56,Wednesday May 30,boxscore,TOR,@,BOS,L,4,6,,25-31,4,14.0,Rodriguez,Gaviglio,Kimbrel,2:52,D,33451,---,
57,Friday Jun 1,boxscore,TOR,@,DET,L,2,5,,25-32,4,13.5,Hardy,Garcia,Greene,2:52,N,22192,----,
58,Saturday Jun 2,boxscore,TOR,@,DET,L,4,7,,25-33,4,14.5,Coleman,Oh,Jimenez,2:37,D,34674,-----,
59,Sunday Jun 3,boxscore,TOR,@,DET,W,8,4,,26-33,4,14.5,Sanchez,Fulmer,,3:02,D,24658,+,
60,Tuesday Jun 5,boxscore,TOR,,NYY,L,2,7,,26-34,4,15.5,Sabathia,Oh,,2:38,N,29308,-,
61,Wednesday Jun 6,boxscore,TOR,,NYY,L,0,3,13,26-35,4,16.5,Robertson,Biagini,Chapman,3:41,N,27838,--,
62,Thursday Jun 7,boxscore,TOR,,BAL,W-wo,5,4,10,27-35,4,15.5,Barnes,Castro,,3:13,N,24494,+,
63,Friday Jun 8,boxscore,TOR,,BAL,W,5,1,,28-35,4,14.5,Happ,Cashner,Tepera,2:44,N,28863,++,
64,Saturday Jun 9,boxscore,TOR,,BAL,W-wo,4,3,10,29-35,4,14.5,Axford,Givens,,3:19,D,34643,+++,
65,Sunday Jun 10,boxscore,TOR,,BAL,W,13,3,,30-35,3,13.5,Estrada,Cobb,,3:03,D,33485,++++,
66,Monday Jun 11,boxscore,TOR,@,TBR,L,4,8,,30-36,4,14.5,Yarbrough,Gaviglio,,2:34,N,10769,-,
67,Tuesday Jun 12,boxscore,TOR,@,TBR,L,1,4,,30-37,4,15.5,Pruitt,Garcia,Romo,2:41,N,11162,--,
68,Wednesday Jun 13,boxscore,TOR,@,TBR,L-wo,0,1,,30-38,4,16.5,Castillo,Tepera,,3:00,D,10847,---,
69,Friday Jun 15,boxscore,TOR,,WSN,W,6,5,,31-38,4,16.0,Oh,Gonzalez,Tepera,2:35,N,29633,+,
70,Saturday Jun 16,boxscore,TOR,,WSN,W,2,0,,32-38,3,15.5,Estrada,Scherzer,Clippard,2:34,D,36044,++,
71,Sunday Jun 17,boxscore,TOR,,WSN,W,8,6,,33-38,3,15.0,Tepera,Madson,,3:30,D,35146,+++,
72,Tuesday Jun 19,boxscore,TOR,,ATL,L,4,11,,33-39,4,16.0,Freeman,Garcia,,3:03,N,32466,-,
73,Wednesday Jun 20,boxscore,TOR,,ATL,W,5,4,,34-39,3,16.0,Happ,Sanchez,Tepera,2:30,D,45563,+,
74,Thursday Jun 21,boxscore,TOR,@,LAA,L,5,8,,34-40,3,17.0,Ramirez,Axford,Anderson,3:03,N,30416,-,
75,Friday Jun 22,boxscore,TOR,@,LAA,L,1,2,,34-41,4,17.0,Heaney,Estrada,Parker,2:17,N,38028,--,
76,Saturday Jun 23,boxscore,TOR,@,LAA,W,4,1,,35-41,4,16.0,Oh,Anderson,Tepera,3:07,N,40612,+,
77,Sunday Jun 24,boxscore,TOR,@,LAA,W,7,6,10,36-41,4,15.0,Tepera,Robles,Clippard,3:33,D,33102,++,
78,Monday Jun 25,boxscore,TOR,@,HOU,W,6,3,,37-41,4,15.0,Happ,Verlander,Oh,3:10,N,28791,+++,
79,Tuesday Jun 26,boxscore,TOR,@,HOU,L,0,7,,37-42,4,16.0,Morton,Borucki,,2:42,N,38700,-,
80,Wednesday Jun 27,boxscore,TOR,@,HOU,L-wo,6,7,,37-43,4,16.5,Harris,Tepera,,2:55,D,39191,--,
81,Friday Jun 29,boxscore,TOR,,DET,W,3,2,,38-43,4,16.0,Stroman,Liriano,Clippard,2:33,N,24068,+,
82,Saturday Jun 30,boxscore,TOR,,DET,W-wo,4,3,,39-43,4,16.0,Oh,Jimenez,,2:38,D,27066,++,
83,Sunday Jul 1,boxscore,TOR,,DET,L,1,9,,39-44,4,16.0,Zimmermann,Happ,,2:31,D,37445,-,
84,Monday Jul 2,boxscore,TOR,,DET,L,2,3,10,39-45,4,17.0,Jimenez,Oh,Hardy,2:44,D,29575,--,
85,Tuesday Jul 3,boxscore,TOR,,NYM,W,8,6,,40-45,4,17.0,Axford,Peterson,Clippard,3:13,N,24010,+,
86,Wednesday Jul 4,boxscore,TOR,,NYM,L,3,6,,40-46,4,18.0,Lugo,Stroman,Familia,2:46,N,26038,-,
87,Friday Jul 6,boxscore,TOR,,NYY,W,6,2,,41-46,4,18.0,Biagini,Gray,,3:07,N,37254,+,
88,Saturday Jul 7,boxscore,TOR,,NYY,L,5,8,,41-47,4,19.0,Severino,Happ,,3:31,D,44352,-,
89,Sunday Jul 8,boxscore,TOR,,NYY,L,1,2,10,41-48,4,20.0,Green,Clippard,Robertson,2:51,D,39866,--,
90,Tuesday Jul 10,boxscore,TOR,@,ATL,W,6,2,,42-48,4,20.5,Stroman,Minter,,2:58,N,31747,+,
91,Wednesday Jul 11,boxscore,TOR,@,ATL,L,5,9,,42-49,4,21.5,Foltynewicz,Gaviglio,,2:58,N,27839,-,
92,Thursday Jul 12,boxscore,TOR,@,BOS,L,4,6,,42-50,4,22.5,Price,Happ,Kimbrel,3:19,N,37182,--,
93,Friday Jul 13,boxscore,TOR,@,BOS,W,13,7,,43-50,4,21.5,Petricka,Porcello,,3:43,N,37018,+,
94,Saturday Jul 14,boxscore,TOR,@,BOS,L-wo,2,6,10,43-51,4,22.5,Kimbrel,Rowley,,3:32,D,36390,-,
95,Sunday Jul 15,boxscore,TOR,@,BOS,L,2,5,,43-52,4,23.5,Workman,Stroman,Kimbrel,3:12,D,36940,--,
96,Friday Jul 20,boxscore,TOR,,BAL,W-wo,8,7,10,44-52,4,23.5,Axford,Fry,,3:01,N,31115,+,
97,Saturday Jul 21,boxscore,TOR,,BAL,W,4,1,,45-52,4,22.5,Stroman,Cobb,Tepera,2:30,D,35912,++,
98,Sunday Jul 22,boxscore,TOR,,BAL,W,5,4,,46-52,4,22.5,Axford,Scott,Clippard,2:54,D,39021,+++,
99,Monday Jul 23,boxscore,TOR,,MIN,L,3,8,,46-53,4,23.5,Mejia,Santos,,3:18,N,25405,-,
100,Tuesday Jul 24,boxscore,TOR,,MIN,L,0,5,,46-54,4,23.5,Berrios,Borucki,,2:30,N,31933,--,
