Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
46,Friday May 18,boxscore,HOU,,CLE,W,4,1,,29-17,1,up 3.0,Morton,Clevinger,Giles,2:50,N,35959,+++,
47,Saturday May 19,boxscore,HOU,,CLE,L,4,5,,29-18,1,up 2.0,Kluber,Keuchel,Allen,3:09,D,39926,-,
48,Sunday May 20,boxscore,HOU,,CLE,W,3,1,,30-18,1,up 2.0,McCullers,Carrasco,Giles,2:48,N,30770,+,
49,Tuesday May 22,boxscore,HOU,,SFG,W,11,2,,31-18,1,up 2.0,Cole,Suarez,,3:05,N,35638,++,
50,Wednesday May 23,boxscore,HOU,,SFG,W,4,1,,32-18,1,up 2.0,Verlander,Samardzija,Giles,2:56,D,31929,+++,
51,Thursday May 24,boxscore,HOU,@,CLE,W,8,2,,33-18,1,up 3.0,Morton,Clevinger,,2:56,N,19660,++++,
52,Friday May 25,boxscore,HOU,@,CLE,W,11,2,,34-18,1,up 3.0,Smith,Miller,,3:41,N,29431,+++++,
53,Saturday May 26,boxscore,HOU,@,CLE,L,6,8,,34-19,1,up 2.0,Carrasco,McCullers,Allen,3:28,N,30639,-,
54,Sunday May 27,boxscore,HOU,@,CLE,L-wo,9,10,14,34-20,1,up 1.0,Otero,Peacock,,4:53,D,27765,--,
55,Monday May 28,boxscore,HOU,@,NYY,W,5,1,,35-20,1,up 1.0,Verlander,German,,3:14,D,46583,+,
56,Tuesday May 29,boxscore,HOU,@,NYY,L-wo,5,6,10,35-21,1,up 1.0,Chapman,Peacock,,3:47,N,45458,-,
57,Wednesday May 30,boxscore,HOU,@,NYY,L,3,5,,35-22,1,up 1.0,Severino,Keuchel,Chapman,2:47,N,45229,--,
58,Thursday May 31,boxscore,HOU,,BOS,W,4,2,,36-22,1,up 1.0,McCullers,Pomeranz,Giles,2:57,N,30658,+,
59,Friday Jun 1,boxscore,HOU,,BOS,W,7,3,,37-22,1,up 1.0,Cole,Sale,,2:55,N,37244,++,
60,Saturday Jun 2,boxscore,HOU,,BOS,L,4,5,,37-23,1,Tied,Price,Harris,Kimbrel,3:41,N,38640,-,
61,Sunday Jun 3,boxscore,HOU,,BOS,L,3,9,,37-24,2,1.0,Porcello,Morton,,3:25,N,33431,--,
62,Tuesday Jun 5,boxscore,HOU,,SEA,L,1,7,,37-25,2,2.0,Paxton,Keuchel,,2:29,N,35646,---,
63,Wednesday Jun 6,boxscore,HOU,,SEA,W,7,5,,38-25,2,1.0,Devenski,Nicasio,Rondon,3:14,N,30361,+,
64,Thursday Jun 7,boxscore,HOU,@,TEX,W,5,2,,39-25,2,1.0,Cole,Hamels,,2:36,N,30236,++,
65,Friday Jun 8,boxscore,HOU,@,TEX,W,7,3,,40-25,2,1.0,Verlander,Fister,,3:02,N,31722,+++,
66,Saturday Jun 9,boxscore,HOU,@,TEX,W,4,3,,41-25,1,Tied,Sipp,Leclerc,Rondon,3:31,N,38068,++++,
67,Sunday Jun 10,boxscore,HOU,@,TEX,W,8,7,,42-25,1,Tied,Harris,Kela,Rondon,3:09,D,30251,+++++,
