"","X1","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"419",837,26,"Sunday Apr 29","boxscore","CHW","@","KCR","L",4,5,NA,"8-18",4,"6.0","McCarthy","Rondon","Boyer",03:19:00,"D",23892,"--",NA
"420",838,27,"Tuesday May 1","boxscore","CHW","@","STL","L-wo",2,3,NA,"8-19",4,"6.5","Norris","Soria",NA,02:56:00,"N",38800,"---",NA
"421",839,28,"Wednesday May 2","boxscore","CHW","@","STL","L",2,3,NA,"8-20",4,"7.5","Martinez","Giolito","Norris",02:37:00,"D",37298,"----",NA
"422",846,35,"Friday May 11","boxscore","CHW","@","CHC","L",2,11,NA,"9-26",5,"8.0","Chatwood","Fulmer",NA,03:45:00,"D",39585,"------",NA
"423",847,36,"Saturday May 12","boxscore","CHW","@","CHC","L",4,8,NA,"9-27",5,"9.0","Lester","Shields","Morrow",03:20:00,"D",41099,"-------",NA
"424",848,37,"Sunday May 13","boxscore","CHW","@","CHC","W",5,3,NA,"10-27",5,"9.0","Giolito","Hendricks","Rondon",02:47:00,"D",40537,"+",NA
"425",849,38,"Tuesday May 15","boxscore","CHW","@","PIT","L",0,7,NA,"10-28",5,"8.5","Williams","Lopez",NA,03:03:00,"N",11847,"-",NA
"426",850,39,"Wednesday May 16","boxscore","CHW","@","PIT","L",2,3,NA,"10-29",5,"9.5","Santana","Soria","Vazquez",02:45:00,"D",20286,"--",NA
"427",859,48,"Friday May 25","boxscore","CHW","@","DET","L",4,5,NA,"15-33",5,"8.5","Farmer","Rondon","Greene",02:51:00,"N",24648,"--",NA
"428",860,49,"Saturday May 26","boxscore","CHW","@","DET","W",8,4,NA,"16-33",4,"8.5","Santiago","Liriano",NA,03:16:00,"D",27032,"+",NA
"429",861,50,"Sunday May 27","boxscore","CHW","@","DET","L",2,3,NA,"16-34",5,"9.5","Hardy","Shields","Greene",02:17:00,"D",23419,"-",NA
"430",862,51,"Monday May 28","boxscore","CHW","@","CLE","L",6,9,NA,"16-35",5,"10.5","Plutko","Volstad",NA,03:12:00,"D",23729,"--",NA
"431",863,52,"Tuesday May 29","boxscore","CHW","@","CLE","L",3,7,NA,"16-36",5,"11.5","Clevinger","Giolito",NA,02:58:00,"N",30441,"---",NA
"432",864,53,"Wednesday May 30","boxscore","CHW","@","CLE","L",1,9,NA,"16-37",5,"12.5","Kluber","Lopez",NA,03:09:00,"D",17930,"----",NA
"433",868,57,"Tuesday Jun 5 (1)","boxscore","CHW","@","MIN","L",2,4,NA,"18-39",5,"11.5","Duffey","Jones","Rodney",02:37:00,"D",NA,"-",NA
"434",869,58,"Tuesday Jun 5 (2)","boxscore","CHW","@","MIN","W",6,3,NA,"19-39",5,"11.5","Giolito","Littell","Soria",03:07:00,"D",26261,"+",NA
"435",870,59,"Wednesday Jun 6","boxscore","CHW","@","MIN","W",5,2,NA,"20-39",4,"11.5","Santiago","Odorizzi","Soria",03:27:00,"N",20393,"++",NA
"436",871,60,"Thursday Jun 7","boxscore","CHW","@","MIN","L",2,7,NA,"20-40",4,"12.0","Berrios","Shields",NA,02:14:00,"D",21469,"-",NA
"437",872,61,"Friday Jun 8","boxscore","CHW","@","BOS","W",1,0,NA,"21-40",4,"12.0","Covey","Sale","Soria",02:24:00,"N",36593,"+",NA
"438",873,62,"Saturday Jun 9","boxscore","CHW","@","BOS","L",2,4,NA,"21-41",4,"12.0","Price","Rodon","Kimbrel",02:48:00,"D",36675,"-",NA
"439",874,63,"Sunday Jun 10","boxscore","CHW","@","BOS","W",5,2,NA,"22-41",4,"12.0","Lopez","Porcello","Soria",03:15:00,"D",36998,"+",NA
"440",882,71,"Monday Jun 18","boxscore","CHW","@","CLE","L",2,6,NA,"24-47",4,"14.0","Bauer","Covey",NA,03:02:00,"N",17271,"-----",NA
"441",883,72,"Tuesday Jun 19","boxscore","CHW","@","CLE","L",3,6,NA,"24-48",4,"15.0","Clevinger","Rodon","Allen",02:46:00,"N",20394,"------",NA
"442",884,73,"Wednesday Jun 20","boxscore","CHW","@","CLE","L",0,12,NA,"24-49",4,"16.0","Kluber","Lopez",NA,03:06:00,"D",23101,"-------",NA
"443",892,81,"Friday Jun 29","boxscore","CHW","@","TEX","L",3,11,NA,"28-53",4,"16.5","Gallardo","Covey",NA,02:47:00,"N",28156,"--",NA
"444",893,82,"Saturday Jun 30","boxscore","CHW","@","TEX","L",4,13,NA,"28-54",4,"16.5","Colon","Rodon",NA,03:28:00,"N",28138,"---",NA
"445",894,83,"Sunday Jul 1","boxscore","CHW","@","TEX","W",10,5,NA,"29-54",4,"16.5","Lopez","Hamels","Soria",03:16:00,"D",22684,"+",NA
"446",895,84,"Monday Jul 2","boxscore","CHW","@","CIN","L",3,5,NA,"29-55",4,"17.5","Floro","Volstad","Iglesias",03:19:00,"N",16727,"-",NA
"447",896,85,"Tuesday Jul 3","boxscore","CHW","@","CIN","W",12,8,12,"30-55",4,"17.5","Santiago","Stephens",NA,04:36:00,"N",22742,"+",NA
"448",897,86,"Wednesday Jul 4","boxscore","CHW","@","CIN","L",4,7,NA,"30-56",4,"18.5","Romano","Covey","Hughes",03:22:00,"N",24442,"-",NA
"449",898,87,"Thursday Jul 5","boxscore","CHW","@","HOU","L-wo",3,4,NA,"30-57",4,"19.0","Smith","Soria",NA,03:05:00,"N",34955,"--",NA
"450",899,88,"Friday Jul 6","boxscore","CHW","@","HOU","L",4,11,NA,"30-58",4,"20.0","McCullers","Lopez","Peacock",02:55:00,"N",38153,"---",NA
"451",900,89,"Saturday Jul 7","boxscore","CHW","@","HOU","L",6,12,NA,"30-59",4,"20.0","Morton","Shields",NA,03:19:00,"D",39568,"----",NA
"452",901,90,"Sunday Jul 8","boxscore","CHW","@","HOU","L",1,2,NA,"30-60",4,"20.0","Keuchel","Giolito","Rondon",02:28:00,"D",41654,"-----",NA
"453",907,96,"Friday Jul 20","boxscore","CHW","@","SEA","L",1,3,NA,"33-63",4,"20.0","LeBlanc","Shields","Diaz",02:37:00,"N",43331,"-",NA
"454",908,97,"Saturday Jul 21","boxscore","CHW","@","SEA","W",5,0,NA,"34-63",4,"20.0","Covey","Hernandez",NA,02:28:00,"N",38186,"+",NA
"455",909,98,"Sunday Jul 22","boxscore","CHW","@","SEA","L",2,8,NA,"34-64",4,"20.0","Gonzales","Lopez",NA,02:53:00,"D",38207,"-",NA
"456",910,99,"Monday Jul 23","boxscore","CHW","@","LAA","W",5,3,NA,"35-64",4,"19.0","Giolito","Barria","Soria",03:36:00,"N",35285,"+",NA
"457",911,100,"Tuesday Jul 24","boxscore","CHW","@","LAA","W",4,2,NA,"36-64",4,"18.0","Rodon","Pena","Soria",02:58:00,"N",33937,"++",NA
"458",912,101,"Wednesday Jul 25","boxscore","CHW","@","LAA","L",3,11,NA,"36-65",4,"19.0","Skaggs","Shields",NA,03:03:00,"N",34321,"-",NA
"459",913,102,"Thursday Jul 26","boxscore","CHW","@","LAA","L",8,12,NA,"36-66",4,"19.5","Tropeano","Covey",NA,03:29:00,"D",33826,"--",NA
"460",920,109,"Friday Aug 3","boxscore","CHW","@","TBR","W",3,2,10,"39-70",4,"20.5","Danish","Alvarado","Santiago",03:33:00,"N",16144,"++",NA
"461",921,110,"Saturday Aug 4","boxscore","CHW","@","TBR","W",2,1,NA,"40-70",4,"20.5","Cedeno","Chirinos","Vieira",02:43:00,"N",21214,"+++",NA
"462",922,111,"Sunday Aug 5","boxscore","CHW","@","TBR","W",8,7,NA,"41-70",4,"20.5","Santiago","Castillo",NA,03:38:00,"D",14379,"++++",NA
"463",929,118,"Monday Aug 13","boxscore","CHW","@","DET","L",5,9,NA,"42-76",4,"25.0","Coleman","Gomez",NA,03:35:00,"N",20964,"---",NA
"464",930,119,"Tuesday Aug 14","boxscore","CHW","@","DET","W",6,3,NA,"43-76",4,"25.0","Giolito","Hardy","Cedeno",03:01:00,"N",20661,"+",NA
"465",931,120,"Wednesday Aug 15","boxscore","CHW","@","DET","W",6,5,NA,"44-76",4,"25.0","Rodon","Zimmermann","Avilan",02:54:00,"D",23784,"++",NA
"466",935,124,"Monday Aug 20","boxscore","CHW","@","MIN","W",8,5,NA,"47-77",4,"25.0","Giolito","Gonsalves",NA,03:24:00,"N",23431,"++",NA
"467",938,127,"Thursday Aug 23","boxscore","CHW","@","DET","L",2,7,NA,"48-79",4,"25.0","Boyd","Shields",NA,02:47:00,"D",22247,"-",NA
"468",939,128,"Friday Aug 24","boxscore","CHW","@","DET","W",6,3,NA,"49-79",4,"24.0","Vieira","Jimenez",NA,03:28:00,"N",23191,"+",NA
"469",940,129,"Saturday Aug 25","boxscore","CHW","@","DET","W",6,1,NA,"50-79",4,"23.0","Giolito","Carpenter",NA,02:41:00,"N",26183,"++",NA
"470",941,130,"Sunday Aug 26","boxscore","CHW","@","DET","W",7,2,NA,"51-79",4,"23.0","Kopech","Zimmermann","Fry",03:03:00,"D",34036,"+++",NA
"471",942,131,"Monday Aug 27","boxscore","CHW","@","NYY","W",6,2,NA,"52-79",4,"22.5","Rodon","Tanaka",NA,03:02:00,"N",41456,"++++",NA
"472",943,132,"Tuesday Aug 28","boxscore","CHW","@","NYY","L-wo",4,5,NA,"52-80",4,"23.5","Betances","Covey",NA,03:03:00,"N",40015,"-",NA
"473",944,133,"Wednesday Aug 29","boxscore","CHW","@","NYY","W",4,1,NA,"53-80",3,"22.5","Lopez","Sabathia","Fry",02:55:00,"N",40887,"+",NA
"474",955,144,"Monday Sep 10","boxscore","CHW","@","KCR","L-wo",3,4,10,"56-88",4,"25.0","Newberry","Gomez",NA,02:51:00,"N",17809,"------",NA
"475",956,145,"Tuesday Sep 11","boxscore","CHW","@","KCR","L",3,6,NA,"56-89",4,"26.0","Keller","Covey","Peralta",02:55:00,"N",17613,"-------",NA
"476",957,146,"Wednesday Sep 12","boxscore","CHW","@","KCR","W",4,2,12,"57-89",4,"25.0","Minaya","Smith","Santiago",03:53:00,"N",17840,"+",NA
"477",958,147,"Friday Sep 14","boxscore","CHW","@","BAL","W",8,6,NA,"58-89",4,"24.0","Shields","Ortiz","Jones",03:35:00,"N",18265,"++",NA
"478",959,148,"Saturday Sep 15","boxscore","CHW","@","BAL","W",2,0,NA,"59-89",4,"24.0","Lopez","Ramirez","Minaya",02:52:00,"N",23266,"+++",NA
"479",960,149,"Sunday Sep 16","boxscore","CHW","@","BAL","L",4,8,NA,"59-90",4,"24.0","Meisinger","Giolito","Fry",03:27:00,"D",19104,"-",NA
"480",961,150,"Tuesday Sep 18","boxscore","CHW","@","CLE","L",3,5,NA,"59-91",4,"25.0","Kluber","Rodon","Miller",02:25:00,"N",19277,"--",NA
"481",962,151,"Wednesday Sep 19","boxscore","CHW","@","CLE","L-wo",1,4,NA,"59-92",4,"26.0","Perez","Frare",NA,03:12:00,"N",18263,"---",NA
"482",963,152,"Thursday Sep 20","boxscore","CHW","@","CLE","W",5,4,11,"60-92",4,"25.0","Santiago","Cimber",NA,04:23:00,"N",19457,"+",NA
"483",970,159,"Friday Sep 28 (1)","boxscore","CHW","@","MIN","L",1,2,NA,"62-97",4,"28.0","Berrios","Lopez","May",02:45:00,"D",20245,"--",NA
"484",971,160,"Friday Sep 28 (2)","boxscore","CHW","@","MIN","L",4,12,NA,"62-98",4,"28.0","De Jong","Giolito",NA,03:02:00,"N",28191,"---",NA
"485",972,161,"Saturday Sep 29","boxscore","CHW","@","MIN","L",3,8,NA,"62-99",4,"28.0","Gibson","Rodon",NA,03:20:00,"N",32717,"----",NA
"486",973,162,"Sunday Sep 30","boxscore","CHW","@","MIN","L",4,5,NA,"62-100",4,"29.0","Vasquez","Covey","May",02:56:00,"D",30144,"-----",NA
"487",978,5,"Thursday Apr 5","boxscore","CIN","@","PIT","L",2,5,NA,"1-4",5,"3.5","Brault","Bailey","Vazquez",02:47:00,"N",9227,"-",NA
"488",979,6,"Friday Apr 6","boxscore","CIN","@","PIT","L",3,14,NA,"1-5",5,"4.5","Williams","Castillo",NA,03:26:00,"N",11115,"--",NA
"489",980,7,"Saturday Apr 7","boxscore","CIN","@","PIT","W",7,4,NA,"2-5",5,"3.5","Peralta","Kontos","Iglesias",03:09:00,"N",14336,"+",NA
"490",981,8,"Sunday Apr 8","boxscore","CIN","@","PIT","L",0,5,NA,"2-6",5,"4.5","Taillon","Mahle",NA,02:28:00,"D",11251,"-",NA
"491",982,9,"Monday Apr 9","boxscore","CIN","@","PHI","L",5,6,NA,"2-7",5,NA,"Garcia","Quackenbush","Neris",03:22:00,"N",18127,"--",NA
"492",983,10,"Tuesday Apr 10","boxscore","CIN","@","PHI","L",1,6,NA,"2-8",5,NA,"Nola","Hughes",NA,02:44:00,"N",20895,"---",NA
"493",984,11,"Wednesday Apr 11","boxscore","CIN","@","PHI","L-wo",3,4,12,"2-9",5,NA,"Rios","Brice",NA,03:48:00,"N",19099,"----",NA
"494",989,16,"Monday Apr 16","boxscore","CIN","@","MIL","W",10,4,NA,"3-13",5,NA,"Castillo","Suter",NA,02:51:00,"N",28677,"+",NA
"495",990,17,"Tuesday Apr 17","boxscore","CIN","@","MIL","L",0,2,NA,"3-14",5,NA,"Jennings","Romano","Hader",02:56:00,"N",31345,"-",NA
"496",991,18,"Wednesday Apr 18","boxscore","CIN","@","MIL","L",0,2,NA,"3-15",5,NA,"Davies","Mahle","Barnes",02:42:00,"D",27343,"--",NA
"497",992,19,"Friday Apr 20","boxscore","CIN","@","STL","L",2,4,NA,"3-16",5,"8.5","Wacha","Finnegan","Norris",03:02:00,"N",43303,"---",NA
"498",993,20,"Saturday Apr 21","boxscore","CIN","@","STL","L",3,4,NA,"3-17",5,NA,"Hicks","Hughes",NA,02:57:00,"D",42382,"----",NA
"499",994,21,"Sunday Apr 22","boxscore","CIN","@","STL","L",2,9,NA,"3-18",5,NA,"Mikolas","Castillo",NA,02:37:00,"D",44430,"-----",NA
"500",999,26,"Friday Apr 27","boxscore","CIN","@","MIN","W",15,9,NA,"6-20",5,"9.5","Hernandez","Duffey",NA,04:00:00,"N",25002,"+",NA
"501",1000,27,"Saturday Apr 28","boxscore","CIN","@","MIN","L",1,3,NA,"6-21",5,NA,"Odorizzi","Romano","Rodney",02:58:00,"D",27115,"-",NA
"502",1001,28,"Sunday Apr 29","boxscore","CIN","@","MIN","W",8,2,NA,"7-21",5,NA,"Mahle","Berrios",NA,03:07:00,"D",25677,"+",NA
"503",1011,38,"Thursday May 10","boxscore","CIN","@","LAD","W",4,1,NA,"11-27",5,"11.5","Mahle","Buehler","Iglesias",02:59:00,"N",47383,"+++",NA
"504",1012,39,"Friday May 11","boxscore","CIN","@","LAD","W",6,2,NA,"12-27",5,"11.5","Brice","Maeda","Iglesias",03:28:00,"N",46979,"++++",NA
"505",1013,40,"Saturday May 12","boxscore","CIN","@","LAD","W",5,3,NA,"13-27",5,"10.5","Bailey","Chargois","Hughes",03:17:00,"N",49911,"+++++",NA
"506",1014,41,"Sunday May 13","boxscore","CIN","@","LAD","W",5,3,NA,"14-27",5,NA,"Castillo","Hill","Iglesias",02:55:00,"D",44787,"++++++",NA
"507",1015,42,"Monday May 14","boxscore","CIN","@","SFG","L",7,10,NA,"14-28",5,NA,"Stratton","Romano",NA,03:02:00,"N",36156,"-",NA
"508",1016,43,"Tuesday May 15","boxscore","CIN","@","SFG","L",3,5,NA,"14-29",5,NA,"Johnson","Mahle","Strickland",02:53:00,"N",37809,"--",NA
"509",1017,44,"Wednesday May 16","boxscore","CIN","@","SFG","W",6,3,NA,"15-29",5,NA,"Hughes","Suarez","Iglesias",02:41:00,"D",38662,"+",NA
"510",1025,52,"Friday May 25","boxscore","CIN","@","COL","L",4,5,NA,"18-34",5,NA,"Gray","Romano","Davis",02:43:00,"N",33193,"-",NA
"511",1026,53,"Saturday May 26","boxscore","CIN","@","COL","W",6,5,NA,"19-34",5,NA,"Lorenzen","Rusin","Hughes",03:00:00,"N",42844,"+",NA
"512",1027,54,"Sunday May 27","boxscore","CIN","@","COL","L",2,8,NA,"19-35",5,NA,"Marquez","Harvey",NA,02:53:00,"D",36387,"-",NA
"513",1028,55,"Monday May 28","boxscore","CIN","@","ARI","L",5,12,NA,"19-36",5,NA,"Koch","Bailey",NA,03:19:00,"D",29924,"--",NA
"514",1029,56,"Tuesday May 29","boxscore","CIN","@","ARI","L",2,5,NA,"19-37",5,NA,"Godley","Castillo","Boxberger",02:40:00,"N",20046,"---",NA
"515",1030,57,"Wednesday May 30","boxscore","CIN","@","ARI","W",7,4,NA,"20-37",5,NA,"Romano","Corbin","Iglesias",03:06:00,"D",18340,"+",NA
"516",1031,58,"Friday Jun 1","boxscore","CIN","@","SDP","W",7,2,NA,"21-37",5,NA,"Mahle","Lockett","Lorenzen",02:57:00,"N",25729,"++",NA
"517",1032,59,"Saturday Jun 2","boxscore","CIN","@","SDP","L",2,8,NA,"21-38",5,NA,"Lauer","Harvey",NA,02:50:00,"N",31710,"-",NA
"518",1033,60,"Sunday Jun 3","boxscore","CIN","@","SDP","L",3,6,NA,"21-39",5,NA,"Ross","Castillo","Yates",03:06:00,"D",25377,"--",NA
"519",1040,67,"Tuesday Jun 12","boxscore","CIN","@","KCR","W",5,1,10,"24-43",5,NA,"Hernandez","McCarthy",NA,02:58:00,"N",20476,"++",NA
"520",1041,68,"Wednesday Jun 13","boxscore","CIN","@","KCR","W",7,0,NA,"25-43",5,NA,"Mahle","Hammel",NA,02:41:00,"N",24899,"+++",NA
"521",1042,69,"Friday Jun 15","boxscore","CIN","@","PIT","L",2,3,NA,"25-44",5,NA,"Kuhl","Harvey","Vazquez",02:53:00,"N",23007,"-",NA
"522",1043,70,"Saturday Jun 16","boxscore","CIN","@","PIT","L",2,6,NA,"25-45",5,NA,"Nova","Castillo",NA,02:44:00,"D",27479,"--",NA
"523",1044,71,"Sunday Jun 17","boxscore","CIN","@","PIT","W",8,6,NA,"26-45",5,NA,"DeSclafani","Musgrove","Iglesias",03:15:00,"D",23042,"+",NA
"524",1051,78,"Monday Jun 25","boxscore","CIN","@","ATL","L-wo",4,5,11,"32-46",5,"13.5","Jackson","Floro",NA,03:45:00,"N",27851,"-",NA
"525",1052,79,"Tuesday Jun 26","boxscore","CIN","@","ATL","W",5,3,NA,"33-46",5,"13.5","Harvey","Sanchez","Iglesias",03:20:00,"N",28356,"+",NA
"526",1053,80,"Wednesday Jun 27","boxscore","CIN","@","ATL","W",6,5,NA,"34-46",5,"12.5","Stephens","Freeman","Iglesias",03:01:00,"D",30207,"++",NA
"527",1061,88,"Friday Jul 6","boxscore","CIN","@","CHC","W",3,2,NA,"39-49",5,NA,"Mahle","Montgomery","Iglesias",03:09:00,"D",41434,"++",NA
"528",1062,89,"Saturday Jul 7","boxscore","CIN","@","CHC","L",7,8,NA,"39-50",5,NA,"Rosario","Hughes","Morrow",03:15:00,"D",41538,"-",NA
"529",1063,90,"Sunday Jul 8","boxscore","CIN","@","CHC","L-wo",5,6,10,"39-51",5,NA,"Farrell","Stephens",NA,03:32:00,"D",38655,"--",NA
"530",1064,91,"Monday Jul 9","boxscore","CIN","@","CLE","W",7,5,NA,"40-51",5,NA,"DeSclafani","Clevinger","Iglesias",02:57:00,"N",22561,"+",NA
"531",1065,92,"Tuesday Jul 10","boxscore","CIN","@","CLE","W",7,4,NA,"41-51",5,NA,"Crockett","Allen","Iglesias",02:48:00,"N",21908,"++",NA
"532",1066,93,"Wednesday Jul 11","boxscore","CIN","@","CLE","L",4,19,NA,"41-52",5,NA,"Carrasco","Mahle","Plutko",03:31:00,"N",22215,"-",NA
"533",1067,94,"Friday Jul 13","boxscore","CIN","@","STL","W",9,1,NA,"42-52",5,"12.5","Harvey","Martinez",NA,03:14:00,"N",45891,"+",NA
"534",1068,95,"Saturday Jul 14","boxscore","CIN","@","STL","W",8,2,NA,"43-52",5,"12.5","Brice","Hicks",NA,03:07:00,"D",44668,"++",NA
"535",1069,96,"Sunday Jul 15","boxscore","CIN","@","STL","L",4,6,NA,"43-53",5,"13.5","Gant","DeSclafani","Hicks",02:53:00,"D",45808,"-",NA
"536",1080,107,"Tuesday Jul 31","boxscore","CIN","@","DET","L",1,2,NA,"48-59",5,"13.5","Boyd","Bailey","Greene",02:18:00,"N",24929,"-",NA
"537",1081,108,"Wednesday Aug 1","boxscore","CIN","@","DET","L",4,7,NA,"48-60",5,NA,"VerHagen","Romano","Greene",02:55:00,"D",24952,"--",NA
"538",1082,109,"Thursday Aug 2","boxscore","CIN","@","WSN","L",4,10,NA,"48-61",5,NA,"Scherzer","Mahle",NA,03:14:00,"N",28845,"---",NA
"539",1083,110,"Saturday Aug 4 (1)","boxscore","CIN","@","WSN","W",7,1,NA,"49-61",5,"15.5","DeSclafani","Gonzalez",NA,02:58:00,"D",32687,"+",NA
"540",1084,111,"Saturday Aug 4 (2)","boxscore","CIN","@","WSN","L",2,6,NA,"49-62",5,"15.5","Hellickson","Harvey",NA,03:05:00,"N",36149,"-",NA
"541",1085,112,"Sunday Aug 5","boxscore","CIN","@","WSN","L",1,2,NA,"49-63",5,"15.5","Roark","Castillo","Herrera",02:39:00,"D",33486,"--",NA
"542",1086,113,"Monday Aug 6","boxscore","CIN","@","NYM","L",4,6,NA,"49-64",5,"16.5","Syndergaard","Bailey","Blevins",03:05:00,"N",21644,"---",NA
"543",1087,114,"Tuesday Aug 7","boxscore","CIN","@","NYM","W",6,1,NA,"50-64",5,"16.5","Romano","Vargas",NA,02:43:00,"N",22207,"+",NA
"544",1088,115,"Wednesday Aug 8","boxscore","CIN","@","NYM","L",0,8,NA,"50-65",5,"16.5","deGrom","Stephenson",NA,03:08:00,"D",24287,"-",NA
"545",1098,125,"Monday Aug 20","boxscore","CIN","@","MIL","L",2,5,NA,"55-70",5,NA,"Anderson","Bailey","Jeffress",02:38:00,"N",27590,"-",NA
"546",1099,126,"Tuesday Aug 21","boxscore","CIN","@","MIL","W",9,7,NA,"56-70",5,NA,"Iglesias","Jennings",NA,03:22:00,"N",29467,"+",NA
"547",1100,127,"Wednesday Aug 22","boxscore","CIN","@","MIL","L",0,4,NA,"56-71",5,NA,"Peralta","Stephenson","Jeffress",02:56:00,"D",33058,"-",NA
"548",1101,128,"Thursday Aug 23","boxscore","CIN","@","CHC","L",1,7,NA,"56-72",5,NA,"Hamels","DeSclafani",NA,02:27:00,"N",41130,"--",NA
"549",1102,129,"Friday Aug 24","boxscore","CIN","@","CHC","L-wo",2,3,10,"56-73",5,NA,"Chavez","Iglesias",NA,03:01:00,"D",37760,"---",NA
"550",1103,130,"Saturday Aug 25","boxscore","CIN","@","CHC","L",6,10,NA,"56-74",5,NA,"Quintana","Castillo",NA,03:26:00,"D",41205,"----",NA
"551",1104,131,"Sunday Aug 26","boxscore","CIN","@","CHC","L",0,9,NA,"56-75",5,NA,"Hendricks","Bailey",NA,02:36:00,"D",40331,"-----",NA
"552",1108,135,"Friday Aug 31","boxscore","CIN","@","STL","L",5,12,NA,"57-78",5,"22.5","Gomber","Bailey",NA,03:22:00,"N",42365,"---",NA
"553",1109,136,"Saturday Sep 1","boxscore","CIN","@","STL","W",4,0,NA,"58-78",5,"22.5","Castillo","Poncedeleon",NA,02:55:00,"N",46368,"+",NA
"554",1110,137,"Sunday Sep 2","boxscore","CIN","@","STL","W",6,4,10,"59-78",5,"22.5","Lorenzen","Norris","Iglesias",03:44:00,"D",45743,"++",NA
"555",1111,138,"Monday Sep 3","boxscore","CIN","@","PIT","L",1,5,NA,"59-79",5,"22.5","Williams","Harvey",NA,02:33:00,"D",13843,"-",NA
"556",1112,139,"Tuesday Sep 4","boxscore","CIN","@","PIT","L",3,7,NA,"59-80",5,"22.5","Musgrove","Reed",NA,02:39:00,"N",8855,"--",NA
"557",1113,140,"Wednesday Sep 5","boxscore","CIN","@","PIT","L",2,3,NA,"59-81",5,"23.5","Taillon","Bailey","Vazquez",02:55:00,"N",9560,"---",NA
"558",1121,148,"Friday Sep 14","boxscore","CIN","@","CHC","L",2,3,NA,"63-85",5,"23.5","Maples","Hernandez","De La Rosa",02:58:00,"N",36468,"--",NA
"559",1122,149,"Saturday Sep 15","boxscore","CIN","@","CHC","L",0,1,NA,"63-86",5,NA,"Lester","Romano","Cishek",02:39:00,"D",41196,"---",NA
"560",1123,150,"Sunday Sep 16","boxscore","CIN","@","CHC","W",2,1,NA,"64-86",5,"23.5","Castillo","Quintana","Iglesias",02:43:00,"D",41314,"+",NA
"561",1124,151,"Monday Sep 17","boxscore","CIN","@","MIL","L",0,8,NA,"64-87",5,NA,"Miley","DeSclafani","Woodruff",02:41:00,"N",32145,"-",NA
"562",1125,152,"Tuesday Sep 18","boxscore","CIN","@","MIL","W",3,1,NA,"65-87",5,NA,"Romano","Anderson","Iglesias",02:54:00,"N",30366,"+",NA
"563",1126,153,"Wednesday Sep 19","boxscore","CIN","@","MIL","L",0,7,NA,"65-88",5,NA,"Gonzalez","Harvey",NA,02:39:00,"N",33443,"-",NA
"564",1127,154,"Thursday Sep 20","boxscore","CIN","@","MIA","W",4,2,NA,"66-88",5,NA,"Reed","Brigham","Iglesias",02:41:00,"N",9863,"+",NA
"565",1128,155,"Friday Sep 21","boxscore","CIN","@","MIA","L-wo",0,1,10,"66-89",5,NA,"Barraclough","Hernandez",NA,02:36:00,"N",11471,"-",NA
"566",1129,156,"Saturday Sep 22","boxscore","CIN","@","MIA","L",1,5,NA,"66-90",5,NA,"Urena","DeSclafani","Steckenrider",02:22:00,"N",12559,"--",NA
"567",1130,157,"Sunday Sep 23","boxscore","CIN","@","MIA","L",0,6,NA,"66-91",5,NA,"Richards","Lorenzen",NA,02:30:00,"D",13595,"---",NA
"568",1136,1,"Thursday Mar 29","boxscore","CLE","@","SEA","L",1,2,NA,"0-1",3,"1.0","Hernandez","Kluber","Diaz",02:35:00,"N",47149,"-",NA
"569",1137,2,"Saturday Mar 31","boxscore","CLE","@","SEA","W",6,5,NA,"1-1",2,"1.0","Carrasco","Paxton","Allen",02:47:00,"D",35881,"+",NA
"570",1138,3,"Sunday Apr 1","boxscore","CLE","@","SEA","L",4,5,NA,"1-2",3,"1.5","Leake","Otero","Diaz",02:57:00,"D",24506,"-",NA
"571",1139,4,"Monday Apr 2","boxscore","CLE","@","LAA","W",6,0,NA,"2-2",2,"0.5","Clevinger","Ramirez",NA,03:25:00,"N",43904,"+",NA
"572",1140,5,"Tuesday Apr 3","boxscore","CLE","@","LAA","L",2,13,NA,"2-3",3,"0.5","Richards","Tomlin",NA,02:49:00,"N",35007,"-",NA
"573",1141,6,"Wednesday Apr 4","boxscore","CLE","@","LAA","L-wo",2,3,13,"2-4",3,"1.5","Ramirez","McAllister",NA,04:28:00,"D",32412,"--",NA
"574",1150,15,"Tuesday Apr 17","boxscore","CLE","@","MIN","W",6,1,NA,"9-6",1,"up 0.5","Kluber","Odorizzi",NA,03:24:00,"N",19516,"+",NA
"575",1151,16,"Wednesday Apr 18","boxscore","CLE","@","MIN","L-wo",1,2,16,"9-7",2,"0.5","Busenitz","Tomlin",NA,05:13:00,"N",19537,"-",NA
"576",1152,17,"Friday Apr 20","boxscore","CLE","@","BAL","L",1,3,NA,"9-8",2,"0.5","Bundy","Bauer","O'Day",02:52:00,"N",20004,"--",NA
"577",1153,18,"Saturday Apr 21","boxscore","CLE","@","BAL","W",4,0,NA,"10-8",1,"up 0.5","Clevinger","Tillman",NA,02:21:00,"D",29187,"+",NA
"578",1154,19,"Sunday Apr 22","boxscore","CLE","@","BAL","W",7,3,NA,"11-8",1,"up 1.5","Kluber","Cashner",NA,02:54:00,"D",27394,"++",NA
"579",1155,20,"Monday Apr 23","boxscore","CLE","@","BAL","W",2,1,NA,"12-8",1,"up 2.5","Carrasco","Gausman","Allen",02:21:00,"N",10614,"+++",NA
