Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
45,Sunday May 20,boxscore,ATL,,MIA,W-wo,10,9,,28-17,1,up 1.5,Minter,Guerrero,,3:19,D,28352,++,
46,Monday May 21,boxscore,ATL,@,PHI,L,0,3,,28-18,1,up 0.5,Pivetta,Foltynewicz,Neris,2:33,N,21284,-,
47,Tuesday May 22,boxscore,ATL,@,PHI,W,3,1,,29-18,1,up 1.5,McCarthy,Velasquez,Vizcaino,3:18,N,18545,+,
48,Wednesday May 23,boxscore,ATL,@,PHI,L,0,4,,29-19,1,up 0.5,Arrieta,Gohara,,2:51,N,27647,-,
49,Friday May 25,boxscore,ATL,@,BOS,L,2,6,,29-20,1,up 0.5,Rodriguez,Teheran,,3:13,N,37008,--,
50,Saturday May 26,boxscore,ATL,@,BOS,L,6,8,,29-21,2,0.5,Wright,Freeman,Kimbrel,3:29,D,36510,---,
51,Sunday May 27,boxscore,ATL,@,BOS,W,7,1,,30-21,1,up 0.5,Foltynewicz,Sale,,2:53,D,36543,+,
52,Monday May 28 (1),boxscore,ATL,,NYM,W-wo,4,3,,31-21,1,Tied,Carle,Lugo,,3:05,D,32377,++,
53,Monday May 28 (2),boxscore,ATL,,NYM,L,5,8,,31-22,1,Tied,Gsellman,Minter,Familia,3:21,N,31779,-,
54,Tuesday May 29,boxscore,ATL,,NYM,W-wo,7,6,,32-22,1,Tied,Winkler,Bautista,,3:11,N,19443,+,
55,Wednesday May 30,boxscore,ATL,,NYM,L,1,4,,32-23,2,1.0,Vargas,Teheran,Gsellman,2:42,N,21449,-,
56,Thursday May 31,boxscore,ATL,,WSN,W,4,2,,33-23,1,Tied,Newcomb,Roark,Vizcaino,2:39,N,22380,+,
57,Friday Jun 1,boxscore,ATL,,WSN,W,4,0,,34-23,1,up 1.0,Foltynewicz,Strasburg,,2:24,N,33845,++,
58,Saturday Jun 2,boxscore,ATL,,WSN,L,3,5,14,34-24,1,Tied,Miller,Socolovich,Doolittle,4:00,D,39578,-,
59,Sunday Jun 3,boxscore,ATL,,WSN,W-wo,4,2,,35-24,1,up 1.0,Vizcaino,Roark,,2:47,D,33132,+,
60,Monday Jun 4,boxscore,ATL,@,SDP,L,4,11,,35-25,1,up 0.5,Richard,Teheran,,2:57,N,19419,-,
61,Tuesday Jun 5,boxscore,ATL,@,SDP,W,14,1,,36-25,1,up 0.5,Newcomb,Lyles,Jackson,2:55,N,21049,+,
62,Wednesday Jun 6,boxscore,ATL,@,SDP,L,1,3,,36-26,2,0.5,Castillo,Foltynewicz,Hand,2:47,D,20898,-,
63,Friday Jun 8,boxscore,ATL,@,LAD,L,3,7,,36-27,2,0.5,Buehler,McCarthy,,2:52,N,47262,--,
64,Saturday Jun 9,boxscore,ATL,@,LAD,W,5,3,,37-27,2,0.5,Sanchez,Wood,Vizcaino,3:11,N,52718,+,
65,Sunday Jun 10,boxscore,ATL,@,LAD,L,2,7,,37-28,2,0.5,Stripling,Newcomb,,2:37,D,47711,-,
66,Tuesday Jun 12,boxscore,ATL,,NYM,W,8,2,,38-28,1,up 0.5,Carle,Wheeler,,2:45,N,29892,+,
