Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
47,Saturday May 19,boxscore,SDP,@,PIT,W,6,2,,19-28,5,7.0,Richard,Kingham,,2:26,N,20578,++,
48,Sunday May 20,boxscore,SDP,@,PIT,W,8,5,,20-28,5,6.0,Yates,Vazquez,Hand,3:15,D,17783,+++,
49,Monday May 21,boxscore,SDP,@,WSN,L,2,10,,20-29,5,6.5,Gonzalez,Erlin,,2:27,N,27890,-,
50,Tuesday May 22,boxscore,SDP,@,WSN,L-wo,1,2,,20-30,5,6.5,Doolittle,Strahm,,2:48,N,25700,--,
51,Wednesday May 23,boxscore,SDP,@,WSN,W,3,1,,21-30,5,5.5,Ross,Fedde,Hand,3:00,D,31076,+,
52,Friday May 25,boxscore,SDP,@,LAD,L,1,4,,21-31,5,6.5,Stripling,Richard,Jansen,2:26,N,44612,-,
53,Saturday May 26,boxscore,SDP,@,LAD,W,7,5,,22-31,5,5.5,Stammen,Hudson,Hand,3:12,N,43920,+,
54,Sunday May 27,boxscore,SDP,@,LAD,L,1,6,,22-32,5,6.5,Buehler,Cimber,,2:26,D,46650,-,
55,Monday May 28,boxscore,SDP,,MIA,L,2,7,,22-33,5,7.5,Smith,Lauer,,2:41,D,27932,--,
56,Tuesday May 29,boxscore,SDP,,MIA,W,9,5,,23-33,5,7.5,Stammen,Straily,,3:02,N,16321,+,
57,Wednesday May 30,boxscore,SDP,,MIA,W-wo,3,2,,24-33,5,6.5,Strahm,Ziegler,,2:20,N,15733,++,
58,Thursday May 31,boxscore,SDP,,MIA,W,8,3,,25-33,5,6.0,Lyles,Chen,Hand,2:59,N,17373,+++,
59,Friday Jun 1,boxscore,SDP,,CIN,L,2,7,,25-34,5,6.0,Mahle,Lockett,Lorenzen,2:57,N,25729,-,
60,Saturday Jun 2,boxscore,SDP,,CIN,W,8,2,,26-34,5,5.5,Lauer,Harvey,,2:50,N,31710,+,
61,Sunday Jun 3,boxscore,SDP,,CIN,W,6,3,,27-34,5,5.5,Ross,Castillo,Yates,3:06,D,25377,++,
62,Monday Jun 4,boxscore,SDP,,ATL,W,11,4,,28-34,5,4.5,Richard,Teheran,,2:57,N,19419,+++,
63,Tuesday Jun 5,boxscore,SDP,,ATL,L,1,14,,28-35,5,5.5,Newcomb,Lyles,Jackson,2:55,N,21049,-,
64,Wednesday Jun 6,boxscore,SDP,,ATL,W,3,1,,29-35,5,4.5,Castillo,Foltynewicz,Hand,2:47,D,20898,+,
65,Friday Jun 8,boxscore,SDP,@,MIA,L,0,4,,29-36,5,5.5,Smith,Lauer,,3:00,N,10654,-,
66,Saturday Jun 9,boxscore,SDP,@,MIA,W,5,4,,30-36,5,5.5,Stammen,Rucinski,Yates,3:07,D,12089,+,
67,Sunday Jun 10,boxscore,SDP,@,MIA,W,3,1,,31-36,5,5.5,Richard,Urena,Hand,2:24,D,12984,++,
68,Monday Jun 11,boxscore,SDP,@,STL,L,2,5,,31-37,5,6.5,Flaherty,Lyles,Norris,2:53,N,40971,-,
69,Tuesday Jun 12,boxscore,SDP,@,STL,W,4,2,,32-37,5,6.5,Cimber,Mikolas,Hand,2:25,N,40199,+,
70,Wednesday Jun 13,boxscore,SDP,@,STL,W,4,2,,33-37,5,5.5,Lauer,Weaver,Hand,2:45,N,44094,++,
71,Thursday Jun 14,boxscore,SDP,@,ATL,L,2,4,,33-38,5,6.5,Sanchez,Ross,Vizcaino,2:26,N,25250,-,
72,Friday Jun 15,boxscore,SDP,@,ATL,W,9,3,,34-38,5,6.5,Richard,Freeman,,2:50,N,41497,+,
73,Saturday Jun 16,boxscore,SDP,@,ATL,L,0,1,,34-39,5,6.5,Newcomb,Lyles,Vizcaino,2:19,N,41916,-,
74,Sunday Jun 17,boxscore,SDP,@,ATL,L,1,4,,34-40,5,6.5,Teheran,Castillo,Vizcaino,3:10,D,40251,--,
75,Tuesday Jun 19,boxscore,SDP,,OAK,L,2,4,10,34-41,5,7.0,Trivino,Cimber,Treinen,3:21,N,37485,---,
76,Wednesday Jun 20,boxscore,SDP,,OAK,L,4,12,,34-42,5,7.5,Montas,Lucchesi,,3:04,D,28225,----,
77,Thursday Jun 21,boxscore,SDP,@,SFG,L,0,3,,34-43,5,8.5,Bumgarner,Ross,Melancon,2:23,N,37497,-----,
78,Friday Jun 22,boxscore,SDP,@,SFG,W,6,2,,35-43,5,8.5,Richard,Stratton,,2:53,N,40546,+,
79,Saturday Jun 23,boxscore,SDP,@,SFG,L,3,5,,35-44,5,9.5,Moronta,Cimber,,2:36,D,40348,-,
80,Sunday Jun 24,boxscore,SDP,@,SFG,L-wo,2,3,11,35-45,5,10.5,Blach,Hand,,3:02,D,39230,--,
81,Monday Jun 25,boxscore,SDP,@,TEX,L,4,7,,35-46,5,10.5,Barnette,Stammen,Kela,3:14,N,23470,---,
82,Tuesday Jun 26,boxscore,SDP,@,TEX,W,3,2,,36-46,5,10.5,Strahm,Diekman,Hand,3:07,N,21780,+,
83,Wednesday Jun 27,boxscore,SDP,@,TEX,L,2,5,,36-47,5,11.5,Minor,Richard,Kela,2:24,N,21365,-,
