"","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"571",85,"Sunday Jul 1","boxscore","BOS","@","NYY","L",1,11,NA,"56-29",1,"Tied","Severino","Price","","3:14","N",46795,"-",NA
"572",86,"Monday Jul 2","boxscore","BOS","@","WSN","W",4,3,NA,"57-29",1,"up 1.0","Porcello","Scherzer","Kimbrel","3:15","N",39002,"+",NA
"573",87,"Tuesday Jul 3","boxscore","BOS","@","WSN","W",11,4,NA,"58-29",1,"up 1.0","Workman","Roark","","2:55","N",42531,"++",NA
"574",88,"Wednesday Jul 4","boxscore","BOS","@","WSN","W",3,0,NA,"59-29",1,"up 1.0","Rodriguez","Madson","Kimbrel","3:23","D",42528,"+++",NA
"575",89,"Friday Jul 6","boxscore","BOS","@","KCR","W",10,5,NA,"60-29",1,"up 2.0","Sale","Hammel","","2:59","N",24673,"++++",NA
"576",90,"Saturday Jul 7","boxscore","BOS","@","KCR","W",15,4,NA,"61-29",1,"up 2.0","Hembree","Adam","","4:03","N",30347,"+++++",NA
"577",91,"Sunday Jul 8","boxscore","BOS","@","KCR","W",7,4,NA,"62-29",1,"up 2.0","Porcello","Fillmyer","Kimbrel","3:25","D",28443,"++++++",NA
"578",92,"Monday Jul 9","boxscore","BOS","","TEX","W",5,0,NA,"63-29",1,"up 2.5","Rodriguez","Minor","","2:52","N",36754,"+++++++",NA
"579",93,"Tuesday Jul 10","boxscore","BOS","","TEX","W",8,4,NA,"64-29",1,"up 3.5","Barnes","Gallardo","","2:56","N",36883,"++++++++",NA
"580",94,"Wednesday Jul 11","boxscore","BOS","","TEX","W",4,2,NA,"65-29",1,"up 3.5","Sale","Colon","Kimbrel","2:58","N",36920,"+++++++++",NA
"581",95,"Thursday Jul 12","boxscore","BOS","","TOR","W",6,4,NA,"66-29",1,"up 3.5","Price","Happ","Kimbrel","3:19","N",37182,"++++++++++",NA
"582",96,"Friday Jul 13","boxscore","BOS","","TOR","L",7,13,NA,"66-30",1,"up 3.5","Petricka","Porcello","","3:43","N",37018,"-",NA
"583",97,"Saturday Jul 14","boxscore","BOS","","TOR","W-wo",6,2,10,"67-30",1,"up 3.5","Kimbrel","Rowley","","3:32","D",36390,"+",NA
"584",98,"Sunday Jul 15","boxscore","BOS","","TOR","W",5,2,NA,"68-30",1,"up 4.5","Workman","Stroman","Kimbrel","3:12","D",36940,"++",NA
"585",99,"Friday Jul 20","boxscore","BOS","@","DET","W",1,0,NA,"69-30",1,"up 5.5","Price","Boyd","Kimbrel","3:31","N",33817,"+++",NA
"586",100,"Saturday Jul 21","boxscore","BOS","@","DET","L",0,5,NA,"69-31",1,"up 4.5","Fiers","Johnson","","2:27","N",31682,"-",NA
"587",101,"Sunday Jul 22","boxscore","BOS","@","DET","W",9,1,NA,"70-31",1,"up 5.0","Sale","Hardy","","2:55","D",25012,"+",NA
"588",102,"Monday Jul 23","boxscore","BOS","@","BAL","W",5,3,NA,"71-31",1,"up 6.0","Porcello","Gausman","Kimbrel","2:54","N",16885,"++",NA
"589",103,"Tuesday Jul 24","boxscore","BOS","@","BAL","L",6,7,NA,"71-32",1,"up 5.0","Ramirez","Pomeranz","Brach","3:07","N",13342,"-",NA
"590",104,"Thursday Jul 26","boxscore","BOS","","MIN","L",1,2,NA,"71-33",1,"up 4.5","Gibson","Barnes","Rodney","2:59","N",37439,"--",NA
"591",105,"Friday Jul 27","boxscore","BOS","","MIN","W-wo",4,3,10,"72-33",1,"up 5.0","Thornburg","Belisle","","3:26","N",37273,"+",NA
"592",106,"Saturday Jul 28","boxscore","BOS","","MIN","W",10,4,NA,"73-33",1,"up 5.5","Porcello","Odorizzi","","3:28","N",36798,"++",NA
"593",107,"Sunday Jul 29","boxscore","BOS","","MIN","W",3,0,NA,"74-33",1,"up 5.5","Eovaldi","Berrios","Kimbrel","2:42","D",36785,"+++",NA
"594",108,"Monday Jul 30","boxscore","BOS","","PHI","W-wo",2,1,13,"75-33",1,"up 6.0","Velazquez","Davis","","4:03","N",37722,"++++",NA
"595",109,"Tuesday Jul 31","boxscore","BOS","","PHI","L",1,3,NA,"75-34",1,"up 5.0","Arrieta","Pomeranz","Dominguez","3:13","N",37816,"-",NA
"596",110,"Thursday Aug 2","boxscore","BOS","","NYY","W",15,7,NA,"76-34",1,"up 6.5","Johnson","Holder","","3:25","N",37317,"+",NA
"597",111,"Friday Aug 3","boxscore","BOS","","NYY","W",4,1,NA,"77-34",1,"up 7.5","Porcello","Severino","","2:15","N",37231,"++",NA
"598",112,"Saturday Aug 4","boxscore","BOS","","NYY","W",4,1,NA,"78-34",1,"up 8.5","Eovaldi","Adams","","2:33","D",36699,"+++",NA
"599",113,"Sunday Aug 5","boxscore","BOS","","NYY","W-wo",5,4,10,"79-34",1,"up 9.5","Barnes","Holder","","4:39","N",37830,"++++",NA
"600",114,"Tuesday Aug 7","boxscore","BOS","@","TOR","W",10,7,10,"80-34",1,"up 9.0","Kimbrel","Giles","","3:27","N",31855,"+++++",NA
"601",115,"Wednesday Aug 8","boxscore","BOS","@","TOR","W",10,5,NA,"81-34",1,"up 9.0","Johnson","Hauschild","","3:02","N",36798,"++++++",NA
"602",116,"Thursday Aug 9","boxscore","BOS","@","TOR","L",5,8,NA,"81-35",1,"up 8.0","Borucki","Porcello","","2:49","N",28415,"-",NA
"603",117,"Friday Aug 10","boxscore","BOS","@","BAL","W",19,12,NA,"82-35",1,"up 9.0","Pomeranz","Castro","","4:01","N",23649,"+",NA
"604",118,"Saturday Aug 11 (1)","boxscore","BOS","@","BAL","W",5,0,NA,"83-35",1,"up 9.5","Price","Yacabonis","","2:48","D",18003,"++",NA
"605",119,"Saturday Aug 11 (2)","boxscore","BOS","@","BAL","W",6,4,NA,"84-35",1,"up 9.5","Kelly","Wright","Kimbrel","3:39","N",24051,"+++",NA
"606",120,"Sunday Aug 12","boxscore","BOS","@","BAL","W",4,1,NA,"85-35",1,"up 9.5","Sale","Cobb","Kimbrel","3:04","D",25303,"++++",NA
"607",121,"Tuesday Aug 14","boxscore","BOS","@","PHI","W",2,1,NA,"86-35",1,"up10.0","Porcello","Hunter","Kimbrel","2:40","N",33081,"+++++",NA
"608",122,"Wednesday Aug 15","boxscore","BOS","@","PHI","L",4,7,NA,"86-36",1,"up10.0","Hunter","Kelly","Dominguez","3:27","N",35266,"-",NA
"609",123,"Friday Aug 17","boxscore","BOS","","TBR","W",7,3,NA,"87-36",1,"up10.5","Johnson","Chirinos","","2:47","N",37012,"+",NA
"610",124,"Saturday Aug 18","boxscore","BOS","","TBR","W",5,2,NA,"88-36",1,"up10.5","Price","Glasnow","Kimbrel","2:28","N",36654,"++",NA
"611",125,"Sunday Aug 19","boxscore","BOS","","TBR","L",0,2,NA,"88-37",1,"up 9.5","Beeks","Velazquez","Romo","2:47","D",37242,"-",NA
"612",126,"Monday Aug 20","boxscore","BOS","","CLE","L",4,5,NA,"88-38",1,"up 9.0","Kluber","Porcello","Allen","3:01","N",37274,"--",NA
"613",127,"Tuesday Aug 21","boxscore","BOS","","CLE","L",3,6,NA,"88-39",1,"up 8.0","Bieber","Eovaldi","Hand","2:57","N",37188,"---",NA
"614",128,"Wednesday Aug 22","boxscore","BOS","","CLE","W",10,4,NA,"89-39",1,"up 9.0","Barnes","Carrasco","","3:24","N",37107,"+",NA
"615",129,"Thursday Aug 23","boxscore","BOS","","CLE","W",7,0,NA,"90-39",1,"up 9.5","Price","Plutko","","2:47","D",37396,"++",NA
"616",130,"Friday Aug 24","boxscore","BOS","@","TBR","L",3,10,NA,"90-40",1,"up 8.5","Beeks","Velazquez","","3:10","N",19723,"-",NA
"617",131,"Saturday Aug 25","boxscore","BOS","@","TBR","L",1,5,NA,"90-41",1,"up 7.0","Stanek","Porcello","","2:53","N",25695,"--",NA
"618",132,"Sunday Aug 26","boxscore","BOS","@","TBR","L",1,9,NA,"90-42",1,"up 6.0","Snell","Eovaldi","","3:05","D",23448,"---",NA
"619",133,"Tuesday Aug 28","boxscore","BOS","","MIA","W-wo",8,7,NA,"91-42",1,"up 6.5","Kimbrel","Steckenrider","","3:29","N",36708,"+",NA
"620",134,"Wednesday Aug 29","boxscore","BOS","","MIA","W",14,6,NA,"92-42",1,"up 7.5","Thornburg","Conley","","3:10","N",36628,"++",NA
"621",135,"Thursday Aug 30","boxscore","BOS","@","CHW","W",9,4,NA,"93-42",1,"up 8.5","Brasier","Vieira","","3:37","N",18015,"+++",NA
"622",136,"Friday Aug 31","boxscore","BOS","@","CHW","L",1,6,NA,"93-43",1,"up 7.5","Covey","Eovaldi","","2:53","N",23625,"-",NA
"623",137,"Saturday Sep 1","boxscore","BOS","@","CHW","W",6,1,NA,"94-43",1,"up 7.5","Rodriguez","Rodon","","2:56","N",22639,"+",NA
"624",138,"Sunday Sep 2","boxscore","BOS","@","CHW","L",0,8,NA,"94-44",1,"up 7.5","Shields","Johnson","","3:12","D",30745,"-",NA
"625",139,"Monday Sep 3","boxscore","BOS","@","ATL","W",8,2,NA,"95-44",1,"up 8.5","Workman","Toussaint","","3:40","D",40394,"+",NA
"626",140,"Tuesday Sep 4","boxscore","BOS","@","ATL","W",5,1,NA,"96-44",1,"up 8.5","Porcello","Newcomb","","3:03","N",35333,"++",NA
"627",141,"Wednesday Sep 5","boxscore","BOS","@","ATL","W",9,8,NA,"97-44",1,"up 9.5","Workman","Minter","Kimbrel","3:44","D",28386,"+++",NA
"628",142,"Friday Sep 7","boxscore","BOS","","HOU","L",3,6,NA,"97-45",1,"up 8.5","Pressly","Kelly","Osuna","3:38","N",36930,"-",NA
"629",143,"Saturday Sep 8","boxscore","BOS","","HOU","L",3,5,NA,"97-46",1,"up 7.5","Morton","Rodriguez","Osuna","3:25","D",36684,"--",NA
"630",144,"Sunday Sep 9","boxscore","BOS","","HOU","W-wo",6,5,NA,"98-46",1,"up 8.5","Kimbrel","Rondon","","3:35","N",32787,"+",NA
"631",145,"Tuesday Sep 11","boxscore","BOS","","TOR","W",7,2,NA,"99-46",1,"up 9.0","Brasier","Tepera","","3:08","N",34747,"++",NA
"632",146,"Wednesday Sep 12","boxscore","BOS","","TOR","W",1,0,NA,"100-46",1,"up10.0","Price","Sanchez","Kimbrel","2:41","N",35178,"+++",NA
"633",147,"Thursday Sep 13","boxscore","BOS","","TOR","W",4,3,NA,"101-46",1,"up10.5","Workman","Barnes","Kimbrel","2:50","N",36427,"++++",NA
"634",148,"Friday Sep 14","boxscore","BOS","","NYM","L",0,8,NA,"101-47",1,"up 9.5","Syndergaard","Cuevas","","2:59","N",37117,"-",NA
"635",149,"Saturday Sep 15","boxscore","BOS","","NYM","W",5,3,NA,"102-47",1,"up10.5","Porcello","Sewald","Kimbrel","3:11","D",36611,"+",NA
"636",150,"Sunday Sep 16","boxscore","BOS","","NYM","W",4,3,NA,"103-47",1,"up11.5","Workman","Lugo","Wright","2:55","D",36526,"++",NA
"637",151,"Tuesday Sep 18","boxscore","BOS","@","NYY","L",2,3,NA,"103-48",1,"up10.5","Green","Workman","Britton","3:13","N",38695,"-",NA
"638",152,"Wednesday Sep 19","boxscore","BOS","@","NYY","L",1,10,NA,"103-49",1,"up 9.5","Severino","Price","","3:17","N",43297,"--",NA
"639",153,"Thursday Sep 20","boxscore","BOS","@","NYY","W",11,6,NA,"104-49",1,"up10.5","Wright","Green","","4:02","N",47351,"+",NA
"640",154,"Friday Sep 21","boxscore","BOS","@","CLE","W",7,5,NA,"105-49",1,"up10.5","Barnes","Bieber","Kimbrel","3:34","N",27892,"++",NA
"641",155,"Saturday Sep 22","boxscore","BOS","@","CLE","L-wo",4,5,11,"105-50",1,"up 9.5","Olson","Pomeranz","","3:46","N",35095,"-",NA
"642",156,"Sunday Sep 23","boxscore","BOS","@","CLE","L-wo",3,4,11,"105-51",1,"up 9.5","Tomlin","Cuevas","","4:20","N",27879,"--",NA
"643",157,"Monday Sep 24","boxscore","BOS","","BAL","W",6,2,NA,"106-51",1,"up 9.5","Eovaldi","Bundy","","3:06","N",35619,"+",NA
"644",158,"Wednesday Sep 26 (1)","boxscore","BOS","","BAL","W",19,3,NA,"107-51",1,"up 9.5","Price","Meisinger","","3:10","D",33577,"++",NA
"645",159,"Wednesday Sep 26 (2)","boxscore","BOS","","BAL","L",3,10,NA,"107-52",1,"up 9.5","Scott","Barnes","Fry","3:45","N",34445,"-",NA
"646",160,"Friday Sep 28","boxscore","BOS","","NYY","L",6,11,NA,"107-53",1,"up 8.0","Happ","Johnson","","3:27","N",36779,"--",NA
"647",161,"Saturday Sep 29","boxscore","BOS","","NYY","L",5,8,NA,"107-54",1,"up 7.0","Lynn","Rodriguez","Chapman","3:40","D",36375,"---",NA
"648",162,"Sunday Sep 30","boxscore","BOS","","NYY","W",10,2,NA,"108-54",1,"up 8.0","Rodriguez","Cessa","","3:20","D",36201,"+",NA
"649",1,"Thursday Mar 29","boxscore","CHC","@","MIA","W",8,4,NA,"1-0",1,"Tied","Cishek","Urena","","3:18","D",32151,"+",NA
"650",2,"Friday Mar 30","boxscore","CHC","@","MIA","L-wo",1,2,17,"1-1",3,"1.0","Despaigne","Butler","","5:18","N",12034,"-",NA
"651",3,"Saturday Mar 31","boxscore","CHC","@","MIA","W",10,6,10,"2-1",2,"1.0","Strop","Ziegler","","3:57","N",13422,"+",NA
"652",4,"Sunday Apr 1","boxscore","CHC","@","MIA","L",0,6,NA,"2-2",3,"1.5","Peters","Quintana","","2:36","D",10428,"-",NA
"653",5,"Monday Apr 2","boxscore","CHC","@","CIN","L",0,1,NA,"2-3",4,"2.5","Mahle","Chatwood","Iglesias","2:33","D",18963,"--",NA
"654",6,"Thursday Apr 5","boxscore","CHC","@","MIL","W",8,0,NA,"3-3",3,"2.0","Lester","Suter","","2:52","N",24310,"+",NA
"655",7,"Friday Apr 6","boxscore","CHC","@","MIL","L-wo",4,5,NA,"3-4",3,"3.0","Albers","Montgomery","","3:45","N",37758,"-",NA
"656",8,"Saturday Apr 7","boxscore","CHC","@","MIL","W",5,2,NA,"4-4",3,"2.0","Strop","Barnes","Morrow","3:26","D",43331,"+",NA
"657",9,"Sunday Apr 8","boxscore","CHC","@","MIL","W",3,0,NA,"5-4",2,"2.0","Quintana","Anderson","Morrow","2:41","D",39282,"++",NA
"658",10,"Tuesday Apr 10","boxscore","CHC","","PIT","L",5,8,NA,"5-5",2,"3.0","Nova","Chatwood","Vazquez","3:05","D",40144,"-",NA
"659",11,"Wednesday Apr 11","boxscore","CHC","","PIT","W",13,5,NA,"6-5",2,"2.0","Duensing","Glasnow","","2:59","N",35596,"+",NA
"660",12,"Thursday Apr 12","boxscore","CHC","","PIT","L",1,6,NA,"6-6",3,"3.0","Williams","Hendricks","","2:57","D",29949,"-",NA
"661",13,"Friday Apr 13","boxscore","CHC","","ATL","L",0,4,NA,"6-7",4,"3.0","Sanchez","Darvish","","3:09","D",29775,"--",NA
"662",14,"Saturday Apr 14","boxscore","CHC","","ATL","W",14,10,NA,"7-7",4,"3.0","Wilson","Ramirez","","3:43","D",36788,"+",NA
"663",15,"Tuesday Apr 17","boxscore","CHC","","STL","L",3,5,NA,"7-8",4,"3.0","Wainwright","Chatwood","Norris","3:33","N",35103,"-",NA
"664",16,"Thursday Apr 19","boxscore","CHC","","STL","W",8,5,NA,"8-8",4,"2.5","Lester","Weaver","Morrow","3:10","D",29648,"+",NA
"665",17,"Friday Apr 20","boxscore","CHC","@","COL","W",16,5,NA,"9-8",4,"1.5","Hendricks","Gray","","3:30","N",35290,"++",NA
"666",18,"Saturday Apr 21","boxscore","CHC","@","COL","L",2,5,NA,"9-9",4,"2.0","Anderson","Darvish","Davis","3:03","N",40107,"-",NA
"667",19,"Sunday Apr 22","boxscore","CHC","@","COL","W",9,7,NA,"10-9",4,"2.0","Quintana","Marquez","Morrow","3:47","D",48137,"+",NA
"668",20,"Tuesday Apr 24","boxscore","CHC","@","CLE","W",10,3,NA,"11-9",3,"2.0","Chatwood","Tomlin","","3:00","N",16408,"++",NA
"669",21,"Wednesday Apr 25","boxscore","CHC","@","CLE","L",1,4,NA,"11-10",4,"3.0","Bauer","Lester","Allen","2:50","N",15712,"-",NA
"670",22,"Thursday Apr 26","boxscore","CHC","","MIL","W",1,0,NA,"12-10",4,"2.0","Hendricks","Anderson","Morrow","2:22","N",37197,"+",NA
"671",23,"Friday Apr 27","boxscore","CHC","","MIL","W",3,2,NA,"13-10",4,"1.0","Strop","Jennings","Morrow","3:03","D",35579,"++",NA
"672",24,"Saturday Apr 28","boxscore","CHC","","MIL","W",3,0,NA,"14-10",2,"0.5","Quintana","Guerra","","2:37","D",40147,"+++",NA
"673",25,"Sunday Apr 29","boxscore","CHC","","MIL","W",2,0,NA,"15-10",2,"0.5","Chatwood","Davies","Morrow","2:35","D",40895,"++++",NA
"674",26,"Monday Apr 30","boxscore","CHC","","COL","W",3,2,NA,"16-10",1,"up 0.5","Farrell","Freeland","Cishek","2:57","N",35922,"+++++",NA
"675",27,"Tuesday May 1","boxscore","CHC","","COL","L",1,3,NA,"16-11",1,"Tied","Gray","Hendricks","Davis","2:24","N",40077,"-",NA
"676",28,"Wednesday May 2","boxscore","CHC","","COL","L",2,11,NA,"16-12",3,"1.0","Anderson","Darvish","","3:05","D",32909,"--",NA
"677",29,"Friday May 4","boxscore","CHC","@","STL","L",2,3,NA,"16-13",3,"1.5","Mikolas","Quintana","Norris","2:58","N",46099,"---",NA
"678",30,"Saturday May 5","boxscore","CHC","@","STL","L-wo",6,8,10,"16-14",3,"2.5","Lyons","Farrell","","3:42","D",47154,"----",NA
"679",31,"Sunday May 6","boxscore","CHC","@","STL","L-wo",3,4,14,"16-15",4,"3.5","Mayers","Farrell","","4:46","N",45438,"-----",NA
"680",32,"Monday May 7","boxscore","CHC","","MIA","W",14,2,NA,"17-15",4,"2.5","Hendricks","Garcia","","2:48","N",37333,"+",NA
"681",33,"Tuesday May 8","boxscore","CHC","","MIA","W",4,3,NA,"18-15",4,"1.5","Edwards","Barraclough","Morrow","2:38","N",40051,"++",NA
"682",34,"Wednesday May 9","boxscore","CHC","","MIA","W",13,4,NA,"19-15",4,"1.0","Quintana","Chen","","3:13","D",34486,"+++",NA
"683",35,"Friday May 11","boxscore","CHC","","CHW","W",11,2,NA,"20-15",4,"1.5","Chatwood","Fulmer","","3:45","D",39585,"++++",NA
"684",36,"Saturday May 12","boxscore","CHC","","CHW","W",8,4,NA,"21-15",3,"0.5","Lester","Shields","Morrow","3:20","D",41099,"+++++",NA
"685",37,"Sunday May 13","boxscore","CHC","","CHW","L",3,5,NA,"21-16",4,"1.0","Giolito","Hendricks","Rondon","2:47","D",40537,"-",NA
"686",38,"Monday May 14","boxscore","CHC","","ATL","L",5,6,NA,"21-17",4,"2.0","Teheran","Quintana","Minter","3:14","D",35946,"--",NA
"687",39,"Tuesday May 15","boxscore","CHC","@","ATL","W",3,2,NA,"22-17",3,"1.0","Edwards","Vizcaino","Morrow","2:51","N",34452,"+",NA
"688",40,"Wednesday May 16","boxscore","CHC","@","ATL","L",1,4,NA,"22-18",4,"2.0","Minter","Edwards","Vizcaino","2:55","N",28264,"-",NA
"689",41,"Friday May 18","boxscore","CHC","@","CIN","W",8,1,NA,"23-18",4,"2.0","Lester","Bailey","","3:17","N",22060,"+",NA
"690",42,"Saturday May 19 (1)","boxscore","CHC","@","CIN","L-wo",4,5,11,"23-19",3,"2.5","Floro","Wilson","","3:38","D",19046,"-",NA
"691",43,"Saturday May 19 (2)","boxscore","CHC","@","CIN","W",10,0,NA,"24-19",3,"2.5","Quintana","Romano","","2:57","N",26082,"+",NA
"692",44,"Sunday May 20","boxscore","CHC","@","CIN","W",6,1,NA,"25-19",2,"1.5","Darvish","Mahle","","2:51","D",26988,"++",NA
"693",45,"Tuesday May 22","boxscore","CHC","","CLE","L",1,10,NA,"25-20",3,"3.0","Bauer","Chatwood","","3:20","N",37168,"-",NA
"694",46,"Wednesday May 23","boxscore","CHC","","CLE","L",0,1,NA,"25-21",4,"4.0","Plutko","Lester","Allen","2:39","N",39004,"--",NA
"695",47,"Friday May 25","boxscore","CHC","","SFG","W",6,2,NA,"26-21",3,"3.5","Hendricks","Holland","Morrow","2:46","D",41177,"+",NA
"696",48,"Saturday May 26","boxscore","CHC","","SFG","L",4,5,NA,"26-22",4,"4.5","Stratton","Quintana","Strickland","3:04","N",41250,"-",NA
"697",49,"Sunday May 27","boxscore","CHC","","SFG","W",8,3,NA,"27-22",3,"4.5","Rosario","Blach","","3:31","N",41587,"+",NA
"698",50,"Monday May 28","boxscore","CHC","@","PIT","W",7,0,NA,"28-22",2,"4.5","Montgomery","Kuhl","","2:53","D",19382,"++",NA
"699",51,"Tuesday May 29","boxscore","CHC","@","PIT","W",8,6,NA,"29-22",2,"3.5","Lester","Santana","Morrow","3:03","N",11475,"+++",NA
"700",52,"Wednesday May 30","boxscore","CHC","@","PIT","L",1,2,NA,"29-23",2,"4.5","Musgrove","Hendricks","Vazquez","2:50","N",14126,"-",NA
"701",53,"Thursday May 31","boxscore","CHC","@","NYM","W",5,1,NA,"30-23",2,"4.0","Quintana","Robles","Morrow","3:02","N",34458,"+",NA
"702",54,"Friday Jun 1","boxscore","CHC","@","NYM","W",7,4,NA,"31-23",2,"3.0","Rosario","Sewald","Morrow","3:20","N",37183,"++",NA
"703",55,"Saturday Jun 2","boxscore","CHC","@","NYM","W",7,1,14,"32-23",2,"3.0","Farrell","Baumann","","4:53","N",32817,"+++",NA
"704",56,"Sunday Jun 3","boxscore","CHC","@","NYM","W",2,0,NA,"33-23",2,"2.0","Lester","Matz","Duensing","2:30","D",34946,"++++",NA
"705",57,"Tuesday Jun 5","boxscore","CHC","","PHI","L",1,6,NA,"33-24",2,"2.0","Eflin","Hendricks","","2:46","N",40553,"-",NA
"706",58,"Wednesday Jun 6","boxscore","CHC","","PHI","W-wo",7,5,NA,"34-24",2,"1.0","Mazzoni","Morgan","","3:20","N",40275,"+",NA
"707",59,"Thursday Jun 7","boxscore","CHC","","PHI","W",4,3,NA,"35-24",2,"0.5","Duensing","Pivetta","Morrow","3:20","D",40057,"++",NA
"708",60,"Friday Jun 8","boxscore","CHC","","PIT","W",3,1,NA,"36-24",2,"0.5","Montgomery","Kuhl","Strop","3:00","D",40097,"+++",NA
"709",61,"Saturday Jun 9","boxscore","CHC","","PIT","W",2,0,NA,"37-24",2,"0.5","Lester","Kingham","Cishek","2:32","D",41045,"++++",NA
"710",62,"Sunday Jun 10","boxscore","CHC","","PIT","L",1,7,NA,"37-25",2,"0.5","Nova","Hendricks","","3:22","D",40735,"-",NA
"711",63,"Monday Jun 11","boxscore","CHC","@","MIL","W",7,2,11,"38-25",1,"up 0.5","Rosario","Albers","","3:54","N",37578,"+",NA
"712",64,"Tuesday Jun 12","boxscore","CHC","@","MIL","L",0,4,NA,"38-26",2,"0.5","Anderson","Chatwood","","2:49","N",35459,"-",NA
"713",65,"Wednesday Jun 13","boxscore","CHC","@","MIL","L",0,1,NA,"38-27",2,"1.5","Chacin","Montgomery","Knebel","2:54","D",39822,"--",NA
"714",66,"Friday Jun 15","boxscore","CHC","@","STL","W",13,5,NA,"39-27",2,"1.5","Lester","Wacha","","3:29","N",46188,"+",NA
"715",67,"Saturday Jun 16","boxscore","CHC","@","STL","W",6,3,NA,"40-27",2,"0.5","Hendricks","Tuivailala","Morrow","3:23","N",47168,"++",NA
"716",68,"Sunday Jun 17","boxscore","CHC","@","STL","L",0,5,NA,"40-28",2,"0.5","Brebbia","Quintana","","3:24","N",46214,"-",NA
"717",69,"Tuesday Jun 19 (1)","boxscore","CHC","","LAD","L",3,4,NA,"40-29",2,"0.5","Paredes","Wilson","Jansen","3:46","D",39273,"--",NA
"718",70,"Tuesday Jun 19 (2)","boxscore","CHC","","LAD","W-wo",2,1,10,"41-29",2,"0.5","Zastryzny","Stewart","","3:19","N",40409,"+",NA
"719",71,"Wednesday Jun 20","boxscore","CHC","","LAD","W",4,0,NA,"42-29",1,"Tied","Lester","Stripling","","2:46","D",41199,"++",NA
"720",72,"Thursday Jun 21","boxscore","CHC","@","CIN","L",2,6,NA,"42-30",2,"1.0","Harvey","Hendricks","Hughes","3:07","N",19581,"-",NA
"721",73,"Friday Jun 22","boxscore","CHC","@","CIN","L",3,6,NA,"42-31",2,"2.0","Castillo","Quintana","Iglesias","2:39","N",25885,"--",NA
"722",74,"Saturday Jun 23","boxscore","CHC","@","CIN","L",2,11,NA,"42-32",2,"2.0","DeSclafani","Farrell","","2:58","D",36818,"---",NA
"723",75,"Sunday Jun 24","boxscore","CHC","@","CIN","L",6,8,NA,"42-33",2,"2.0","Stephens","Strop","Iglesias","2:44","D",30508,"----",NA
"724",76,"Monday Jun 25","boxscore","CHC","@","LAD","L",1,2,NA,"42-34",2,"2.5","Maeda","Underwood","Jansen","2:32","N",41750,"-----",NA
"725",77,"Tuesday Jun 26","boxscore","CHC","@","LAD","W",9,4,NA,"43-34",2,"2.5","Lester","Garcia","","3:26","N",53904,"+",NA
"726",78,"Wednesday Jun 27","boxscore","CHC","@","LAD","L",5,7,NA,"43-35",2,"2.5","Wood","Hendricks","Jansen","3:08","N",42121,"-",NA
"727",79,"Thursday Jun 28","boxscore","CHC","@","LAD","W",11,5,NA,"44-35",2,"2.5","Cishek","Buehler","","3:03","D",52187,"+",NA
"728",80,"Friday Jun 29","boxscore","CHC","","MIN","W",10,6,NA,"45-35",2,"2.5","Montgomery","Berrios","Morrow","3:27","D",41492,"++",NA
"729",81,"Saturday Jun 30","boxscore","CHC","","MIN","W",14,9,NA,"46-35",2,"1.5","Wilson","Hildenberger","","3:44","D",40950,"+++",NA
"730",82,"Sunday Jul 1","boxscore","CHC","","MIN","W",11,10,NA,"47-35",2,"0.5","Lester","Lynn","Morrow","3:43","D",40051,"++++",NA
"731",83,"Tuesday Jul 3","boxscore","CHC","","DET","W",5,3,NA,"48-35",2,"1.0","Wilson","Stumpf","Strop","2:57","D",38424,"+++++",NA
"732",84,"Wednesday Jul 4","boxscore","CHC","","DET","W",5,2,NA,"49-35",2,"1.0","Quintana","Liriano","Morrow","3:04","D",40510,"++++++",NA
"733",85,"Friday Jul 6","boxscore","CHC","","CIN","L",2,3,NA,"49-36",2,"2.5","Mahle","Montgomery","Iglesias","3:09","D",41434,"-",NA
"734",86,"Saturday Jul 7","boxscore","CHC","","CIN","W",8,7,NA,"50-36",2,"1.5","Rosario","Hughes","Morrow","3:15","D",41538,"+",NA
"735",87,"Sunday Jul 8","boxscore","CHC","","CIN","W-wo",6,5,10,"51-36",2,"1.5","Farrell","Stephens","","3:32","D",38655,"++",NA
"736",88,"Monday Jul 9","boxscore","CHC","@","SFG","L-wo",1,2,11,"51-37",2,"1.5","Blach","Cishek","","3:09","N",38024,"-",NA
"737",89,"Tuesday Jul 10","boxscore","CHC","@","SFG","W",2,0,NA,"52-37",2,"1.5","Quintana","Holland","Cishek","2:43","N",39113,"+",NA
"738",90,"Wednesday Jul 11","boxscore","CHC","@","SFG","L-wo",4,5,13,"52-38",2,"1.5","Rodriguez","Norwood","","4:30","D",41099,"-",NA
"739",91,"Friday Jul 13","boxscore","CHC","@","SDP","W",5,4,10,"53-38",1,"Tied","Strop","Cimber","Morrow","3:29","N",38988,"+",NA
"740",92,"Saturday Jul 14","boxscore","CHC","@","SDP","W",11,6,NA,"54-38",1,"up 1.5","Hendricks","Perdomo","","3:13","N",38837,"++",NA
"741",93,"Sunday Jul 15","boxscore","CHC","@","SDP","W",7,4,NA,"55-38",1,"up 2.5","Lester","Lauer","Morrow","3:24","D",37672,"+++",NA
