"","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"20",20,"Saturday Apr 21","boxscore","ARI","","SDP","W",6,2,NA,"14-6",1,"up 3.0","Godley","Richard","","2:55","N",38820,"+",NA
"21",21,"Sunday Apr 22","boxscore","ARI","","SDP","W",4,2,NA,"15-6",1,"up 4.0","Corbin","Lucchesi","Bradley","2:42","D",31061,"++",NA
"22",22,"Tuesday Apr 24","boxscore","ARI","@","PHI","W",8,4,NA,"16-6",1,"up 4.5","Salas","Velasquez","","3:49","N",18195,"+++",NA
"23",23,"Wednesday Apr 25","boxscore","ARI","@","PHI","L",3,5,NA,"16-7",1,"up 3.5","Arrieta","Greinke","Neris","2:55","N",21349,"-",NA
"24",24,"Thursday Apr 26","boxscore","ARI","@","PHI","W",8,2,NA,"17-7",1,"up 4.0","Koch","Lively","","3:12","D",20335,"+",NA
"25",25,"Friday Apr 27","boxscore","ARI","@","WSN","W",5,4,NA,"18-7",1,"up 4.0","Godley","Strasburg","Boxberger","3:02","N",26517,"++",NA
"26",26,"Saturday Apr 28","boxscore","ARI","@","WSN","W",4,3,10,"19-7",1,"up 5.0","Hirano","Solis","Boxberger","3:16","D",32963,"+++",NA
"27",27,"Sunday Apr 29","boxscore","ARI","@","WSN","L",1,3,NA,"19-8",1,"up 5.0","Gonzalez","McFarland","Doolittle","2:49","D",30285,"-",NA
"28",28,"Monday Apr 30","boxscore","ARI","","LAD","W",8,5,NA,"20-8",1,"up 5.5","Greinke","Stripling","Boxberger","3:27","N",17562,"+",NA
"29",29,"Tuesday May 1","boxscore","ARI","","LAD","W",4,3,NA,"21-8",1,"up 6.0","Bracho","Liberatore","Boxberger","3:12","N",18940,"++",NA
"30",30,"Wednesday May 2","boxscore","ARI","","LAD","L",1,2,NA,"21-9",1,"up 5.0","Hudson","Godley","Jansen","3:12","N",19531,"-",NA
"31",31,"Thursday May 3","boxscore","ARI","","LAD","L",2,5,NA,"21-10",1,"up 4.5","Chargois","Salas","Jansen","3:17","D",21407,"--",NA
"32",32,"Friday May 4","boxscore","ARI","","HOU","L",0,8,NA,"21-11",1,"up 3.5","Cole","Medlen","","2:50","N",29463,"---",NA
"33",33,"Saturday May 5","boxscore","ARI","","HOU","W-wo",4,3,NA,"22-11",1,"up 3.5","Boxberger","Devenski","","3:34","N",39154,"+",NA
"34",34,"Sunday May 6","boxscore","ARI","","HOU","W",3,1,NA,"23-11",1,"up 3.5","Koch","Verlander","Boxberger","2:55","D",35632,"++",NA
"35",35,"Tuesday May 8","boxscore","ARI","@","LAD","W",8,5,12,"24-11",1,"up 3.5","McFarland","Garcia","","4:29","N",45894,"+++",NA
"36",36,"Wednesday May 9","boxscore","ARI","@","LAD","L",3,6,NA,"24-12",1,"up 3.5","Baez","Salas","Jansen","3:48","N",45600,"-",NA
"37",37,"Thursday May 10","boxscore","ARI","","WSN","L",1,2,11,"24-13",1,"up 3.5","Kintzler","Salas","Doolittle","3:42","N",17397,"--",NA
"38",38,"Friday May 11","boxscore","ARI","","WSN","L",1,3,NA,"24-14",1,"up 3.5","Scherzer","Koch","Doolittle","2:24","N",22901,"---",NA
"39",39,"Saturday May 12","boxscore","ARI","","WSN","L",1,2,NA,"24-15",1,"up 2.5","Strasburg","Scribner","Madson","3:17","D",29428,"----",NA
"40",40,"Sunday May 13","boxscore","ARI","","WSN","L",4,6,NA,"24-16",1,"up 2.5","Madson","Bradley","Doolittle","3:09","N",31906,"-----",NA
"41",41,"Monday May 14","boxscore","ARI","","MIL","L",2,7,NA,"24-17",1,"up 1.5","Guerra","Corbin","","3:06","N",17390,"------",NA
"42",42,"Tuesday May 15","boxscore","ARI","","MIL","W",2,1,NA,"25-17",1,"up 2.5","Bradley","Williams","Boxberger","2:40","N",17914,"+",NA
"43",43,"Wednesday May 16","boxscore","ARI","","MIL","L",2,8,NA,"25-18",1,"up 2.0","Woodruff","Koch","","3:04","D",16762,"-",NA
"44",44,"Friday May 18","boxscore","ARI","@","NYM","L",1,3,NA,"25-19",1,"up 0.5","deGrom","Godley","Familia","2:36","N",31285,"--",NA
"45",45,"Saturday May 19","boxscore","ARI","@","NYM","L-wo",4,5,NA,"25-20",1,"up 0.5","Familia","Chafin","","3:04","N",39515,"---",NA
"46",46,"Sunday May 20","boxscore","ARI","@","NYM","L",1,4,NA,"25-21",1,"up 0.5","Syndergaard","De La Rosa","Gsellman","2:41","D",34894,"----",NA
"47",47,"Monday May 21","boxscore","ARI","@","MIL","L",2,4,NA,"25-22",2,"0.5","Anderson","Greinke","Knebel","2:31","N",27094,"-----",NA
"48",48,"Tuesday May 22","boxscore","ARI","@","MIL","L",0,1,NA,"25-23",2,"0.5","Albers","Koch","Knebel","2:40","N",27065,"------",NA
"49",49,"Wednesday May 23","boxscore","ARI","@","MIL","L",2,9,NA,"25-24",2,"0.5","Suter","Godley","","3:04","D",29237,"-------",NA
"50",50,"Friday May 25","boxscore","ARI","@","OAK","W",7,1,NA,"26-24",2,"0.5","Corbin","Manaea","","3:02","N",22691,"+",NA
"51",51,"Saturday May 26","boxscore","ARI","@","OAK","L",0,3,NA,"26-25",2,"0.5","Mengden","Buchholz","","2:15","D",17580,"-",NA
"52",52,"Sunday May 27","boxscore","ARI","@","OAK","L",1,2,NA,"26-26",2,"1.5","Montas","Greinke","Treinen","2:38","D",13947,"--",NA
"53",53,"Monday May 28","boxscore","ARI","","CIN","W",12,5,NA,"27-26",2,"1.5","Koch","Bailey","","3:19","D",29924,"+",NA
"54",54,"Tuesday May 29","boxscore","ARI","","CIN","W",5,2,NA,"28-26",2,"1.5","Godley","Castillo","Boxberger","2:40","N",20046,"++",NA
"55",55,"Wednesday May 30","boxscore","ARI","","CIN","L",4,7,NA,"28-27",2,"1.5","Romano","Corbin","Iglesias","3:06","D",18340,"-",NA
"56",56,"Friday Jun 1","boxscore","ARI","","MIA","W",9,1,NA,"29-27",2,"0.5","Buchholz","Hernandez","","2:40","N",25866,"+",NA
"57",57,"Saturday Jun 2","boxscore","ARI","","MIA","W",6,2,NA,"30-27",1,"up 0.5","Greinke","Smith","","3:01","N",34117,"++",NA
"58",58,"Sunday Jun 3","boxscore","ARI","","MIA","W",6,1,NA,"31-27",1,"up 1.5","Koch","Straily","","2:47","D",31727,"+++",NA
"59",59,"Monday Jun 4","boxscore","ARI","@","SFG","L",3,10,NA,"31-28",1,"up 1.0","Johnson","Godley","","3:11","N",36542,"-",NA
"60",60,"Tuesday Jun 5","boxscore","ARI","@","SFG","W",3,2,NA,"32-28",1,"up 1.0","Corbin","Bumgarner","Boxberger","3:05","N",36925,"+",NA
"61",61,"Wednesday Jun 6","boxscore","ARI","@","SFG","L-wo",4,5,10,"32-29",1,"Tied","Strickland","Chafin","","3:38","D",41042,"-",NA
"62",62,"Friday Jun 8","boxscore","ARI","@","COL","W",9,4,NA,"33-29",1,"up 1.5","Greinke","Marquez","","2:51","N",38917,"+",NA
"63",63,"Saturday Jun 9","boxscore","ARI","@","COL","W",12,7,NA,"34-29",1,"up 2.5","Bracho","Shaw","","3:34","N",43197,"++",NA
"64",64,"Sunday Jun 10","boxscore","ARI","@","COL","W",8,3,NA,"35-29",1,"up 2.5","Godley","Freeland","","3:23","D",36433,"+++",NA
"65",65,"Monday Jun 11","boxscore","ARI","","PIT","W",9,5,NA,"36-29",1,"up 3.0","Bradley","Crick","","3:07","N",20927,"++++",NA
"66",66,"Tuesday Jun 12","boxscore","ARI","","PIT","W",13,8,NA,"37-29",1,"up 3.0","Salas","Williams","","3:56","N",22488,"+++++",NA
"67",67,"Wednesday Jun 13","boxscore","ARI","","PIT","L",4,5,NA,"37-30",1,"up 2.0","Taillon","Greinke","Vazquez","3:07","D",32803,"-",NA
"68",68,"Thursday Jun 14","boxscore","ARI","","NYM","W",6,3,NA,"38-30",1,"up 2.5","Koch","Vargas","Boxberger","2:38","N",23300,"+",NA
"69",69,"Friday Jun 15","boxscore","ARI","","NYM","W",7,3,NA,"39-30",1,"up 2.5","Godley","Lugo","Boxberger","3:20","N",32170,"++",NA
"70",70,"Saturday Jun 16","boxscore","ARI","","NYM","L",1,5,NA,"39-31",1,"up 1.5","Matz","Corbin","","2:56","N",31824,"-",NA
"71",71,"Sunday Jun 17","boxscore","ARI","","NYM","L",3,5,NA,"39-32",1,"up 1.5","Familia","Boxberger","Gsellman","3:27","D",47907,"--",NA
"72",72,"Monday Jun 18","boxscore","ARI","@","LAA","W",7,4,NA,"40-32",1,"up 2.0","Greinke","Barria","Bradley","3:21","N",33809,"+",NA
"73",73,"Tuesday Jun 19","boxscore","ARI","@","LAA","L",4,5,NA,"40-33",1,"up 1.5","Alvarez","Koch","Parker","3:11","N",33088,"-",NA
"74",74,"Thursday Jun 21","boxscore","ARI","@","PIT","W",9,3,NA,"41-33",1,"up 2.5","Godley","Kuhl","","3:11","N",20554,"+",NA
"75",75,"Friday Jun 22","boxscore","ARI","@","PIT","W",2,1,13,"42-33",1,"up 2.5","Chafin","Glasnow","McFarland","3:51","N",24843,"++",NA
"76",76,"Saturday Jun 23","boxscore","ARI","@","PIT","W",7,2,NA,"43-33",1,"up 2.5","Greinke","Musgrove","","2:52","D",21121,"+++",NA
"77",77,"Sunday Jun 24","boxscore","ARI","@","PIT","W",3,0,NA,"44-33",1,"up 2.5","Buchholz","Williams","Boxberger","2:32","D",19207,"++++",NA
"78",78,"Monday Jun 25","boxscore","ARI","@","MIA","L",5,9,NA,"44-34",1,"up 1.5","Straily","Miller","","3:14","N",6105,"-",NA
"79",79,"Tuesday Jun 26","boxscore","ARI","@","MIA","W",5,3,NA,"45-34",1,"up 2.5","Godley","Hernandez","Boxberger","3:24","N",6159,"+",NA
"80",80,"Wednesday Jun 27","boxscore","ARI","@","MIA","W",2,1,NA,"46-34",1,"up 2.5","Ray","Chen","Boxberger","2:52","N",6382,"++",NA
"81",81,"Thursday Jun 28","boxscore","ARI","@","MIA","W",4,0,NA,"47-34",1,"up 3.5","Greinke","Richards","","3:06","D",12715,"+++",NA
"82",82,"Friday Jun 29","boxscore","ARI","","SFG","L",1,2,NA,"47-35",1,"up 3.5","Suarez","Chafin","Smith","2:49","N",30981,"-",NA
