Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
47,Sunday May 20,boxscore,COL,@,SFG,L,5,9,,25-22,2,0.5,Dyson,Shaw,,3:25,D,40334,--,
48,Monday May 21,boxscore,COL,@,LAD,W,2,1,,26-22,1,up 0.5,Marquez,Baez,Davis,2:35,N,42805,+,
49,Tuesday May 22,boxscore,COL,@,LAD,L,3,5,,26-23,1,up 0.5,Chargois,Shaw,Jansen,2:48,N,43719,-,
50,Wednesday May 23,boxscore,COL,@,LAD,L,0,3,,26-24,1,up 0.5,Maeda,Freeland,Jansen,2:38,N,45884,--,
51,Friday May 25,boxscore,COL,,CIN,W,5,4,,27-24,1,up 0.5,Gray,Romano,Davis,2:43,N,33193,+,
52,Saturday May 26,boxscore,COL,,CIN,L,5,6,,27-25,1,up 0.5,Lorenzen,Rusin,Hughes,3:00,N,42844,-,
53,Sunday May 27,boxscore,COL,,CIN,W,8,2,,28-25,1,up 1.5,Marquez,Harvey,,2:53,D,36387,+,
54,Monday May 28,boxscore,COL,,SFG,W-wo,6,5,10,29-25,1,up 1.5,Shaw,Strickland,,3:31,N,32409,++,
55,Tuesday May 29,boxscore,COL,,SFG,W,11,4,,30-25,1,up 1.5,Freeland,Samardzija,,3:17,N,27348,+++,
56,Wednesday May 30,boxscore,COL,,SFG,L,4,7,,30-26,1,up 1.5,Holland,Musgrave,Strickland,3:11,N,29400,-,
57,Friday Jun 1,boxscore,COL,,LAD,L,8,11,,30-27,1,up 0.5,Santana,Pounders,Jansen,3:36,N,42711,--,
58,Saturday Jun 2,boxscore,COL,,LAD,L,4,12,,30-28,2,0.5,Baez,Shaw,,3:25,N,47703,---,
59,Sunday Jun 3,boxscore,COL,,LAD,L,7,10,,30-29,2,1.5,Cingrani,Davis,Jansen,3:43,D,41851,----,
60,Tuesday Jun 5,boxscore,COL,@,CIN,W,9,6,,31-29,2,1.0,Freeland,DeSclafani,Davis,3:16,N,21944,+,
61,Wednesday Jun 6,boxscore,COL,@,CIN,W,6,3,,32-29,1,Tied,Gray,Romano,Davis,3:25,N,19762,++,
62,Thursday Jun 7,boxscore,COL,@,CIN,L-wo,5,7,13,32-30,2,0.5,Floro,Rusin,,4:15,D,15957,-,
63,Friday Jun 8,boxscore,COL,,ARI,L,4,9,,32-31,2,1.5,Greinke,Marquez,,2:51,N,38917,--,
64,Saturday Jun 9,boxscore,COL,,ARI,L,7,12,,32-32,2,2.5,Bracho,Shaw,,3:34,N,43197,---,
65,Sunday Jun 10,boxscore,COL,,ARI,L,3,8,,32-33,4,3.5,Godley,Freeland,,3:23,D,36433,----,
66,Tuesday Jun 12,boxscore,COL,@,PHI,L,4,5,,32-34,4,5.0,Nola,Gray,Dominguez,3:07,N,19556,-----,
67,Wednesday Jun 13,boxscore,COL,@,PHI,W,7,2,,33-34,3,4.0,Anderson,Pivetta,,2:55,N,20075,+,
68,Thursday Jun 14,boxscore,COL,@,PHI,L,3,9,,33-35,4,5.0,Velasquez,Marquez,,3:21,D,22500,-,
69,Friday Jun 15,boxscore,COL,@,TEX,W,9,5,,34-35,3,5.0,Bettis,Mendez,,3:15,N,30448,+,
70,Saturday Jun 16,boxscore,COL,@,TEX,L,2,5,,34-36,3,5.0,Leclerc,Musgrave,Kela,2:42,D,23468,-,
71,Sunday Jun 17,boxscore,COL,@,TEX,L-wo,12,13,,34-37,4,5.0,Chavez,Davis,,3:54,D,25513,--,
72,Monday Jun 18,boxscore,COL,,NYM,L,2,12,,34-38,4,6.0,deGrom,Anderson,,3:10,N,33815,---,
73,Tuesday Jun 19,boxscore,COL,,NYM,W,10,8,,35-38,4,5.0,Marquez,Vargas,,3:06,N,29710,+,
74,Wednesday Jun 20,boxscore,COL,,NYM,W,10,8,,36-38,4,4.5,Shaw,Gsellman,Davis,3:25,N,38685,++,
75,Thursday Jun 21,boxscore,COL,,NYM,W,6,4,,37-38,4,4.5,Freeland,Matz,McGee,2:55,D,44010,+++,
76,Friday Jun 22,boxscore,COL,,MIA,W,11,3,,38-38,3,4.5,Gray,Chen,,2:55,N,35468,++++,
77,Saturday Jun 23,boxscore,COL,,MIA,L,2,6,,38-39,4,5.5,Richards,Anderson,,2:47,D,39032,-,
78,Sunday Jun 24,boxscore,COL,,MIA,L,5,8,,38-40,4,6.5,Rucinski,Marquez,Barraclough,3:14,D,34172,--,
79,Tuesday Jun 26,boxscore,COL,@,SFG,L,2,3,,38-41,4,7.0,Watson,Ottavino,Dyson,2:57,N,36070,---,
80,Wednesday Jun 27,boxscore,COL,@,SFG,L-wo,0,1,,38-42,4,8.0,Moronta,Musgrave,,2:34,N,36046,----,
81,Thursday Jun 28,boxscore,COL,@,SFG,W,9,8,,39-42,4,8.0,Ottavino,Dyson,Davis,3:10,D,37529,+,
82,Friday Jun 29,boxscore,COL,@,LAD,W,3,1,,40-42,4,7.0,Anderson,Hill,Davis,2:39,N,41909,++,
83,Saturday Jun 30,boxscore,COL,@,LAD,W,3,1,,41-42,4,6.0,Marquez,Maeda,Ottavino,2:39,D,46172,+++,
84,Sunday Jul 1,boxscore,COL,@,LAD,L,4,6,,41-43,4,6.0,Hudson,Ottavino,Jansen,3:00,D,45725,-,
85,Monday Jul 2,boxscore,COL,,SFG,W,5,2,,42-43,4,5.0,Freeland,Bumgarner,Davis,2:45,N,40333,+,
86,Tuesday Jul 3,boxscore,COL,,SFG,W,8,1,,43-43,4,5.0,Senzatela,Stratton,,2:51,N,48072,++,
87,Wednesday Jul 4,boxscore,COL,,SFG,W,1,0,,44-43,4,4.0,Anderson,Suarez,Davis,2:15,N,48158,+++,
88,Friday Jul 6,boxscore,COL,@,SEA,W,7,1,,45-43,3,3.5,Marquez,Hernandez,,3:11,N,26554,++++,
89,Saturday Jul 7,boxscore,COL,@,SEA,W,5,1,,46-43,3,3.5,Oberg,Paxton,,2:53,D,36104,+++++,
90,Sunday Jul 8,boxscore,COL,@,SEA,L,4,6,,46-44,3,3.5,LeBlanc,Senzatela,Diaz,2:28,D,34440,-,
91,Tuesday Jul 10,boxscore,COL,,ARI,L,3,5,,46-45,4,4.5,Delgado,McGee,Boxberger,3:40,N,43405,--,
92,Wednesday Jul 11,boxscore,COL,,ARI,W,19,2,,47-45,4,3.5,Marquez,Miller,,3:05,N,33919,+,
93,Thursday Jul 12,boxscore,COL,,ARI,W,5,1,,48-45,3,3.0,Oberg,Ray,,3:17,D,41410,++,
94,Friday Jul 13,boxscore,COL,,SEA,W,10,7,,49-45,3,3.0,Musgrave,Bergman,Davis,3:19,N,38126,+++,
95,Saturday Jul 14,boxscore,COL,,SEA,W,4,1,,50-45,3,2.5,Gray,LeBlanc,Davis,2:50,N,47789,++++,
96,Sunday Jul 15,boxscore,COL,,SEA,W-wo,4,3,,51-45,3,2.0,Oberg,Vincent,,3:11,D,35630,+++++,
97,Friday Jul 20,boxscore,COL,@,ARI,W,11,10,,52-45,3,2.0,Oberg,Bradley,Ottavino,4:02,N,29546,++++++,
98,Saturday Jul 21,boxscore,COL,@,ARI,W,6,5,,53-45,2,1.0,Oberg,Hirano,Davis,3:21,N,43340,+++++++,
99,Sunday Jul 22,boxscore,COL,@,ARI,L,1,6,,53-46,3,2.0,Greinke,Senzatela,,2:45,D,32985,-,
100,Tuesday Jul 24,boxscore,COL,,HOU,L,2,8,10,53-47,3,2.5,Rondon,Davis,,3:12,N,43184,--,
