Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
46,Wednesday May 23,boxscore,CHW,,BAL,W,11,1,,15-31,4,8.5,Covey,Cobb,,2:54,N,17056,++,
47,Thursday May 24,boxscore,CHW,,BAL,L,3,9,,15-32,5,8.5,Bundy,Giolito,,3:00,D,19147,-,
48,Friday May 25,boxscore,CHW,@,DET,L,4,5,,15-33,5,8.5,Farmer,Rondon,Greene,2:51,N,24648,--,
49,Saturday May 26,boxscore,CHW,@,DET,W,8,4,,16-33,4,8.5,Santiago,Liriano,,3:16,D,27032,+,
50,Sunday May 27,boxscore,CHW,@,DET,L,2,3,,16-34,5,9.5,Hardy,Shields,Greene,2:17,D,23419,-,
51,Monday May 28,boxscore,CHW,@,CLE,L,6,9,,16-35,5,10.5,Plutko,Volstad,,3:12,D,23729,--,
52,Tuesday May 29,boxscore,CHW,@,CLE,L,3,7,,16-36,5,11.5,Clevinger,Giolito,,2:58,N,30441,---,
53,Wednesday May 30,boxscore,CHW,@,CLE,L,1,9,,16-37,5,12.5,Kluber,Lopez,,3:09,D,17930,----,
54,Friday Jun 1,boxscore,CHW,,MIL,W,8,3,,17-37,5,12.0,Avilan,Anderson,,3:00,N,20004,+,
55,Saturday Jun 2,boxscore,CHW,,MIL,L,0,5,,17-38,5,12.0,Chacin,Shields,,2:52,D,29281,-,
56,Sunday Jun 3,boxscore,CHW,,MIL,W,6,1,,18-38,5,11.0,Volstad,Suter,,2:53,D,25338,+,
57,Tuesday Jun 5 (1),boxscore,CHW,@,MIN,L,2,4,,18-39,5,11.5,Duffey,Jones,Rodney,2:37,D,,-,
58,Tuesday Jun 5 (2),boxscore,CHW,@,MIN,W,6,3,,19-39,5,11.5,Giolito,Littell,Soria,3:07,D,26261,+,
59,Wednesday Jun 6,boxscore,CHW,@,MIN,W,5,2,,20-39,4,11.5,Santiago,Odorizzi,Soria,3:27,N,20393,++,
60,Thursday Jun 7,boxscore,CHW,@,MIN,L,2,7,,20-40,4,12.0,Berrios,Shields,,2:14,D,21469,-,
61,Friday Jun 8,boxscore,CHW,@,BOS,W,1,0,,21-40,4,12.0,Covey,Sale,Soria,2:24,N,36593,+,
62,Saturday Jun 9,boxscore,CHW,@,BOS,L,2,4,,21-41,4,12.0,Price,Rodon,Kimbrel,2:48,D,36675,-,
63,Sunday Jun 10,boxscore,CHW,@,BOS,W,5,2,,22-41,4,12.0,Lopez,Porcello,Soria,3:15,D,36998,+,
64,Monday Jun 11,boxscore,CHW,,CLE,L,0,4,,22-42,4,13.0,Carrasco,Giolito,,2:59,N,13125,-,
65,Tuesday Jun 12,boxscore,CHW,,CLE,W,5,1,,23-42,4,12.0,Shields,Plutko,Soria,2:57,N,12357,+,
66,Wednesday Jun 13,boxscore,CHW,,CLE,W,3,2,,24-42,4,11.0,Covey,Bauer,Soria,2:31,N,19390,++,
