Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
47,Wednesday May 23,boxscore,STL,,KCR,L,2,5,10,26-21,3,3.5,Boyer,Norris,Herrera,3:04,D,41984,--,
48,Friday May 25,boxscore,STL,@,PIT,L,1,8,,26-22,4,4.0,Musgrove,Gant,,2:37,N,22629,---,
49,Saturday May 26,boxscore,STL,@,PIT,W,4,1,,27-22,2,4.0,Flaherty,Williams,Norris,2:52,D,22133,+,
50,Sunday May 27,boxscore,STL,@,PIT,W,6,4,,28-22,2,4.0,Tuivailala,Feliz,Norris,2:58,D,19608,++,
51,Monday May 28,boxscore,STL,@,MIL,L,3,8,,28-23,3,5.0,Suter,Weaver,,3:03,D,42867,-,
52,Tuesday May 29,boxscore,STL,@,MIL,W,6,1,,29-23,3,4.0,Wacha,Davies,,2:41,N,40982,+,
53,Wednesday May 30,boxscore,STL,@,MIL,L,2,3,,29-24,3,5.0,Jeffress,Tuivailala,Knebel,3:31,D,33133,-,
54,Thursday May 31,boxscore,STL,,PIT,W-wo,10,8,,30-24,3,4.5,Mayers,Vazquez,,3:43,N,40832,+,
55,Friday Jun 1,boxscore,STL,,PIT,L,0,4,,30-25,3,4.5,Taillon,Mikolas,,2:46,N,47135,-,
56,Saturday Jun 2,boxscore,STL,,PIT,W-wo,3,2,,31-25,3,4.5,Norris,Rodriguez,,2:48,D,44492,+,
57,Sunday Jun 3,boxscore,STL,,PIT,W,5,0,,32-25,3,3.5,Wacha,Kingham,,2:25,D,44432,++,
58,Tuesday Jun 5,boxscore,STL,,MIA,L,4,7,,32-26,3,3.5,Urena,Guilmet,Barraclough,3:12,N,40070,-,
59,Wednesday Jun 6,boxscore,STL,,MIA,L,3,11,,32-27,3,3.5,Rucinski,Flaherty,,3:23,N,40109,--,
60,Thursday Jun 7,boxscore,STL,,MIA,W,4,1,,33-27,3,3.0,Mikolas,Richards,Norris,2:42,D,41297,+,
61,Friday Jun 8,boxscore,STL,@,CIN,W,7,6,10,34-27,3,3.0,Norris,Iglesias,Brebbia,3:51,N,26144,++,
