Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
47,Saturday May 19,boxscore,TEX,@,CHW,L,3,5,,18-29,5,11.0,Giolito,Jurado,Jones,2:58,N,25611,-,
48,Sunday May 20,boxscore,TEX,@,CHW,L,0,3,,18-30,5,12.0,Lopez,Minor,Fry,2:28,D,16829,--,
49,Monday May 21,boxscore,TEX,,NYY,L,5,10,,18-31,5,12.5,Tanaka,Colon,,3:07,N,29553,---,
50,Tuesday May 22,boxscore,TEX,,NYY,W,6,4,,19-31,5,12.5,Hamels,German,Kela,3:07,N,30325,+,
51,Wednesday May 23,boxscore,TEX,,NYY,W,12,10,,20-31,5,12.5,Claudio,Robertson,Kela,3:20,N,31304,++,
52,Thursday May 24,boxscore,TEX,,KCR,L,2,8,,20-32,5,13.5,Duffy,Bibens-Dirkx,,2:53,N,23230,-,
53,Friday May 25,boxscore,TEX,,KCR,W,8,4,,21-32,5,13.5,Minor,Skoglund,Kela,3:07,N,35105,+,
54,Saturday May 26,boxscore,TEX,,KCR,W-wo,4,3,10,22-32,5,12.5,Claudio,McCarthy,,2:59,D,29644,++,
55,Sunday May 27,boxscore,TEX,,KCR,L,3,5,,22-33,5,12.5,Hammel,Hamels,Herrera,3:00,D,31898,-,
56,Monday May 28,boxscore,TEX,@,SEA,L,1,2,,22-34,5,13.5,Gonzales,Fister,Diaz,2:32,D,26236,--,
57,Tuesday May 29,boxscore,TEX,@,SEA,W,9,5,,23-34,5,12.5,Claudio,Diaz,,3:40,N,13259,+,
58,Wednesday May 30,boxscore,TEX,@,SEA,W,7,6,,24-34,5,11.5,Barnette,Rzepczynski,Kela,3:17,N,13070,++,
59,Thursday May 31,boxscore,TEX,@,SEA,L,1,6,,24-35,5,12.5,LeBlanc,Minor,,2:53,N,15630,-,
60,Friday Jun 1,boxscore,TEX,@,LAA,L,0,6,,24-36,5,13.5,Barria,Colon,,2:37,N,33511,--,
61,Saturday Jun 2,boxscore,TEX,@,LAA,W,3,2,10,25-36,5,12.5,Diekman,Alvarez,Kela,3:21,N,44603,+,
62,Sunday Jun 3,boxscore,TEX,@,LAA,L,1,3,,25-37,5,13.5,Skaggs,Fister,Anderson,2:39,D,33541,-,
63,Tuesday Jun 5,boxscore,TEX,,OAK,W,7,4,,26-37,5,13.5,Martin,Trivino,Kela,2:52,N,19470,+,
64,Wednesday Jun 6,boxscore,TEX,,OAK,W,8,2,,27-37,5,12.5,Colon,Mengden,,3:05,N,22335,++,
65,Thursday Jun 7,boxscore,TEX,,HOU,L,2,5,,27-38,5,13.5,Cole,Hamels,,2:36,N,30236,-,
66,Friday Jun 8,boxscore,TEX,,HOU,L,3,7,,27-39,5,14.5,Verlander,Fister,,3:02,N,31722,--,
67,Saturday Jun 9,boxscore,TEX,,HOU,L,3,4,,27-40,5,14.5,Sipp,Leclerc,Rondon,3:31,N,38068,---,
68,Sunday Jun 10,boxscore,TEX,,HOU,L,7,8,,27-41,5,15.5,Harris,Kela,Rondon,3:09,D,30251,----,
69,Tuesday Jun 12,boxscore,TEX,@,LAD,L,5,12,,27-42,5,17.0,Paredes,Colon,Corcino,3:08,N,48233,-----,
70,Wednesday Jun 13,boxscore,TEX,@,LAD,L-wo,2,3,11,27-43,5,18.0,Liberatore,Chavez,,3:49,N,41303,------,
71,Friday Jun 15,boxscore,TEX,,COL,L,5,9,,27-44,5,19.0,Bettis,Mendez,,3:15,N,30448,-------,
72,Saturday Jun 16,boxscore,TEX,,COL,W,5,2,,28-44,5,19.0,Leclerc,Musgrave,Kela,2:42,D,23468,+,
73,Sunday Jun 17,boxscore,TEX,,COL,W-wo,13,12,,29-44,5,19.0,Chavez,Davis,,3:54,D,25513,++,
74,Monday Jun 18,boxscore,TEX,@,KCR,W,6,3,,30-44,5,19.0,Colon,Kennedy,Kela,3:04,N,18319,+++,
75,Tuesday Jun 19,boxscore,TEX,@,KCR,W,4,1,,31-44,5,18.0,Hamels,Hammel,Kela,2:46,N,17789,++++,
76,Wednesday Jun 20,boxscore,TEX,@,KCR,W,3,2,,32-44,5,18.0,Bibens-Dirkx,Junis,Diekman,2:53,N,19489,+++++,
77,Friday Jun 22,boxscore,TEX,@,MIN,W,8,1,,33-44,5,17.0,Minor,Romero,Chavez,3:01,N,28004,++++++,
